date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Reitz Arena, Baltimore, Maryland",Vermont,Loyola (MD),Home,55.6,15,19.0,8,91.7,51.6,21,0.525,60,0.45,27,0.45,27,0.593,16,0,200.0,109.7,61.3,14,25,79,9.7,7,0.267,16.0,0.563,9.0,56.5,35,0.542,20.0,18,44.0,0.409,18.0,1.0,1
2009-11-15,"WVU Coliseum, Morgantown, West Virginia",Loyola (MD),West Virginia,Home,53.8,14,9.8,4,116.9,50.0,24,0.54,50,0.52,26,0.24,12,0.5,6,1,200.0,84.5,23.8,5,28,60,9.9,7,0.14,7.0,0.286,2.0,42.0,29,0.539,25.6,18,43.0,0.558,24.0,0.5,1
2009-11-18,"RAC Arena, Baltimore, Maryland",Loyola (MD),UMBC,Away,47.8,11,15.6,5,100.0,65.0,15,0.472,54,0.426,23,0.481,26,0.692,18,1,200.0,104.5,43.3,11,18,69,18.2,12,0.204,11.0,0.455,5.0,52.0,26,0.52,16.6,13,43.0,0.419,18.0,0.667,2
2009-11-21,"Knott Arena, Emmitsburg, Maryland",Loyola (MD),Mount St. Mary's,Home,30.8,4,9.8,4,103.3,41.7,14,0.313,48,0.271,13,0.458,22,0.636,14,2,200.0,72.1,42.4,10,24,44,6.6,4,0.271,13.0,0.308,4.0,42.1,24,0.376,21.7,15,35.0,0.257,9.0,0.5,2
2009-11-24,"Leede Arena, Hanover, New Hampshire",Loyola (MD),Dartmouth,Away,37.5,9,10.3,4,67.2,74.3,26,0.408,60,0.4,24,0.183,11,0.818,9,2,200.0,95.1,48.6,17,13,58,6.6,4,0.183,11.0,0.091,1.0,61.4,43,0.445,16.7,12,49.0,0.469,23.0,0.6,3
2009-12-01,"Reitz Arena, Baltimore, Maryland",Morgan State,Loyola (MD),Home,40.7,11,2.4,1,90.4,56.8,21,0.547,53,0.509,27,0.736,39,0.513,20,2,200.0,106.8,36.1,13,19,78,9.6,7,0.151,8.0,0.5,4.0,46.6,34,0.545,17.6,15,45.0,0.511,23.0,0.667,4
2009-12-04,"Koessler Athletic Center, Buffalo, New York",Loyola (MD),Canisius,Home,52.4,11,12.8,5,101.4,67.9,23,0.454,54,0.389,21,0.389,21,0.762,16,3,200.0,94.2,34.4,7,19,65,13.0,9,0.315,17.0,0.412,7.0,50.0,30,0.508,21.2,17,37.0,0.378,14.0,0.571,4
2009-12-06,"Gallagher Center, Niagara University, New York",Loyola (MD),Niagara,Home,52.6,10,9.7,3,116.7,61.3,24,0.362,58,0.328,19,0.379,22,0.682,15,4,200.0,86.4,42.1,11,16,57,10.6,7,0.224,13.0,0.308,4.0,50.7,35,0.416,17.1,14,45.0,0.333,15.0,0.5,4
2009-12-09,"Coppin Center, Baltimore, Maryland",Loyola (MD),Coppin State,Home,42.1,8,17.3,9,90.0,70.3,28,0.321,67,0.284,19,0.299,20,0.75,15,5,225.0,82.9,38.3,16,16,58,10.0,7,0.403,27.0,0.185,5.0,52.4,44,0.379,13.7,12,40.0,0.35,14.0,0.444,4
2009-12-19,"Reitz Arena, Baltimore, Maryland",Howard,Loyola (MD),Home,53.1,17,7.9,3,72.9,70.3,27,0.793,46,0.696,32,0.413,19,0.632,12,5,200.0,121.4,12.5,1,25,85,4.3,3,0.261,12.0,0.75,9.0,52.8,28,0.772,24.9,18,34.0,0.676,23.0,0.5,5
