date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Albert Gersten Pavilion, Los Angeles, California","Westcliff
			",Loyola Marymount,Home,52.5,21,16.7,6,81.6,73.0,27,0.73,63,0.635,40,0.333,21,0.619,13,0,200,138.2,30.0,9,18,105,13.2,10,0.286,18,0.667,12,53.7,36,0.719,12.2,10,45,0.622,28,1.0,1
2019-11-09,"Lawlor Events Center, Reno, Nevada",Loyola Marymount,Nevada,Home,47.8,11,0.0,0,101.4,79.3,23,0.473,55,0.418,23,0.345,19,0.789,15,1,200,94.4,9.7,3,22,67,7.0,5,0.382,21,0.286,6,43.3,26,0.523,13.6,10,34,0.5,17,0.5,1
2019-11-16,"Albert Gersten Pavilion, Los Angeles, California",Colorado State,Loyola Marymount,Away,55.6,15,12.0,3,107.2,69.2,18,0.518,56,0.482,27,0.232,13,0.462,6,2,200,92.8,29.0,9,26,64,8.7,6,0.357,20,0.2,4,47.4,27,0.515,20.6,16,36,0.639,23,0.333,1
2019-11-21,"Gateway Christian Academy, Bimini",Air Force,Loyola Marymount,Home,56.7,17,4.2,1,104.9,76.9,20,0.719,48,0.625,30,0.313,15,0.6,9,2,201,127.9,29.4,5,22,78,3.3,2,0.375,18,0.5,9,58.1,25,0.707,12.8,8,30,0.7,21,0.5,2
2019-11-22,"Gateway Christian Academy, Bimini",Indiana State,Loyola Marymount,Away,42.9,9,0.0,0,124.1,69.6,16,0.479,47,0.447,21,0.553,26,0.577,15,3,200,103.4,30.8,8,24,60,6.9,4,0.298,14,0.214,3,49.0,24,0.505,14.6,10,33,0.545,18,0.4,2
2019-11-24,"Gateway Christian Academy, Bimini",Duquesne,Loyola Marymount,Away,40.0,8,10.7,3,118.3,69.0,20,0.469,48,0.417,20,0.208,10,0.5,5,4,200,83.3,26.7,8,16,50,6.7,4,0.313,15,0.333,5,47.5,28,0.474,22.3,15,33,0.455,15,0.333,2
2019-12-01,"Albert Gersten Pavilion, Los Angeles, California",Southern Utah,Loyola Marymount,Home,40.0,10,9.5,2,86.4,53.8,14,0.54,50,0.5,25,0.18,9,0.778,7,4,200,103.4,34.8,8,17,61,6.8,4,0.28,14,0.286,4,44.9,22,0.562,16.9,11,36,0.583,21,0.429,3
2019-12-04,"Coors Events/Conference Center, Boulder, Colorado",Loyola Marymount,Colorado,Home,25.9,7,12.5,4,104.1,63.6,21,0.548,52,0.519,27,0.327,17,0.412,7,5,200,87.7,23.3,7,29,64,17.8,13,0.173,9,0.333,3,44.4,28,0.533,23.2,18,43,0.558,24,0.375,3
2019-12-07,"Albert Gersten Pavilion, Los Angeles, California",Grambling,Loyola Marymount,Home,83.3,25,10.8,4,91.8,81.8,27,0.777,47,0.638,30,0.426,20,0.5,10,5,200,113.7,11.1,2,23,83,11.0,8,0.532,25,0.52,13,56.9,29,0.735,23.4,17,22,0.773,17,0.444,4
2019-12-13,"Albert Gersten Pavilion, Los Angeles, California",Prairie View,Loyola Marymount,Home,56.0,14,2.6,1,101.3,67.9,19,0.528,54,0.463,25,0.537,29,0.759,22,5,200,105.3,33.3,9,20,79,8.0,6,0.352,19,0.368,7,50.9,28,0.583,19.3,16,35,0.514,18,0.5,5
