date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Cross Insurance Center, Bangor, Maine",Merrimack,Maine,Home,75.0,21,17.1,6,95.5,64.1,25,0.62,50,0.56,28,0.54,27,0.815,22,0,200,125.4,42.9,9,15,84,6.0,4,0.36,18,0.333,6,56.7,34,0.669,17.4,13,32,0.688,22,1.0,1
2019-11-10,"Lavietes Pavilion, Boston, Massachusetts",Maine,Harvard,Home,52.9,9,2.6,1,108.1,74.1,20,0.38,50,0.34,17,0.26,13,0.615,8,1,200,74.2,25.0,8,17,46,12.9,8,0.3,15,0.267,4,47.5,28,0.409,21.2,15,35,0.371,13,0.5,1
2019-11-16,"Chiles Center, Portland, Oregon",Maine,Portland,Home,56.0,14,5.1,2,106.0,83.3,20,0.491,56,0.446,25,0.25,14,0.5,7,2,200,92.5,21.4,6,17,62,9.0,6,0.304,17,0.294,5,50.0,26,0.495,15.0,11,39,0.513,20,0.333,1
2019-11-19,"Alaska Airlines Arena, Seattle, Washington",Maine,Washington,Home,85.7,18,4.4,2,109.1,78.4,29,0.5,51,0.412,21,0.078,4,0.5,2,3,200,80.3,22.2,6,17,53,3.0,2,0.529,27,0.333,9,54.7,35,0.501,24.4,17,24,0.5,12,0.25,1
2019-11-24,"Portland Exposition Building, Portland, Maine","Maine Maritime
			",Maine,Home,72.2,26,16.2,6,67.6,97.1,34,0.588,68,0.529,36,0.221,15,0.667,10,3,200,121.6,43.3,13,13,90,18.9,14,0.426,29,0.276,8,72.3,47,0.599,13.9,12,39,0.718,28,0.4,2
2019-11-27,"John Paul Jones Arena, Charlottesville, Virginia",Maine,Virginia,Home,87.5,7,7.7,2,82.1,88.9,16,0.244,43,0.186,8,0.116,5,1.0,5,4,200,46.4,26.7,8,13,26,8.9,5,0.605,26,0.192,5,50.0,24,0.287,28.5,18,17,0.176,3,0.333,2
2019-12-01,"XL Center, Hartford, Connecticut",Maine,UConn,Home,78.6,11,23.7,9,97.0,77.8,28,0.4,40,0.35,14,0.275,11,0.727,8,5,200,60.6,23.8,5,14,40,7.6,5,0.4,16,0.25,4,57.9,33,0.442,35.8,25,24,0.417,10,0.286,2
2019-12-04,"Matthews Arena, Boston, Massachusetts",Maine,Northeastern,Home,69.6,16,10.3,3,127.9,65.4,17,0.564,47,0.489,23,0.298,14,0.714,10,6,200,103.3,32.1,9,17,63,4.9,3,0.468,22,0.318,7,48.1,26,0.587,23.1,16,25,0.64,16,0.25,2
2019-12-07,"Detrick Gymnasium, New Britain, Connecticut",Maine,Central Connecticut,Away,70.8,17,7.9,3,92.8,72.7,24,0.547,53,0.453,24,0.302,16,0.5,8,6,200,95.7,28.6,8,20,66,7.2,5,0.547,29,0.345,10,52.5,32,0.545,20.0,15,24,0.583,14,0.333,3
2019-12-11,"Cross Insurance Center, Bangor, Maine",Dartmouth,Maine,Away,82.4,14,6.1,2,128.3,76.9,20,0.398,49,0.347,17,0.204,10,0.5,5,7,200,73.3,26.7,8,16,44,3.3,2,0.367,18,0.278,5,50.0,28,0.409,20.8,14,31,0.387,12,0.3,3
