date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Bradley Center, Milwaukee, Wisconsin",CENTENARY-LA,MARQUETTE,Home,62.5,20,18.5,5,82.7,81.3,28,0.532,63,0.508,32,0.413,26,0.692,18,0,200.0,113.3,45.2,12,23,85,12.0,9,0.254,16.0,0.188,3.0,63.5,40,0.564,15.8,14,47.0,0.617,29.0,1.0,1
2009-11-17,"Bradley Center, Milwaukee, Wisconsin",MARYLAND-EASTERN-SHORE,MARQUETTE,Home,63.6,21,11.4,4,89.6,66.7,20,0.603,63,0.524,33,0.254,16,0.625,10,0,200.0,128.4,48.3,14,17,86,16.4,11,0.413,26.0,0.385,10.0,57.6,34,0.609,11.4,9,37.0,0.622,23.0,1.0,2
2009-11-24,"Bradley Center, Milwaukee, Wisconsin","South Dakota
			",MARQUETTE,Home,76.5,26,7.1,2,98.6,75.0,20,0.588,68,0.5,34,0.235,16,0.813,13,0,200.0,134.8,48.4,13,20,93,14.5,10,0.294,20.0,0.6,12.0,60.0,33,0.615,10.7,9,48.0,0.458,22.0,1.0,4
2009-11-26,"The Milk House, Lake Buena Vista, Florida",MARQUETTE,XAVIER,Away,65.2,15,9.6,5,83.6,52.3,25,0.52,51,0.451,23,0.529,27,0.667,18,0,200.0,97.3,19.4,4,17,71,15.1,11,0.235,12.0,0.583,7.0,38.7,29,0.556,18.2,14,39.0,0.41,16.0,1.0,5
2009-11-27,"The Milk House, Lake Buena Vista, Florida",MARQUETTE,MICHIGAN,Away,53.6,15,2.9,1,104.8,65.5,20,0.585,53,0.528,28,0.396,21,0.81,17,0,200.0,127.4,40.7,10,20,79,8.1,5,0.321,17.0,0.353,6.0,53.6,30,0.627,13.8,10,36.0,0.611,22.0,1.0,6
2009-11-29,"The Milk House, Lake Buena Vista, Florida",FLORIDA-STATE,MARQUETTE,Away,23.8,5,2.4,1,85.1,63.6,23,0.426,54,0.389,21,0.352,19,0.526,10,1,200.0,83.6,32.4,10,14,56,22.4,15,0.333,18.0,0.222,4.0,47.1,33,0.444,20.4,16,36.0,0.472,17.0,0.857,6
2009-12-05,"Bradley Center, Milwaukee, Wisconsin",NORTH-CAROLINA-STATE,MARQUETTE,Away,68.0,17,0.0,0,111.6,61.5,21,0.447,66,0.379,25,0.273,18,0.778,14,2,200.0,105.8,50.0,15,18,73,13.0,9,0.333,22.0,0.409,9.0,54.5,36,0.49,16.9,15,44.0,0.364,16.0,0.75,6
2009-12-08,"Bradley Center, Milwaukee, Wisconsin",MILWAUKEE,MARQUETTE,Home,58.3,14,10.0,3,76.1,82.8,24,0.587,46,0.522,24,0.457,21,0.81,17,2,200.0,106.0,4.5,1,17,71,19.4,13,0.326,15.0,0.4,6.0,49.0,25,0.634,17.8,11,31.0,0.581,18.0,0.778,7
2009-12-12,"Kohl Center, Madison, Wisconsin",MARQUETTE,WISCONSIN,Home,28.6,6,7.1,3,114.3,64.3,19,0.48,51,0.412,21,0.412,21,0.667,14,3,200.0,100.0,40.0,11,27,63,1.6,1,0.353,18.0,0.389,7.0,51.7,30,0.517,17.7,13,33.0,0.424,14.0,0.7,7
2009-12-19,"Bradley Center, Milwaukee, Wisconsin",NORTH-FLORIDA,MARQUETTE,Home,53.8,14,11.1,5,81.0,61.1,25,0.5,55,0.473,26,0.491,27,0.852,23,3,200.0,123.8,64.3,15,24,78,7.9,5,0.164,9.0,0.333,3.0,62.5,40,0.575,16.3,13,46.0,0.5,23.0,0.727,8
2009-12-27,"Bradley Center, Milwaukee, Wisconsin","Presbyterian
			",MARQUETTE,Home,61.5,24,6.9,2,96.9,81.5,22,0.688,64,0.609,39,0.266,17,0.824,14,3,200.0,159.4,44.4,12,12,102,10.9,7,0.266,17.0,0.588,10.0,63.0,34,0.708,5.3,4,47.0,0.617,29.0,0.75,9
2009-12-29,"WVU Coliseum, Morgantown, West Virginia",MARQUETTE,WEST-VIRGINIA,Home,59.1,13,4.3,2,105.0,54.2,14,0.54,50,0.44,22,0.24,12,0.667,8,4,200.0,103.3,24.1,6,11,62,11.7,7,0.32,16.0,0.625,10.0,37.7,20,0.557,14.0,8,34.0,0.353,12.0,0.692,9
2010-01-02,"Bradley Center, Milwaukee, Wisconsin",VILLANOVA,MARQUETTE,Away,72.7,16,2.0,1,112.1,67.9,21,0.472,54,0.407,22,0.481,26,0.808,21,5,200.0,109.1,29.0,7,22,72,7.6,5,0.444,24.0,0.292,7.0,47.5,28,0.543,10.9,8,30.0,0.5,15.0,0.643,9
2010-01-06,"Bradley Center, Milwaukee, Wisconsin",GEORGETOWN,MARQUETTE,Home,76.2,16,6.1,2,103.5,72.7,18,0.5,54,0.389,21,0.167,9,0.889,8,5,200.0,108.8,40.0,10,15,62,14.0,8,0.481,26.0,0.462,12.0,53.8,28,0.532,13.4,9,28.0,0.321,9.0,0.667,10
2010-01-09,"Wells Fargo Center, Philadelphia, Pennsylvania",MARQUETTE,VILLANOVA,Home,69.6,16,5.9,2,120.0,73.7,16,0.538,53,0.434,23,0.472,25,0.76,19,6,200.0,116.9,36.7,9,19,76,7.7,5,0.434,23.0,0.478,11.0,51.0,25,0.586,14.7,11,30.0,0.4,12.0,0.625,10
