date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-15,"Henderson Center, Huntington, West Virginia",NORTH-CAROLINA-AT,MARSHALL,Home,67.9,19,22.6,7,86.3,73.2,30,0.47,67,0.418,28,0.328,22,0.727,16,0,200.0,108.2,36.6,15,18,79,1.4,1,0.388,26.0,0.269,7.0,54.9,45,0.51,12.5,11,41.0,0.512,21.0,1.0,1
2009-11-17,"Henderson Center, Huntington, West Virginia",MIDDLE-TENNESSEE,MARSHALL,Home,68.2,15,14.6,6,89.6,60.7,18,0.443,53,0.415,22,0.547,29,0.552,16,0,200.0,94.0,47.1,15,19,63,13.4,9,0.302,16.0,0.188,3.0,53.2,33,0.472,19.6,16,37.0,0.514,19.0,1.0,2
2009-11-21,"Ted Constant Convocation Ctr., Norfolk, Virginia",MARSHALL,OLD-DOMINION,Home,52.0,13,7.3,3,111.1,39.3,12,0.5,57,0.439,25,0.211,12,0.417,5,1,200.0,98.4,39.4,12,19,62,19.0,12,0.281,16.0,0.438,7.0,39.3,24,0.494,17.3,12,41.0,0.439,18.0,0.667,2
2009-11-25,"Henderson Center, Huntington, West Virginia",LAMAR,MARSHALL,Home,56.3,18,22.0,13,101.4,52.0,27,0.547,64,0.5,32,0.344,22,0.773,17,1,200.0,119.2,36.4,11,22,87,11.0,8,0.266,17.0,0.353,6.0,45.8,38,0.584,12.0,10,47.0,0.553,26.0,0.75,3
2009-11-28,"Charleston Civic Center, Charleston, West Virginia",MARSHALL,OHIO,Away,47.6,10,31.3,10,80.3,65.9,28,0.425,53,0.396,21,0.472,25,0.6,15,1,200.0,90.9,45.5,14,22,60,12.1,8,0.264,14.0,0.214,3.0,56.8,42,0.462,19.0,14,39.0,0.462,18.0,0.8,4
2009-12-07,"Events Center, Binghamton, New York",MARSHALL,BINGHAMTON,Away,60.0,15,20.0,6,87.3,60.0,18,0.594,48,0.521,25,0.479,23,0.522,12,1,200.0,109.5,36.0,9,19,69,14.3,9,0.333,16.0,0.438,7.0,49.1,27,0.585,19.4,14,32.0,0.563,18.0,0.857,6
2009-12-12,"Henderson Center, Huntington, West Virginia",TROY,MARSHALL,Home,71.4,25,16.3,7,101.4,68.4,26,0.601,69,0.507,35,0.319,22,0.727,16,1,200.0,143.5,48.6,17,18,99,10.1,7,0.377,26.0,0.5,13.0,58.9,43,0.623,7.1,6,43.0,0.512,22.0,0.875,7
2009-12-20,"Henderson Center, Huntington, West Virginia",HIGH-POINT,MARSHALL,Home,51.4,18,22.6,12,96.2,63.6,28,0.621,62,0.565,35,0.726,45,0.711,32,1,200.0,138.0,64.5,20,22,109,11.4,9,0.242,15.0,0.467,7.0,64.0,48,0.654,15.5,15,47.0,0.596,28.0,0.9,9
2009-12-22,"Dean Smith Center, Chapel Hill, North Carolina",MARSHALL,NORTH-CAROLINA,Home,39.3,11,13.3,8,118.1,44.1,18,0.385,78,0.359,28,0.051,4,0.25,1,2,200.0,73.5,32.6,12,21,61,10.8,9,0.231,18.0,0.222,4.0,37.5,30,0.382,18.4,18,60.0,0.4,24.0,0.818,9
2009-12-28,"Trojan Arena, Troy, Alabama",MARSHALL,TROY,Away,51.6,16,7.5,3,105.6,76.5,26,0.548,63,0.492,31,0.19,12,0.75,9,2,200.0,109.9,54.5,18,19,78,1.4,1,0.349,22.0,0.318,7.0,65.7,44,0.568,24.4,22,41.0,0.585,24.0,0.833,10
2010-01-02,"Henderson Center, Huntington, West Virginia",ST-BONAVENTURE,MARSHALL,Home,69.0,20,21.1,8,83.6,73.7,30,0.533,60,0.483,29,0.383,23,0.696,16,2,200.0,109.6,27.6,6,16,80,12.3,9,0.267,16.0,0.375,6.0,53.7,36,0.564,12.5,10,44.0,0.523,23.0,0.846,11
2010-01-05,"Henderson Center, Huntington, West Virginia",SOUTHERN-MISSISSIPPI,MARSHALL,Home,67.9,19,16.7,8,98.4,51.4,19,0.492,61,0.459,28,0.344,21,0.762,16,2,200.0,118.8,51.6,15,17,76,9.4,6,0.393,24.0,0.167,4.0,51.5,34,0.535,11.4,9,37.0,0.649,24.0,0.857,12
2010-01-09,"Williams Arena at Minges Coliseum, Greenville, North Carolina",MARSHALL,EAST-CAROLINA,Away,63.0,17,15.6,7,97.0,71.0,23,0.57,57,0.474,27,0.368,21,0.857,18,2,200.0,123.9,28.6,7,15,83,7.5,5,0.404,23.0,0.478,11.0,50.8,30,0.62,10.8,7,34.0,0.471,16.0,0.867,13
