date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Bryce Jordan Center, University Park, Pennsylvania",Maryland-Eastern Shore,Penn State,Home,44.4,8,3.7,1,116.7,59.4,19,0.37,54,0.333,18,0.241,13,0.462,6,1,200,63.9,21.9,7,22,46,9.7,7,0.352,19,0.211,4,40.6,26,0.382,24.1,19,35,0.4,14,0.0,0
2019-11-10,"Vines Center, Lynchburg, Virginia",Maryland-Eastern Shore,Liberty,Home,23.8,5,3.8,1,110.0,68.0,17,0.469,49,0.429,21,0.265,13,0.692,9,2,200,91.7,24.1,7,13,55,11.7,7,0.265,13,0.308,4,44.4,24,0.498,19.2,13,36,0.472,17,0.0,0
2019-11-12,"Willett Hall, Farmville, Virginia",Maryland-Eastern Shore,Longwood,Home,42.9,9,13.3,4,121.4,85.0,17,0.427,55,0.382,21,0.273,15,0.533,8,3,200,78.6,25.8,8,18,55,10.0,7,0.455,25,0.2,5,49.0,25,0.443,19.6,15,30,0.533,16,0.0,0
2019-11-16,"Ellis T. Johnson Arena, Morehead, Kentucky",Maryland-Eastern Shore,Morehead State,Home,50.0,10,15.9,7,102.7,67.6,23,0.444,54,0.37,20,0.204,11,0.455,5,4,200,71.6,17.1,6,19,53,12.2,9,0.519,28,0.286,8,42.0,29,0.447,25.4,20,26,0.462,12,0.0,0
2019-11-19,"Maples Pavilion, Stanford, California",Maryland-Eastern Shore,Stanford,Home,55.0,11,15.2,5,111.8,69.6,16,0.452,52,0.385,20,0.231,12,0.667,8,5,200,80.9,28.1,9,22,55,13.2,9,0.365,19,0.368,7,45.5,25,0.477,22.9,17,33,0.394,13,0.0,0
2019-11-21,"Lloyd Noble Center, Norman, Oklahoma",Maryland-Eastern Shore,Oklahoma,Home,41.7,10,4.8,2,123.0,63.0,17,0.534,58,0.414,24,0.086,5,0.4,2,6,200,86.5,9.4,3,22,64,14.9,11,0.552,32,0.438,14,33.9,20,0.53,22.0,17,26,0.385,10,0.0,0
2019-11-26,"Hytche Athletic Center, Princess Anne, Maryland",Wofford,Maryland-Eastern Shore,Away,62.5,10,16.0,4,101.5,70.0,21,0.346,52,0.308,16,0.154,8,0.75,6,7,200,63.6,20.0,7,10,42,9.1,6,0.365,19,0.211,4,43.1,28,0.376,24.5,18,33,0.364,12,0.0,0
2019-11-29,"Bob Carpenter Center, Newark, Delaware",Maryland-Eastern Shore,Delaware,Home,36.4,8,9.4,3,111.9,75.9,22,0.386,66,0.333,22,0.121,8,0.625,5,8,200,83.6,24.4,11,18,56,6.0,4,0.364,24,0.292,7,44.6,33,0.401,10.3,8,42,0.357,15,0.0,0
2019-12-01,"Rose Hill Gym, Bronx, New York",Maryland-Eastern Shore,Fordham,Home,52.9,9,7.9,3,93.0,66.7,20,0.377,53,0.321,17,0.189,10,0.5,5,9,200,63.4,8.8,3,14,45,18.3,13,0.491,26,0.231,6,35.9,23,0.39,22.8,17,27,0.407,11,0.0,0
2019-12-03,"Ferrell Center, Waco, Texas",Maryland-Eastern Shore,Baylor,Home,47.1,8,11.1,4,105.4,61.9,26,0.305,64,0.266,17,0.172,11,0.636,7,10,200,62.2,20.0,9,19,46,9.5,7,0.297,19,0.263,5,40.2,35,0.332,17.9,15,45,0.267,12,0.0,0
