date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-09,"Millett Hall, Oxford, Ohio",Wright State,Miami (OH),Away,40.0,12,14.0,8,110.0,59.5,25,0.538,65,0.462,30,0.231,15,0.733,11,1,200,101.3,18.9,7,23,81,7.5,6,0.369,24,0.417,10,40.5,32,0.562,16.4,14,41,0.488,20,0.0,0
2019-11-13,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",Miami (OH),Purdue-Fort Wayne,Away,51.6,16,10.7,3,106.7,73.1,19,0.547,64,0.484,31,0.281,18,0.778,14,1,200,112.0,28.1,9,18,84,9.3,7,0.406,26,0.308,8,48.3,28,0.579,14.3,12,38,0.605,23,0.5,1
2019-11-16,"Millett Hall, Oxford, Ohio",Alabama A&M,Miami (OH),Home,69.0,20,13.9,5,92.6,91.2,31,0.537,68,0.426,29,0.147,10,0.6,6,1,200,116.2,35.0,14,14,79,7.4,5,0.544,37,0.405,15,60.8,45,0.543,11.1,9,31,0.452,14,0.667,2
2019-11-20,"Millett Hall, Oxford, Ohio","Central State (OH)
			",Miami (OH),Home,69.0,20,11.1,4,57.7,82.2,37,0.486,69,0.42,29,0.217,15,0.867,13,1,200,102.6,28.9,11,15,80,12.8,10,0.42,29,0.31,9,57.8,48,0.525,16.6,15,40,0.5,20,0.75,3
2019-11-25,"Germain Arena, Estero, Florida",Miami (OH),Drake,Away,17.4,4,9.1,3,78.7,70.7,29,0.51,51,0.451,23,0.412,21,0.714,15,1,200,89.3,14.3,4,20,67,10.7,8,0.412,21,0.286,6,47.8,33,0.549,24.0,19,30,0.567,17,0.8,4
2019-11-26,"Germain Arena, Estero, Florida",Miami (OH),South Alabama,Home,34.6,9,0.0,0,124.2,68.2,15,0.544,57,0.456,26,0.175,10,0.9,9,2,200,107.6,14.3,4,20,71,3.0,2,0.421,24,0.417,10,38.0,19,0.575,14.0,10,33,0.485,16,0.667,4
2019-11-27,"Germain Arena, Estero, Florida",Miami (OH),Wright State,Home,20.8,5,5.3,2,98.6,76.3,29,0.41,67,0.358,24,0.299,20,0.55,11,3,200,91.7,31.8,14,21,66,2.8,2,0.388,26,0.269,7,52.4,43,0.431,12.7,11,41,0.415,17,0.571,4
2019-12-03,"Millett Hall, Oxford, Ohio",Northern Kentucky,Miami (OH),Away,55.6,10,3.7,1,110.1,71.9,23,0.364,55,0.327,18,0.291,16,0.875,14,4,200,78.3,25.6,10,20,54,8.7,6,0.436,24,0.167,4,46.5,33,0.431,19.5,15,31,0.452,14,0.5,4
2019-12-07,"Ford Center, Evansville, Indiana",Miami (OH),Evansville,Home,36.4,12,3.4,1,140.3,63.6,14,0.579,63,0.524,33,0.238,15,0.933,14,5,200,120.8,14.3,4,19,87,2.8,2,0.302,19,0.368,7,36.0,18,0.62,9.1,7,44,0.591,26,0.444,4
2019-12-15,"Millett Hall, Oxford, Ohio",Mississippi Valley State,Miami (OH),Home,66.7,20,9.3,4,93.1,68.3,28,0.493,72,0.417,30,0.153,11,0.727,8,5,200,109.7,36.8,14,10,79,2.8,2,0.5,36,0.306,11,53.2,42,0.511,11.5,10,36,0.528,19,0.5,5
2019-12-18,"KFC Yum! Center, Louisville, Kentucky",Miami (OH),Louisville,Home,61.1,11,2.8,1,101.4,67.4,29,0.318,66,0.273,18,0.091,6,0.667,4,6,200,66.7,15.2,7,19,46,4.3,3,0.5,33,0.182,6,40.4,36,0.334,11.6,9,33,0.364,12,0.455,5
2019-12-21,"Millett Hall, Oxford, Ohio",Bradley,Miami (OH),Home,56.5,13,7.9,3,83.3,69.8,30,0.483,59,0.39,23,0.288,17,0.824,14,6,200,107.6,19.4,7,23,71,9.1,6,0.475,28,0.393,11,46.8,37,0.529,8.3,6,31,0.387,12,0.5,6
2019-12-30,"Millett Hall, Oxford, Ohio","Wilberforce
			",Miami (OH),Home,57.4,27,14.3,8,68.4,73.9,34,0.75,70,0.671,47,0.271,19,0.737,14,6,200,156.6,50.0,12,14,119,13.2,10,0.343,24,0.458,11,65.7,46,0.753,11.3,10,46,0.783,36,0.538,7
2020-01-04,"McGuirk Arena, Mt. Pleasant, Michigan",Miami (OH),Central Michigan,Home,32.3,10,8.1,3,127.4,61.3,19,0.615,61,0.508,31,0.131,8,0.875,7,7,200,112.3,31.0,9,16,82,6.8,5,0.41,25,0.52,13,46.7,28,0.633,20.9,17,36,0.5,18,0.5,7
2020-01-07,"Stroh Center, Bowling Green, Ohio",Miami (OH),Bowling Green State,Home,37.5,9,0.0,0,108.3,67.6,25,0.414,70,0.343,24,0.4,28,0.643,18,8,200,105.6,34.8,16,16,76,4.2,3,0.4,28,0.357,10,49.4,41,0.456,6.8,6,42,0.333,14,0.467,7
2020-01-10,"Millett Hall, Oxford, Ohio",Buffalo,Miami (OH),Away,44.4,12,6.5,3,105.1,78.9,30,0.477,64,0.422,27,0.391,25,0.68,17,9,200,98.7,21.1,8,22,78,6.3,5,0.344,22,0.318,7,50.0,38,0.514,13.8,12,42,0.476,20,0.438,7
2020-01-14,"Millett Hall, Oxford, Ohio",Kent State,Miami (OH),Home,47.8,11,8.0,2,102.8,82.8,24,0.587,46,0.5,23,0.761,35,0.657,23,9,200,106.9,18.5,5,18,77,6.9,5,0.391,18,0.444,8,51.8,29,0.615,16.3,12,28,0.536,15,0.471,8
2020-01-18,"Worthen Arena, Muncie, Indiana",Miami (OH),Ball State,Home,45.8,11,4.8,1,110.9,76.9,20,0.578,51,0.471,24,0.078,4,0.75,3,10,200,96.9,8.0,2,21,62,6.3,4,0.373,19,0.579,11,43.1,22,0.586,19.8,13,32,0.406,13,0.444,8
2020-01-21,"Millett Hall, Oxford, Ohio",Akron,Miami (OH),Away,47.6,10,6.1,2,119.1,70.8,17,0.471,52,0.404,21,0.288,15,0.733,11,11,200,88.2,17.2,5,15,60,5.9,4,0.308,16,0.438,7,41.5,22,0.507,19.3,14,36,0.389,14,0.421,8
2020-01-25,"Millett Hall, Oxford, Ohio",Eastern Michigan,Miami (OH),Home,67.9,19,8.0,2,104.6,74.1,20,0.56,58,0.483,28,0.138,8,1.0,8,11,200,112.3,26.9,7,16,73,12.3,8,0.448,26,0.346,9,50.9,27,0.591,14.0,10,32,0.594,19,0.45,9
2020-02-01,"Convocation Center, DeKalb, Illinois",Miami (OH),Northern Illinois,Home,45.0,9,2.9,1,102.9,71.0,22,0.405,58,0.345,20,0.207,12,0.667,8,12,200,80.9,21.6,8,19,55,4.4,3,0.448,26,0.269,7,44.1,30,0.432,14.8,11,32,0.406,13,0.429,9
2020-02-04,"Millett Hall, Oxford, Ohio",Western Michigan,Miami (OH),Away,50.0,11,10.3,3,95.5,84.0,21,0.426,61,0.361,22,0.311,19,0.421,8,13,200,89.6,25.0,10,21,60,9.0,6,0.393,24,0.333,8,47.7,31,0.428,9.2,7,37,0.378,14,0.409,9
2020-02-08,"Convocation Center, Athens, Ohio",Miami (OH),Ohio,Home,33.3,5,3.4,1,106.9,82.1,23,0.298,57,0.263,15,0.281,16,0.75,12,14,200,63.9,20.0,8,19,46,9.7,7,0.351,20,0.2,4,45.6,31,0.356,20.0,16,37,0.297,11,0.391,9
2020-02-11,"John F. Savage Hall, Toledo, Ohio",Miami (OH),Toledo,Home,38.1,8,0.0,0,103.2,65.6,21,0.44,58,0.362,21,0.276,16,0.375,6,15,200,90.5,20.9,9,25,57,9.5,6,0.534,31,0.29,9,40.0,30,0.434,9.7,7,27,0.444,12,0.375,9
2020-02-15,"Millett Hall, Oxford, Ohio",Northern Illinois,Miami (OH),Home,43.5,10,5.4,2,96.8,70.6,24,0.51,50,0.46,23,0.4,20,0.7,14,15,200,104.8,13.8,4,16,65,6.5,4,0.4,20,0.25,5,44.4,28,0.546,10.6,7,30,0.6,18,0.4,10
2020-02-22,"James A. Rhodes Arena, Akron, Ohio",Miami (OH),Akron,Home,40.0,10,4.0,1,111.9,78.1,25,0.413,69,0.362,25,0.203,14,0.571,8,16,200,97.0,27.3,12,20,65,3.0,2,0.391,27,0.259,7,48.7,37,0.43,6.2,5,42,0.429,18,0.385,10
2020-02-25,"Memorial Athletic & Convocation Center, Kent, Ohio",Miami (OH),Kent State,Home,60.9,14,2.9,1,112.1,64.7,11,0.582,49,0.469,23,0.143,7,0.571,4,17,200,92.4,16.7,4,11,61,9.1,6,0.51,25,0.44,11,36.6,15,0.583,23.5,16,24,0.5,12,0.37,10
2020-02-27,"Millett Hall, Oxford, Ohio",Central Michigan,Miami (OH),Home,58.6,17,7.3,3,77.0,78.4,29,0.556,62,0.468,29,0.194,12,0.583,7,17,200,102.7,40.0,12,19,76,14.9,11,0.355,22,0.5,11,61.2,41,0.561,20.2,17,40,0.45,18,0.393,11
2020-02-29,"Millett Hall, Oxford, Ohio",Bowling Green State,Miami (OH),Home,25.9,7,0.0,0,82.1,88.2,30,0.476,62,0.435,27,0.226,14,1.0,14,17,200,109.0,28.1,9,14,73,9.0,6,0.306,19,0.263,5,59.1,39,0.532,11.7,9,43,0.512,22,0.414,12
2020-03-03,"Alumni Arena, Buffalo, New York",Miami (OH),Buffalo,Home,60.0,12,5.0,2,108.7,58.3,21,0.405,58,0.345,20,0.414,24,0.917,22,18,200,100.0,28.2,11,26,69,2.9,2,0.414,24,0.292,7,42.7,32,0.497,12.7,10,34,0.382,13,0.4,12
