date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Breslin Events Center, East Lansing, Michigan","Florida Gulf Coast
			",Michigan State,Home,63.6,21,8.1,3,74.4,73.7,31,0.521,71,0.465,33,0.521,37,0.622,23,0,200.0,124.4,52.4,19,21,97,9.0,7,0.366,26.0,0.308,8.0,62.5,50,0.548,13.0,13,45.0,0.556,25.0,1.0,1
2009-11-17,"Breslin Events Center, East Lansing, Michigan",Gonzaga,Michigan State,Home,60.0,15,9.6,5,92.2,66.7,31,0.465,57,0.439,25,0.544,31,0.71,22,0,200.0,97.4,46.4,12,22,75,7.8,6,0.193,11.0,0.273,3.0,58.9,43,0.523,22.1,20,46.0,0.478,22.0,1.0,2
2009-11-20,"Breslin Events Center, East Lansing, Michigan",Toledo,Michigan State,Home,73.3,22,9.3,4,92.5,64.7,24,0.485,66,0.455,30,0.394,26,0.423,11,0,200.0,111.9,40.0,14,15,75,7.5,5,0.258,17.0,0.235,4.0,51.4,38,0.479,7.2,6,49.0,0.531,26.0,1.0,3
2009-11-27,"Boardwalk Hall, Atlantic City, New Jersey",Florida,Michigan State,Away,58.1,18,2.7,1,108.5,62.5,22,0.542,59,0.525,31,0.237,14,0.714,10,1,200.0,104.2,69.2,16,18,74,7.0,5,0.169,10.0,0.2,2.0,65.5,38,0.564,26.1,22,49.0,0.592,29.0,0.8,4
2009-11-28,"Boardwalk Hall, Atlantic City, New Jersey",Michigan State,UMass,Away,65.9,27,6.5,2,91.9,66.7,24,0.686,70,0.586,41,0.229,16,0.625,10,1,200.0,143.2,40.6,11,21,106,8.1,6,0.314,22.0,0.636,14.0,53.8,35,0.683,12.5,11,48.0,0.563,27.0,0.833,5
2009-12-01,"Dean Smith Center, Chapel Hill, North Carolina",Michigan State,UNC,Home,47.1,16,4.3,2,114.1,60.0,19,0.443,79,0.43,34,0.203,16,0.75,12,2,200.0,105.1,42.2,15,24,82,19.2,15,0.253,20.0,0.1,2.0,48.6,34,0.473,11.3,11,59.0,0.542,32.0,0.714,5
2009-12-04,"Breslin Events Center, East Lansing, Michigan",Wofford,Michigan State,Home,70.0,21,16.2,6,92.3,71.1,27,0.6,55,0.545,30,0.164,9,0.667,6,2,200.0,110.8,65.0,13,13,72,1.5,1,0.273,15.0,0.4,6.0,69.0,40,0.607,24.4,19,40.0,0.6,24.0,0.75,6
2009-12-07,"McAlister Field House, Charleston, South Carolina",Michigan State,Citadel,Away,56.5,13,13.8,4,101.8,74.2,23,0.607,42,0.548,23,0.667,28,0.643,18,2,200.0,125.5,60.0,12,13,69,9.1,5,0.262,11.0,0.455,5.0,68.6,35,0.624,18.1,11,31.0,0.581,18.0,0.778,7
2009-12-10,"Breslin Events Center, East Lansing, Michigan",Oakland,Michigan State,Home,55.6,20,5.3,2,79.2,69.2,27,0.594,64,0.563,36,0.281,18,0.667,12,2,200.0,122.2,46.4,13,18,88,16.7,12,0.203,13.0,0.308,4.0,59.7,40,0.606,14.3,12,51.0,0.627,32.0,0.8,8
2009-12-19,"Breslin Events Center, East Lansing, Michigan",Purdue-Fort Wayne,Michigan State,Home,78.6,22,8.8,3,77.3,70.0,28,0.526,57,0.491,28,0.439,25,0.8,20,2,200.0,106.7,35.5,11,18,80,14.7,11,0.175,10.0,0.4,4.0,54.9,39,0.581,17.1,14,47.0,0.511,24.0,0.818,9
2009-12-22,"Frank Erwin Center, Austin, Texas",Michigan State,Texas,Home,52.2,12,0.0,0,105.3,62.5,19,0.5,52,0.442,23,0.385,20,0.8,16,3,200.0,90.7,30.8,4,18,68,10.7,8,0.288,15.0,0.4,6.0,46.0,23,0.553,26.6,22,37.0,0.459,17.0,0.75,9
2009-12-30,"Breslin Events Center, East Lansing, Michigan",Texas-Arlington,Michigan State,Home,67.7,21,9.4,3,93.2,66.7,19,0.566,61,0.508,31,0.426,26,0.692,18,3,200.0,119.2,51.6,15,17,87,13.7,10,0.328,20.0,0.35,7.0,58.6,34,0.593,17.2,15,41.0,0.585,24.0,0.769,10
2010-01-02,"Welsh-Ryan Arena, Evanston, Illinois",Michigan State,Northwestern,Away,71.0,22,19.4,7,98.6,68.3,30,0.639,54,0.574,31,0.556,30,0.733,22,3,200.0,128.2,47.8,9,22,91,8.5,6,0.296,16.0,0.438,7.0,60.9,39,0.667,17.2,14,38.0,0.632,24.0,0.786,11
2010-01-06,"Breslin Events Center, East Lansing, Michigan",Wisconsin,Michigan State,Home,68.8,11,3.6,1,78.3,81.8,28,0.405,42,0.381,16,0.714,30,0.667,20,3,200.0,90.0,39.3,10,15,54,5.0,3,0.095,4.0,0.5,2.0,62.3,38,0.48,20.2,14,38.0,0.368,14.0,0.8,12
2010-01-09,"Carver-Hawkeye Arena, Iowa City, Iowa",Michigan State,Iowa,Away,59.3,16,0.0,0,82.8,75.8,25,0.592,49,0.551,27,0.347,17,0.765,13,3,200.0,110.9,52.2,12,14,71,7.8,5,0.224,11.0,0.364,4.0,66.1,37,0.622,24.2,18,38.0,0.605,23.0,0.812,13
2010-01-13,"Breslin Events Center, East Lansing, Michigan",Minnesota,Michigan State,Home,76.2,16,14.3,6,86.9,56.7,19,0.405,58,0.362,21,0.362,21,0.619,13,3,200.0,98.4,45.7,14,13,60,9.8,6,0.31,18.0,0.278,5.0,50.8,33,0.441,12.9,8,40.0,0.4,16.0,0.824,14
