date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Crisler Arena, Ann Arbor, Michigan",Appalachian State,Michigan,Home,51.7,15,13.6,6,91.0,80.8,21,0.549,61,0.475,29,0.311,19,0.632,12,0,200,101.3,30.6,11,18,79,10.3,8,0.41,25,0.36,9,51.6,32,0.564,19.7,17,36,0.556,20,1.0,1
2019-11-12,"Crisler Arena, Ann Arbor, Michigan",Creighton,Michigan,Home,53.3,16,11.3,6,104.5,58.3,21,0.651,53,0.566,30,0.226,12,0.833,10,0,200,119.7,13.6,3,7,79,4.5,3,0.434,23,0.391,9,41.4,24,0.673,15.9,11,30,0.7,21,1.0,2
2019-11-15,"Crisler Arena, Ann Arbor, Michigan",Elon,Michigan,Home,42.9,12,13.0,6,76.9,87.5,28,0.543,58,0.483,28,0.172,10,0.7,7,0,200,107.7,24.1,7,7,70,4.6,3,0.397,23,0.304,7,57.4,35,0.558,13.8,10,35,0.6,21,1.0,3
2019-11-22,"Crisler Arena, Ann Arbor, Michigan",Houston Baptist,Michigan,Home,67.4,29,8.3,4,78.2,81.6,31,0.649,77,0.558,43,0.208,16,0.688,11,0,200,127.6,30.6,11,12,111,10.3,9,0.377,29,0.483,14,56.8,42,0.656,12.5,12,48,0.604,29,1.0,4
2019-11-27,"Imperial Arena at Atlantis Resort, Paradise Island",Michigan,Iowa State,Away,60.0,18,6.3,3,96.2,82.1,32,0.673,52,0.577,30,0.346,18,0.722,13,0,200,105.1,13.6,3,19,83,6.3,5,0.404,21,0.476,10,57.4,35,0.685,26.9,22,31,0.645,20,1.0,5
2019-11-28,"Imperial Arena at Atlantis Resort, Paradise Island",UNC,Michigan,Home,53.6,15,14.6,7,88.9,76.5,26,0.598,56,0.5,28,0.179,10,0.6,6,0,200,101.4,19.2,5,18,73,9.7,7,0.464,26,0.423,11,51.7,31,0.601,19.9,15,30,0.567,17,1.0,6
2019-11-29,"Imperial Arena at Atlantis Resort, Paradise Island",Gonzaga,Michigan,Home,50.0,17,11.3,6,90.1,71.8,28,0.635,63,0.54,34,0.079,5,0.4,2,0,200,115.5,22.6,7,12,82,7.0,5,0.365,23,0.522,12,50.0,35,0.627,14.4,11,40,0.55,22,1.0,7
2019-12-03,"KFC Yum! Center, Louisville, Kentucky",Michigan,Louisville,Home,40.0,6,7.3,3,86.6,76.9,30,0.284,58,0.259,15,0.259,15,0.667,10,1,200,64.2,18.6,8,14,43,6.0,4,0.328,19,0.158,3,46.3,38,0.33,13.4,10,39,0.308,12,0.875,7
2019-12-06,"Crisler Arena, Ann Arbor, Michigan",Iowa,Michigan,Home,65.6,21,10.2,6,121.3,64.1,25,0.638,58,0.552,32,0.586,34,0.853,29,1,200,137.3,44.0,11,19,103,5.3,4,0.414,24,0.417,10,56.3,36,0.695,11.0,9,34,0.647,22,0.889,8
2019-12-11,"State Farm Center, Champaign, Illinois",Michigan,Illinois,Home,44.4,12,10.0,5,101.4,63.3,19,0.46,62,0.435,27,0.097,6,0.833,5,2,200,88.6,16.1,5,18,62,8.6,6,0.29,18,0.167,3,39.3,24,0.478,11.0,8,44,0.545,24,0.8,8
2019-12-14,"Crisler Arena, Ann Arbor, Michigan",Oregon,Michigan,Away,56.0,14,8.1,3,101.4,80.8,21,0.484,61,0.41,25,0.23,14,0.786,11,3,225,100.0,20.0,6,12,70,5.7,4,0.344,21,0.429,9,48.2,27,0.517,14.1,11,40,0.4,16,0.727,8
2019-12-21,"Crisler Arena, Ann Arbor, Michigan",Presbyterian,Michigan,Home,50.0,14,15.0,6,67.7,78.9,30,0.632,53,0.528,28,0.472,25,0.76,19,3,200,132.3,46.2,12,12,86,10.8,7,0.509,27,0.407,11,65.6,42,0.663,11.1,8,26,0.654,17,0.75,9
2019-12-29,"Crisler Arena, Ann Arbor, Michigan",UMass-Lowell,Michigan,Home,52.8,19,4.3,2,81.1,90.3,28,0.597,67,0.537,36,0.104,7,0.857,6,3,200,116.2,32.3,10,12,86,5.4,4,0.313,21,0.381,8,61.3,38,0.611,16.7,14,46,0.609,28,0.769,10
2020-01-05,"Breslin Events Center, East Lansing, Michigan",Michigan,Michigan State,Home,56.0,14,13.2,5,114.5,70.4,19,0.399,69,0.362,25,0.319,22,0.636,14,4,200,90.8,26.7,12,22,69,9.2,7,0.333,23,0.217,5,43.1,31,0.434,11.3,10,46,0.435,20,0.714,10
2020-01-09,"Crisler Arena, Ann Arbor, Michigan",Purdue,Michigan,Home,54.8,17,13.5,7,94.0,64.7,22,0.523,66,0.47,31,0.364,24,0.625,15,4,250,101.2,11.8,4,17,84,8.4,7,0.439,29,0.241,7,38.2,26,0.543,10.5,9,37,0.649,24,0.733,11
