date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-16,"Maravich Assembly Center, Baton Rouge, Louisiana",WESTERN-KENTUCKY,MILWAUKEE,Away,50.0,13,0.0,0,104.5,70.8,18,0.5,61,0.426,26,0.131,8,0.5,4,1,200.0,98.5,35.1,12,18,65,12.1,8,0.426,26.0,0.346,9.0,49.2,30,0.502,17.8,13,35.0,0.486,17.0,0.5,1
2009-11-17,"Maravich Assembly Center, Baton Rouge, Louisiana",INDIANA-STATE,MILWAUKEE,Away,41.7,10,2.7,1,118.8,65.0,15,0.397,68,0.353,24,0.191,13,0.692,9,2,200.0,98.4,48.9,20,13,63,15.6,10,0.353,24.0,0.25,6.0,53.8,35,0.425,15.0,13,44.0,0.409,18.0,0.333,1
2009-11-23,"Daniel-Meyer Coliseum, Fort Worth, Texas",MILWAUKEE,TEXAS-STATE,Away,68.0,17,5.4,2,93.9,67.6,24,0.646,48,0.521,25,0.896,43,0.791,34,2,200.0,117.1,36.4,7,33,96,12.2,10,0.438,21.0,0.571,12.0,55.4,31,0.701,26.4,24,27.0,0.481,13.0,0.6,3
2009-11-24,"Daniel-Meyer Coliseum, Fort Worth, Texas",MILWAUKEE,COLGATE,Away,47.8,11,12.1,4,101.7,76.7,24,0.56,50,0.46,23,0.38,19,0.684,13,2,200.0,116.9,36.0,8,17,69,3.4,2,0.44,22.0,0.455,10.0,58.2,32,0.584,14.6,8,28.0,0.464,13.0,0.667,4
2009-11-28,"Anderson Arena, Bowling Green, Ohio",MILWAUKEE,BOWLING-GREEN-STATE,Away,50.0,15,2.1,1,103.8,66.7,24,0.522,68,0.441,30,0.426,29,0.655,19,2,225.0,112.5,31.7,13,22,90,11.3,9,0.471,32.0,0.344,11.0,48.1,37,0.55,12.0,11,36.0,0.528,19.0,0.714,5
2009-12-03,"U.S. Cellular Arena, Milwaukee, Wisconsin",ILLINOIS-CHICAGO,MILWAUKEE,Home,42.1,8,6.5,3,72.2,77.5,32,0.323,65,0.292,19,0.369,24,0.625,15,2,200.0,79.2,32.7,15,16,57,5.6,4,0.4,26.0,0.154,4.0,52.8,47,0.373,12.7,11,39.0,0.385,15.0,0.75,6
2009-12-05,"U.S. Cellular Arena, Milwaukee, Wisconsin",LOYOLA-IL,MILWAUKEE,Away,59.1,13,6.1,2,106.2,78.1,26,0.442,60,0.367,22,0.25,15,0.733,11,3,200.0,98.5,28.2,10,23,64,7.7,5,0.483,29.0,0.31,9.0,50.7,36,0.477,13.1,10,31.0,0.419,13.0,0.667,6
2009-12-08,"Bradley Center, Milwaukee, Wisconsin",MILWAUKEE,MARQUETTE,Home,52.6,10,3.2,1,106.0,95.5,22,0.457,46,0.413,19,0.261,12,0.75,9,4,200.0,76.1,17.2,4,18,51,7.5,5,0.348,16.0,0.25,4.0,51.0,26,0.493,28.1,19,30.0,0.5,15.0,0.6,6
2009-12-12,"Bison Sports Arena, Fargo, North Dakota",MILWAUKEE,NORTH-DAKOTA-STATE,Away,36.0,9,7.1,3,98.6,81.8,29,0.536,55,0.455,25,0.545,30,0.833,25,4,200.0,113.5,37.9,9,22,84,9.5,7,0.382,21.0,0.429,9.0,61.3,38,0.606,18.0,15,34.0,0.471,16.0,0.636,7
2009-12-19,"U.S. Cellular Arena, Milwaukee, Wisconsin",MIAMI-OH,MILWAUKEE,Home,50.0,11,5.7,2,101.7,65.7,24,0.5,51,0.431,22,0.529,27,0.63,17,4,200.0,113.3,34.3,11,14,68,10.0,6,0.431,22.0,0.318,7.0,50.0,35,0.533,10.0,7,29.0,0.517,15.0,0.667,8
2009-12-23,"Kohl Center, Madison, Wisconsin",MILWAUKEE,WISCONSIN,Home,56.5,13,0.0,0,119.3,64.0,19,0.52,50,0.46,23,0.24,12,0.5,6,5,200.0,101.8,21.4,3,22,58,7.0,4,0.3,15.0,0.4,6.0,41.5,22,0.521,11.2,7,35.0,0.486,17.0,0.615,8
2009-12-31,"Athletics-Recreation Center, Valparaiso, Indiana",MILWAUKEE,VALPARAISO,Home,63.2,12,8.3,3,90.2,64.3,20,0.5,47,0.404,19,0.234,11,0.636,7,6,200.0,88.5,40.0,8,16,54,14.8,9,0.511,24.0,0.375,9.0,52.8,28,0.517,26.8,19,23.0,0.435,10.0,0.571,8
2010-01-02,"Hinkle Fieldhouse, Indianapolis, Indiana",MILWAUKEE,BUTLER,Home,42.3,11,6.1,2,117.6,57.1,17,0.5,56,0.464,26,0.268,15,0.733,11,7,200.0,98.5,20.0,5,21,67,0.0,0,0.286,16.0,0.25,4.0,37.9,22,0.531,16.1,12,40.0,0.55,22.0,0.533,8
2010-01-05,"Sam Vadalabene Center , Edwardsville, Illinois",MILWAUKEE,"SIU-Edwardsville
			",Away,66.7,18,0.0,0,101.4,81.5,26,0.492,64,0.422,27,0.422,27,0.741,20,7,200.0,115.3,50.0,16,20,83,6.9,5,0.391,25.0,0.36,9.0,62.7,42,0.54,17.4,16,39.0,0.462,18.0,0.562,9
2010-01-09,"U.S. Cellular Arena, Milwaukee, Wisconsin",GREEN-BAY,MILWAUKEE,Home,68.2,15,18.9,7,77.3,73.7,30,0.628,43,0.512,22,0.605,26,0.654,17,7,200.0,107.6,25.0,3,13,71,7.6,5,0.465,20.0,0.5,10.0,56.9,33,0.641,21.6,15,23.0,0.522,12.0,0.588,10
2010-01-14,"U.S. Cellular Arena, Milwaukee, Wisconsin",DETROIT-MERCY,MILWAUKEE,Away,61.1,11,10.9,5,112.5,71.4,21,0.373,59,0.305,18,0.542,32,0.656,21,8,200.0,90.3,20.8,9,16,65,9.7,7,0.475,28.0,0.286,8.0,39.5,30,0.438,11.0,9,31.0,0.323,10.0,0.556,10
2010-01-16,"U.S. Cellular Arena, Milwaukee, Wisconsin",WRIGHT-STATE,MILWAUKEE,Home,55.0,11,4.5,1,92.4,66.7,27,0.524,42,0.476,20,0.786,33,0.697,23,8,225.0,101.5,18.2,3,15,67,13.6,9,0.286,12.0,0.333,4.0,49.2,30,0.581,19.9,14,30.0,0.533,16.0,0.579,11
2010-01-22,"Beeghly Center, Youngstown, Ohio",MILWAUKEE,YOUNGSTOWN-STATE,Away,54.5,12,7.7,3,88.1,57.5,23,0.543,46,0.478,22,0.565,26,0.731,19,8,200.0,103.0,38.5,10,11,69,10.4,7,0.413,19.0,0.316,6.0,50.0,33,0.591,23.9,18,27.0,0.593,16.0,0.6,12
2010-01-29,"U.S. Cellular Arena, Milwaukee, Wisconsin",VALPARAISO,MILWAUKEE,Home,62.5,15,13.3,4,122.4,61.3,22,0.508,60,0.4,24,0.583,35,0.686,24,9,200.0,126.9,42.9,15,20,85,6.0,4,0.483,29.0,0.448,13.0,50.7,37,0.555,10.7,9,31.0,0.355,11.0,0.591,13
2010-01-31,"U.S. Cellular Arena, Milwaukee, Wisconsin",BUTLER,MILWAUKEE,Away,56.5,13,11.4,4,107.4,82.8,26,0.424,59,0.39,23,0.492,29,0.552,16,10,200.0,97.1,33.3,12,27,66,1.5,1,0.271,16.0,0.25,4.0,53.5,38,0.453,12.2,10,43.0,0.442,19.0,0.565,13
2010-02-06,"Resch Center, Green Bay, Wisconsin",MILWAUKEE,GREEN-BAY,Home,30.4,7,5.0,2,96.8,63.9,24,0.463,54,0.426,23,0.148,8,0.5,4,11,200.0,85.7,35.7,9,17,54,9.5,6,0.315,17.0,0.235,4.0,51.6,33,0.467,20.7,15,37.0,0.514,19.0,0.542,13
2010-02-11,"Ervin J. Nutter Center, Dayton, Ohio",MILWAUKEE,WRIGHT-STATE,Home,59.1,13,0.0,0,113.3,70.4,21,0.48,51,0.431,22,0.314,16,0.875,14,12,200.0,105.0,50.0,11,24,63,6.7,4,0.353,18.0,0.278,5.0,60.4,32,0.538,19.4,14,33.0,0.515,17.0,0.52,13
2010-02-13,"Calihan Hall, Detroit, Michigan",MILWAUKEE,DETROIT-MERCY,Away,65.4,17,2.4,1,87.0,70.6,25,0.542,59,0.441,26,0.169,10,0.7,7,12,200.0,102.9,29.4,9,18,71,8.7,6,0.542,32.0,0.375,12.0,50.0,34,0.557,19.1,15,27.0,0.519,14.0,0.538,14
2010-02-15,"U.S. Cellular Arena, Milwaukee, Wisconsin",YOUNGSTOWN-STATE,MILWAUKEE,Home,64.7,11,4.8,2,87.3,66.7,26,0.355,55,0.309,17,0.709,39,0.641,25,12,200.0,90.1,44.7,11,17,64,11.3,8,0.382,21.0,0.238,5.0,54.4,37,0.435,18.1,16,34.0,0.353,12.0,0.556,15
2010-02-18,"U.S. Cellular Arena, Milwaukee, Wisconsin",CLEVELAND-STATE,MILWAUKEE,Home,52.2,12,4.3,2,92.2,71.1,28,0.472,54,0.426,23,0.556,30,0.6,18,12,200.0,107.8,51.5,16,16,69,0.0,0,0.426,23.0,0.217,5.0,62.0,44,0.505,16.2,12,31.0,0.581,18.0,0.571,16
2010-02-20,"U.S. Cellular Arena, Milwaukee, Wisconsin",NIAGARA,MILWAUKEE,Away,54.8,17,2.9,1,130.8,56.0,14,0.632,57,0.544,31,0.211,12,0.583,7,13,200.0,121.5,37.0,10,19,79,4.6,3,0.474,27.0,0.37,10.0,46.2,24,0.63,17.3,13,30.0,0.7,21.0,0.552,16
2010-02-25,"Joseph J. Gentile Center, Chicago, Illinois",MILWAUKEE,LOYOLA-IL,Away,57.9,11,8.3,3,95.3,69.0,20,0.511,45,0.422,19,0.578,26,0.654,17,13,200.0,98.4,25.9,7,13,63,14.1,9,0.444,20.0,0.4,8.0,48.2,27,0.549,21.0,15,25.0,0.44,11.0,0.567,17
2010-02-27,"UIC Pavilion, Chicago, Illinois",MILWAUKEE,ILLINOIS-CHICAGO,Away,34.6,9,7.7,3,104.2,79.3,25,0.557,53,0.491,26,0.509,27,0.704,19,13,200.0,109.9,39.3,9,19,78,11.3,8,0.396,21.0,0.333,7.0,59.6,34,0.592,19.8,16,32.0,0.594,19.0,0.581,18
