date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-17,"Mizzou Arena, Columbia, Missouri",TENNESSEE-MARTIN,MISSOURI,Home,45.2,14,16.7,8,85.0,55.9,24,0.471,70,0.443,31,0.343,24,0.708,17,0,200.0,103.8,60.5,18,17,83,17.5,14,0.3,21.0,0.19,4.0,58.3,42,0.51,20.7,21,49.0,0.551,27.0,1.0,1
2009-11-22,"Mizzou Arena, Columbia, Missouri",TEXAS-PAN-AMERICAN,MISSOURI,Home,70.0,28,23.1,6,57.9,86.8,35,0.664,70,0.571,40,0.171,12,0.583,7,0,200.0,131.6,30.0,7,13,100,22.4,17,0.329,23.0,0.565,13.0,61.8,42,0.661,11.7,10,47.0,0.574,27.0,1.0,2
2009-11-24,"Mizzou Arena, Columbia, Missouri",CHATTANOOGA,MISSOURI,Home,71.4,25,25.0,8,71.8,58.6,20,0.688,64,0.547,35,0.219,14,0.786,11,0,200.0,126.9,35.7,7,17,99,30.8,24,0.578,37.0,0.486,18.0,47.4,27,0.701,20.4,18,27.0,0.63,17.0,1.0,3
2009-11-27,"South Padre Island Convention Centre, South Padre Island, Texas",MISSOURI,OLD-DOMINION,Away,65.0,13,13.8,4,92.4,52.0,14,0.426,54,0.37,20,0.481,26,0.769,20,0,200.0,100.0,46.7,13,21,66,15.2,10,0.37,20.0,0.3,6.0,49.1,27,0.497,17.6,13,34.0,0.412,14.0,1.0,4
2009-11-28,"South Padre Island Convention Centre, South Padre Island, Texas",RICHMOND,MISSOURI,Away,31.3,5,8.6,3,96.7,64.0,18,0.347,49,0.327,16,0.469,23,0.783,18,1,200.0,85.2,37.5,10,20,52,9.8,6,0.224,11.0,0.182,2.0,49.1,28,0.434,16.9,10,38.0,0.368,14.0,0.8,4
2009-12-02,"Memorial Gymnasium, Nashville, Tennessee",MISSOURI,VANDERBILT,Home,55.2,16,14.6,6,108.5,50.0,16,0.5,67,0.433,29,0.358,24,0.667,16,2,200.0,101.2,23.1,8,25,83,17.1,14,0.299,20.0,0.45,9.0,34.8,24,0.529,14.4,12,47.0,0.426,20.0,0.667,4
2009-12-05,"Mizzou Arena, Columbia, Missouri",OREGON,MISSOURI,Home,75.7,28,9.3,5,85.2,50.0,24,0.688,64,0.578,37,0.391,25,0.72,18,2,200.0,130.9,36.0,9,21,106,8.6,7,0.453,29.0,0.483,14.0,45.2,33,0.699,16.7,14,35.0,0.657,23.0,0.714,5
2009-12-09,"Mabee Center, Tulsa, Oklahoma",MISSOURI,ORAL-ROBERTS,Home,42.3,11,12.8,5,96.8,46.2,13,0.446,65,0.4,26,0.046,3,0.333,1,3,200.0,95.2,42.1,15,16,59,16.1,10,0.246,16.0,0.375,6.0,43.8,28,0.444,14.2,11,49.0,0.408,20.0,0.625,5
2009-12-12,"Mizzou Arena, Columbia, Missouri",FAIRLEIGH-DICKINSON,MISSOURI,Home,69.7,23,26.5,9,48.0,63.4,29,0.549,71,0.465,33,0.169,12,0.75,9,3,200.0,116.0,41.7,12,14,87,24.0,18,0.38,27.0,0.444,12.0,53.2,41,0.567,15.5,14,44.0,0.477,21.0,0.667,6
2009-12-19,"Mizzou Arena, Columbia, Missouri",ARKANSAS-PINE-BLUFF,MISSOURI,Home,51.6,16,14.6,7,92.1,57.5,25,0.493,71,0.437,31,0.31,22,0.818,18,3,200.0,115.8,46.2,16,23,88,17.1,13,0.282,20.0,0.4,8.0,51.9,41,0.54,12.9,12,51.0,0.451,23.0,0.7,7
