date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Stabler Arena, Bethlehem, Pennsylvania",Monmouth,Lehigh,Away,66.7,16,14.3,6,84.9,77.1,27,0.475,59,0.407,24,0.271,16,0.625,10,0,200,90.4,22.9,8,12,66,9.6,7,0.322,19,0.421,8,50.0,35,0.495,19.5,16,40,0.4,16,1.0,1
2019-11-09,"Mack Sports Complex, Hempstead, New York",Monmouth,Hofstra,Home,60.0,18,8.1,3,122.1,81.8,18,0.446,74,0.405,30,0.122,9,0.889,8,1,200,96.1,32.5,13,26,74,7.8,6,0.324,24,0.25,6,50.0,31,0.473,11.4,10,50,0.48,24,0.5,1
2019-11-13,"Bramlage Coliseum, Manhattan, Kansas",Monmouth,Kansas State,Home,57.9,11,5.4,2,102.8,69.0,20,0.458,48,0.396,19,0.25,12,0.833,10,2,200,76.1,26.7,8,19,54,8.5,6,0.375,18,0.333,6,47.5,28,0.503,31.9,25,30,0.433,13,0.333,1
2019-11-15,"Allen Fieldhouse, Lawrence, Kansas",Monmouth,Kansas,Home,55.6,10,8.3,3,143.6,65.6,21,0.333,60,0.3,18,0.383,23,0.739,17,3,200,73.1,16.7,6,24,57,5.1,4,0.367,22,0.182,4,39.7,27,0.402,17.6,15,38,0.368,14,0.25,1
2019-11-18,"Petersen Events Center, Pittsburgh, Pennsylvania",Monmouth,Pitt,Home,73.7,14,12.5,4,98.4,59.3,16,0.422,51,0.373,19,0.157,8,0.875,7,4,200,78.1,24.1,7,22,50,12.5,8,0.353,18,0.278,5,41.1,23,0.456,21.6,15,33,0.424,14,0.2,1
2019-11-22,"HP Field House, Orlando, Florida",Monmouth,Kennesaw State,Away,43.5,10,3.2,1,57.1,85.3,29,0.509,54,0.426,23,0.37,20,0.8,16,4,200,101.4,16.1,5,20,71,11.4,8,0.389,21,0.429,9,52.3,34,0.559,14.9,11,33,0.424,14,0.333,2
2019-11-23,"HP Field House, Orlando, Florida",Stetson,Monmouth,Away,81.0,17,0.0,0,95.5,64.0,16,0.472,54,0.389,21,0.148,8,0.5,4,5,200,83.3,6.7,2,20,55,10.6,7,0.519,28,0.321,9,32.7,18,0.476,16.1,11,26,0.462,12,0.286,2
2019-11-26,"Multipurpose Activity Center, West Long Branch, New Jersey",Radford,Monmouth,Home,52.0,13,2.6,1,87.5,77.5,31,0.569,51,0.49,25,0.647,33,0.667,22,5,200,111.1,24.0,6,21,80,6.9,5,0.373,19,0.421,8,56.9,37,0.6,12.1,9,32,0.531,17,0.375,3
2019-11-27,"Multipurpose Activity Center, West Long Branch, New Jersey",Norfolk State,Monmouth,Home,57.1,16,9.5,4,94.7,57.1,20,0.552,58,0.483,28,0.259,15,0.733,11,5,200,100.0,14.3,4,18,75,16.0,12,0.379,22,0.364,8,38.1,24,0.576,16.8,13,36,0.556,20,0.444,4
2019-12-10,"Jadwin Gymnasium, Princeton, New Jersey",Monmouth,Princeton,Away,54.5,12,3.3,1,91.7,67.6,25,0.491,53,0.415,22,0.34,18,0.833,15,5,200,93.1,17.9,5,21,67,13.9,10,0.283,15,0.533,8,46.2,30,0.544,21.8,17,38,0.368,14,0.5,5
