date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Capital One Arena, Washington, District of Columbia",Mount St. Mary's,Georgetown,Home,52.0,13,5.3,2,114.1,67.7,21,0.537,54,0.463,25,0.296,16,0.625,10,1,200,95.8,12.9,4,20,68,9.9,7,0.389,21,0.381,8,40.3,25,0.552,18.7,14,33,0.515,17,0.0,0
2019-11-09,"Knott Arena, Emmitsburg, Maryland","Gettysburg
			",Mount St. Mary's,Home,39.1,9,12.8,5,80.6,75.6,31,0.462,53,0.434,23,0.679,36,0.722,26,1,200,104.2,36.7,11,11,75,15.3,11,0.358,19,0.158,3,59.2,42,0.535,15.9,13,34,0.588,20,0.5,1
2019-11-12,"Alaska Airlines Arena, Seattle, Washington",Mount St. Mary's,Washington,Home,43.8,7,2.9,1,86.2,65.5,19,0.355,55,0.291,16,0.236,13,0.538,7,2,200,70.8,30.3,10,16,46,9.2,6,0.4,22,0.318,7,46.8,29,0.376,18.7,14,33,0.273,9,0.333,1
2019-11-15,"Montagne Center, Beaumont, Texas",Mount St. Mary's,Lamar,Home,37.5,9,2.7,1,108.6,80.0,20,0.5,56,0.429,24,0.232,13,0.385,5,3,200,87.1,29.0,9,20,61,8.6,6,0.482,27,0.296,8,51.8,29,0.491,21.6,17,29,0.552,16,0.25,1
2019-11-20,"Bartow Arena, Birmingham, Alabama",Mount St. Mary's,Alabama-Birmingham,Home,50.0,11,9.1,4,92.1,60.0,21,0.463,54,0.407,22,0.019,1,1.0,1,4,200,81.0,20.7,6,15,51,3.2,2,0.463,25,0.24,6,42.2,27,0.468,19.3,13,29,0.552,16,0.2,1
2019-11-22,"Rupp Arena, Lexington, Kentucky",Mount St. Mary's,Kentucky,Home,36.4,8,5.0,2,117.1,77.8,21,0.402,61,0.361,22,0.295,18,0.722,13,5,200,88.6,25.0,9,18,62,7.1,5,0.393,24,0.208,5,47.6,30,0.446,11.6,9,37,0.459,17,0.167,1
2019-11-26,"Knott Arena, Emmitsburg, Maryland",Utah Valley,Mount St. Mary's,Home,34.8,8,14.3,5,85.9,78.9,30,0.383,64,0.359,23,0.281,18,0.833,15,5,200,90.1,30.8,12,16,64,4.2,3,0.266,17,0.176,3,54.5,42,0.441,12.2,10,47,0.426,20,0.286,2
2019-11-30,"Burr Gymnasium, Washington, District of Columbia",Mount St. Mary's,Howard,Away,65.4,17,0.0,0,80.0,90.3,28,0.462,66,0.394,26,0.212,14,0.857,12,5,200,104.3,35.9,14,16,73,5.7,4,0.439,29,0.31,9,60.0,42,0.502,14.3,12,37,0.459,17,0.375,3
2019-12-03,"Grand Canyon University Arena, Phoenix, Arizona",Mount St. Mary's,Grand Canyon,Home,50.0,11,8.3,3,104.2,81.5,22,0.443,61,0.361,22,0.311,19,0.684,13,6,225,93.1,22.0,9,21,67,8.3,6,0.525,32,0.313,10,45.6,31,0.478,14.7,12,29,0.414,12,0.333,3
2019-12-07,"Knott Arena, Emmitsburg, Maryland",Loyola (MD),Mount St. Mary's,Away,27.8,5,10.0,4,103.2,79.3,23,0.352,54,0.333,18,0.296,16,0.625,10,7,200,77.4,34.3,12,17,48,3.2,2,0.315,17,0.118,2,54.7,35,0.39,17.6,13,37,0.432,16,0.3,3
2019-12-17,"Knott Arena, Emmitsburg, Maryland",American,Mount St. Mary's,Away,56.0,14,16.7,5,115.5,63.3,19,0.491,56,0.446,25,0.464,26,0.808,21,8,200,107.0,19.4,6,17,76,12.7,9,0.357,20,0.25,5,41.0,25,0.556,10.6,8,36,0.556,20,0.273,3
2019-12-20,"Alumni Hall, Annapolis, Maryland",Mount St. Mary's,Navy,Home,57.9,11,8.7,2,101.7,78.9,15,0.384,56,0.339,19,0.143,8,0.625,5,9,200,82.8,22.2,8,17,48,5.2,3,0.375,21,0.238,5,41.8,23,0.401,10.5,7,35,0.4,14,0.25,3
2019-12-27,"Knott Arena, Emmitsburg, Maryland",Coppin State,Mount St. Mary's,Home,65.4,17,6.1,2,76.4,85.0,34,0.579,57,0.456,26,0.298,17,0.765,13,9,200,109.7,16.1,5,13,79,9.7,7,0.526,30,0.467,14,54.9,39,0.607,15.7,12,27,0.444,12,0.308,4
2020-01-02,"Knott Arena, Emmitsburg, Maryland",Wagner,Mount St. Mary's,Away,41.7,5,6.9,2,108.2,78.6,22,0.27,50,0.24,12,0.6,30,0.667,20,10,200,77.0,34.9,15,12,47,1.6,1,0.4,20,0.15,3,52.1,37,0.366,16.0,12,30,0.3,9,0.286,4
