date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-09,"CFSB Center, Murray, Kentucky",Southern,Murray State,Home,59.1,13,12.8,5,67.1,80.5,33,0.49,48,0.458,22,0.667,32,0.688,22,0,200,94.5,33.3,9,16,69,6.8,5,0.333,16,0.188,3,61.8,42,0.546,25.3,21,32,0.594,19,1.0,1
2019-11-12,"Thompson-Boling Arena, Knoxville, Tennessee",Murray State,Tennessee,Home,73.9,17,11.1,4,126.2,71.9,23,0.491,56,0.411,23,0.196,11,0.727,8,1,200,96.9,24.2,8,19,63,6.2,4,0.411,23,0.391,9,47.7,31,0.514,16.5,12,33,0.424,14,0.5,1
2019-11-16,"CFSB Center, Murray, Kentucky","Brescia
			",Murray State,Home,69.0,29,17.9,7,59.3,91.7,44,0.682,66,0.636,42,0.47,31,0.774,24,1,200,140.7,32.0,8,15,114,8.6,7,0.258,17,0.353,6,71.2,52,0.706,11.2,10,49,0.735,36,0.667,2
2019-11-19,"CFSB Center, Murray, Kentucky",Southern Illinois,Murray State,Home,45.5,10,8.3,3,97.1,75.0,30,0.5,49,0.449,22,0.796,39,0.769,30,1,200,116.2,32.1,9,18,79,11.8,8,0.224,11,0.455,5,57.4,39,0.585,12.0,9,38,0.447,17,0.75,3
2019-11-25,"Germain Arena, Estero, Florida",La Salle,Murray State,Away,42.3,11,5.3,1,108.7,77.8,21,0.467,60,0.433,26,0.217,13,0.615,8,2,200,92.8,14.3,4,18,64,10.1,7,0.333,20,0.2,4,45.5,25,0.484,12.0,9,40,0.55,22,0.6,3
2019-11-26,"Germain Arena, Estero, Florida",Murray State,Weber State,Away,46.4,13,6.1,2,104.6,73.1,19,0.685,46,0.609,28,0.196,9,0.667,6,2,200,106.2,13.3,2,13,69,9.2,6,0.283,13,0.538,7,51.2,21,0.686,26.5,18,33,0.636,21,0.667,4
2019-11-27,"Germain Arena, Estero, Florida",Drake,Murray State,Away,41.2,7,2.9,1,92.6,72.7,24,0.358,53,0.321,17,0.434,23,0.652,15,3,200,77.9,32.4,11,18,53,11.8,8,0.377,20,0.2,4,52.2,35,0.415,20.2,16,33,0.394,13,0.571,4
2019-12-03,"JQH Arena, Springfield, Missouri",Murray State,Missouri State,Home,22.7,5,8.1,3,100.0,80.6,25,0.415,59,0.373,22,0.492,29,0.69,20,4,200,97.2,28.2,11,18,69,4.2,3,0.271,16,0.313,5,51.4,36,0.474,12.2,10,43,0.395,17,0.5,4
2019-12-07,"CFSB Center, Murray, Kentucky",Middle Tennessee,Murray State,Home,71.9,23,11.1,4,71.2,73.7,28,0.616,56,0.571,32,0.393,22,0.727,16,4,200,116.4,33.3,8,16,85,5.5,4,0.214,12,0.417,5,58.1,36,0.64,19.6,16,44,0.614,27,0.556,5
2019-12-16,"CFSB Center, Murray, Kentucky",Kennesaw State,Murray State,Home,65.4,17,20.0,6,54.3,91.7,33,0.484,62,0.419,26,0.371,23,0.609,14,4,200,105.7,21.6,8,21,74,11.4,8,0.452,28,0.286,8,56.2,41,0.507,7.7,6,34,0.529,18,0.6,6
