date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2012-11-09,"Ralston Arena, Ralston, Nebraska",NORTHERN-ILLINOIS,NEBRASKA-OMAHA,Home,41.7,10,0.0,0,84.2,65.6,21,0.529,51,0.471,24,0.608,31,0.742,23,0,200.0,101.3,23.3,7,27,77,14.5,11,0.333,17.0,0.353,6.0,45.2,28,0.586,21.8,18,34.0,0.529,18.0,1.0,1
2012-11-14,"United Spirit Arena, Lubbock, Texas",NEBRASKA-OMAHA,TEXAS-TECH,Home,46.2,12,4.0,2,124.7,48.7,19,0.509,56,0.464,26,0.161,9,0.667,6,2,200.0,86.3,13.3,4,17,63,6.8,5,0.304,17.0,0.294,5.0,33.3,23,0.523,22.1,17,39.0,0.538,21.0,0.333,1
2012-11-16,"Avron B. Fogelman Arena, New Orleans, Louisiana",NEBRASKA-OMAHA,TULANE,Home,56.3,9,0.0,0,110.1,64.0,16,0.327,55,0.291,16,0.382,21,0.762,16,3,200.0,75.4,23.1,9,21,52,8.7,6,0.291,16.0,0.25,4.0,39.1,25,0.4,17.9,14,39.0,0.308,12.0,0.25,1
2012-11-18,"Bob Devaney Sports Center, Lincoln, Nebraska",NEBRASKA-OMAHA,NEBRASKA,Home,52.4,11,8.5,4,111.9,58.3,21,0.556,45,0.467,21,0.422,19,0.632,12,4,200.0,92.5,20.0,5,14,62,9.0,6,0.289,13.0,0.615,8.0,42.6,26,0.574,24.2,17,32.0,0.406,13.0,0.2,1
2012-11-23,"Athletics-Recreation Center, Valparaiso, Indiana",NEBRASKA-OMAHA,BETHUNE-COOKMAN,Home,60.0,18,6.1,3,124.0,61.8,21,0.54,63,0.476,30,0.302,19,0.684,13,5,200.0,108.0,30.6,11,19,81,8.0,6,0.349,22.0,0.364,8.0,45.7,32,0.562,15.4,13,41.0,0.537,22.0,0.167,1
2012-11-24,"Athletics-Recreation Center, Valparaiso, Indiana",NEBRASKA-OMAHA,CHICAGO-STATE,Away,65.2,15,5.3,2,100.0,64.9,24,0.553,47,0.489,23,0.468,22,0.727,16,5,200.0,103.0,28.0,7,11,68,13.6,9,0.426,20.0,0.3,6.0,50.0,31,0.592,19.8,14,27.0,0.63,17.0,0.286,2
2012-11-29,"Bison Sports Arena, Fargo, North Dakota",NEBRASKA-OMAHA,NORTH-DAKOTA-STATE,Home,47.6,10,5.4,2,143.9,54.2,13,0.434,53,0.396,21,0.132,7,0.714,5,6,200.0,77.3,19.4,6,10,51,9.1,6,0.208,11.0,0.364,4.0,34.5,19,0.453,22.2,16,42.0,0.405,17.0,0.25,2
2012-12-01,"Frost Arena, Brookings, South Dakota",NEBRASKA-OMAHA,SOUTH-DAKOTA-STATE,Home,52.0,13,11.9,5,109.9,66.7,22,0.538,52,0.481,25,0.212,11,0.636,7,7,200.0,88.7,32.1,9,18,63,7.0,5,0.308,16.0,0.375,6.0,50.8,31,0.55,27.0,21,36.0,0.528,19.0,0.222,2
2012-12-04,"Kohl Center, Madison, Wisconsin",NEBRASKA-OMAHA,WISCONSIN,Home,29.4,5,2.3,1,124.6,50.0,18,0.353,51,0.333,17,0.157,8,0.5,4,8,200.0,58.0,15.2,5,17,40,7.2,5,0.235,12.0,0.167,2.0,33.3,23,0.365,25.8,19,39.0,0.385,15.0,0.2,2
2012-12-09,"James H. Hilton Coliseum , Ames, Iowa",NEBRASKA-OMAHA,IOWA-STATE,Home,79.2,19,2.6,1,131.0,63.9,23,0.557,53,0.453,24,0.208,11,0.545,6,9,200.0,91.5,3.2,1,13,65,0.0,0,0.434,23.0,0.478,11.0,35.8,24,0.558,18.4,13,30.0,0.433,13.0,0.182,2
2012-12-15,"Magness Arena, Denver, Colorado",NEBRASKA-OMAHA,DENVER,Home,44.4,8,10.3,3,128.1,86.4,19,0.398,49,0.367,18,0.306,15,0.533,8,10,200.0,73.4,25.0,8,9,47,1.6,1,0.245,12.0,0.25,3.0,50.0,27,0.419,23.4,17,37.0,0.405,15.0,0.167,2
2012-12-22,"UTPA Fieldhouse, Edinburg, Texas",NEBRASKA-OMAHA,TEXAS-PAN-AMERICAN,Home,53.6,15,2.6,1,111.1,64.9,24,0.544,57,0.491,28,0.228,13,0.769,10,11,200.0,100.0,19.2,5,23,72,8.3,6,0.246,14.0,0.429,6.0,46.0,29,0.57,18.2,14,43.0,0.512,22.0,0.214,3
2012-12-29,"Ralston Arena, Ralston, Nebraska",SOUTH-DAKOTA,NEBRASKA-OMAHA,Away,60.7,17,2.6,1,123.4,66.7,16,0.405,74,0.378,28,0.203,15,0.8,12,12,200.0,93.5,30.2,13,17,72,14.3,11,0.189,14.0,0.286,4.0,43.3,29,0.444,9.0,8,60.0,0.4,24.0,0.2,3
2012-12-31,"Ralston Arena, Ralston, Nebraska",MISSOURI-KANSAS-CITY,NEBRASKA-OMAHA,Home,46.4,13,7.7,3,87.8,71.0,22,0.569,58,0.483,28,0.31,18,0.611,11,12,200.0,104.1,23.3,7,14,77,14.9,11,0.379,22.0,0.455,10.0,47.5,29,0.579,19.5,16,36.0,0.5,18.0,0.25,4
2013-01-03,"Athletics Center O'rena, Rochester, Michigan",NEBRASKA-OMAHA,OAKLAND,Home,56.7,17,10.0,4,118.2,64.7,22,0.645,55,0.545,30,0.327,18,0.444,8,13,200.0,102.6,29.0,9,17,79,9.1,7,0.4,22.0,0.5,11.0,47.7,31,0.622,24.1,20,33.0,0.576,19.0,0.235,4
2013-01-05,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",NEBRASKA-OMAHA,IPFW,Home,29.0,9,18.8,6,128.0,57.1,16,0.541,61,0.508,31,0.361,22,0.545,12,14,200.0,104.0,21.2,7,22,78,13.3,10,0.246,15.0,0.267,4.0,37.7,23,0.546,13.5,11,46.0,0.587,27.0,0.222,4
2013-01-10,"Ralston Arena, Ralston, Nebraska",IUPUI,NEBRASKA-OMAHA,Home,63.6,21,7.3,3,105.3,74.2,23,0.679,53,0.623,33,0.396,21,0.857,18,14,200.0,120.0,23.8,5,16,90,13.3,10,0.321,17.0,0.353,6.0,53.8,28,0.715,22.4,18,36.0,0.75,27.0,0.263,5
