date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-18,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA,NEVADA-LAS-VEGAS,Home,57.6,19,2.2,1,96.2,69.4,26,0.467,75,0.44,33,0.32,24,0.75,18,0,200.0,112.8,35.7,14,25,88,9.0,7,0.2,15.0,0.267,4.0,51.3,40,0.509,7.6,7,60.0,0.483,29.0,1.0,2
2009-11-21,"Thomas & Mack Center, Las Vegas, Nevada",SOUTHERN-ILLINOIS,NEVADA-LAS-VEGAS,Home,74.1,20,17.6,6,97.2,76.3,29,0.625,48,0.563,27,0.521,25,0.72,18,0,200.0,109.9,22.7,5,21,78,2.8,2,0.354,17.0,0.353,6.0,56.7,34,0.651,20.3,15,31.0,0.677,21.0,1.0,3
2009-11-25,"Thomas & Mack Center, Las Vegas, Nevada",HOLY-CROSS,NEVADA-LAS-VEGAS,Home,59.4,19,15.2,5,83.1,56.7,19,0.523,65,0.492,32,0.369,24,0.5,12,0,200.0,112.7,37.5,13,23,80,16.9,12,0.308,20.0,0.2,4.0,45.7,32,0.524,11.7,10,45.0,0.622,28.0,1.0,4
2009-11-28,"Thomas & Mack Center, Las Vegas, Nevada",LOUISVILLE,NEVADA-LAS-VEGAS,Home,77.8,21,10.3,4,100.0,54.1,22,0.527,56,0.482,27,0.429,24,0.708,17,0,200.0,107.0,33.3,8,24,76,8.5,6,0.393,22.0,0.227,5.0,44.8,30,0.564,16.3,13,34.0,0.647,22.0,1.0,5
2009-12-02,"McKale Center, Tucson, Arizona",NEVADA-LAS-VEGAS,ARIZONA,Away,51.9,14,7.3,3,90.0,76.9,30,0.434,68,0.397,27,0.309,21,0.714,15,0,250.0,92.5,23.1,9,27,74,8.8,7,0.382,26.0,0.192,5.0,50.0,39,0.475,12.5,11,42.0,0.524,22.0,1.0,6
2009-12-05,"Leavey Center, Santa Clara, California",NEVADA-LAS-VEGAS,SANTA-CLARA,Away,54.2,13,9.7,3,100.0,41.9,14,0.474,58,0.414,24,0.31,18,0.611,11,0,200.0,104.8,35.3,11,26,66,19.0,12,0.379,22.0,0.318,7.0,38.5,25,0.496,12.0,9,36.0,0.472,17.0,1.0,7
2009-12-12,"Thomas & Mack Center, Las Vegas, Nevada",KANSAS-STATE,NEVADA-LAS-VEGAS,Away,51.9,14,15.4,4,128.4,61.9,16,0.536,56,0.482,27,0.411,23,0.87,20,1,200.0,108.1,31.0,6,25,80,12.2,9,0.375,21.0,0.286,6.0,44.0,22,0.598,19.5,16,35.0,0.6,21.0,0.875,7
2009-12-15,"Centrum, Cedar City, Utah",NEVADA-LAS-VEGAS,SOUTHERN-UTAH,Away,46.4,13,7.9,3,79.7,57.6,19,0.45,70,0.4,28,0.329,23,0.609,14,1,200.0,104.1,41.5,17,24,77,18.9,14,0.343,24.0,0.292,7.0,48.6,36,0.476,11.1,10,46.0,0.457,21.0,0.889,8
2009-12-17,"Thomas & Mack Center, Las Vegas, Nevada",WEBER-STATE,NEVADA-LAS-VEGAS,Home,68.0,17,29.0,9,94.0,74.3,28,0.566,53,0.472,25,0.302,16,0.75,12,1,200.0,107.5,24.1,5,15,72,10.4,7,0.434,23.0,0.435,10.0,51.6,33,0.594,17.8,13,30.0,0.5,15.0,0.9,9
2009-12-19,"Thomas & Mack Center, Las Vegas, Nevada","USC Upstate
			",NEVADA-LAS-VEGAS,Home,54.8,17,6.7,2,84.1,73.7,16,0.507,71,0.437,31,0.31,22,0.727,16,1,200.0,127.5,44.7,15,16,88,18.8,13,0.394,28.0,0.357,10.0,54.4,31,0.54,8.0,7,43.0,0.488,21.0,0.909,10
2009-12-22,"Stan Sheriff Center, Honolulu, Hawaii",NEVADA-LAS-VEGAS,SOUTHERN-METHODIST,Away,50.0,14,10.0,4,76.8,61.8,21,0.573,55,0.509,28,0.109,6,0.667,4,1,200.0,97.1,23.1,6,15,67,15.9,11,0.255,14.0,0.5,7.0,45.0,27,0.579,22.8,16,41.0,0.512,21.0,0.917,11
2009-12-23,"Stan Sheriff Center, Honolulu, Hawaii",NEVADA-LAS-VEGAS,HAWAII,Away,48.1,13,3.2,1,80.3,62.1,19,0.469,65,0.415,27,0.308,20,0.8,16,1,200.0,116.7,51.4,17,26,77,13.6,9,0.338,22.0,0.318,7.0,56.3,36,0.517,11.9,10,43.0,0.465,20.0,0.923,12
2009-12-25,"Stan Sheriff Center, Honolulu, Hawaii",SOUTHERN-CALIFORNIA,NEVADA-LAS-VEGAS,Away,47.1,8,7.1,3,100.0,80.8,22,0.39,50,0.34,17,0.38,19,0.895,17,2,200.0,83.6,25.0,7,28,56,3.0,2,0.44,22.0,0.227,5.0,50.0,29,0.474,20.4,15,28.0,0.429,12.0,0.857,12
2010-01-06,"Marriott Center, Provo, Utah",NEVADA-LAS-VEGAS,BRIGHAM-YOUNG,Home,51.7,15,12.8,6,105.5,54.8,25,0.516,63,0.46,29,0.19,12,0.667,8,3,200.0,100.0,33.3,8,18,73,8.2,6,0.254,16.0,0.438,7.0,45.8,33,0.531,18.0,15,47.0,0.468,22.0,0.8,12
2010-01-09,"The Pit/Bob King Court, Albuquerque, New Mexico",NEVADA-LAS-VEGAS,NEW-MEXICO,Away,74.1,20,6.3,2,93.9,63.6,22,0.551,59,0.458,27,0.186,11,0.818,9,3,200.0,112.1,17.9,4,24,74,10.6,7,0.441,26.0,0.423,11.0,42.6,26,0.576,11.1,8,33.0,0.485,16.0,0.812,13
2010-01-13,"Thomas & Mack Center, Las Vegas, Nevada",SAN-DIEGO-STATE,NEVADA-LAS-VEGAS,Home,52.0,13,4.9,2,89.2,55.9,21,0.444,62,0.403,25,0.403,25,0.84,21,3,200.0,102.7,28.9,9,20,76,10.8,8,0.274,17.0,0.294,5.0,41.7,30,0.514,12.0,10,45.0,0.444,20.0,0.824,14
2010-01-16,"Thomas & Mack Center, Las Vegas, Nevada",UTAH,NEVADA-LAS-VEGAS,Away,47.8,11,18.2,6,105.8,71.4,22,0.412,57,0.404,23,0.596,34,0.647,22,4,200.0,100.0,37.8,12,23,69,8.7,6,0.211,12.0,0.083,1.0,52.3,34,0.472,12.2,10,45.0,0.489,22.0,0.778,14
2010-01-20,"Moby Arena, Fort Collins, Colorado",NEVADA-LAS-VEGAS,COLORADO-STATE,Away,63.0,17,14.3,6,97.3,70.7,29,0.61,50,0.54,27,0.46,23,0.826,19,4,200.0,108.1,14.3,3,24,80,10.8,8,0.34,17.0,0.412,7.0,51.6,32,0.657,21.0,16,33.0,0.606,20.0,0.789,15
