date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-14,"Draddy Gymnasium, Riverdale, New York",NJIT,MANHATTAN,Home,52.6,10,2.1,1,102.9,59.5,22,0.367,60,0.317,19,0.35,21,0.667,14,1,200.0,85.3,37.5,15,19,58,2.9,2,0.533,32.0,0.188,6.0,48.1,37,0.414,16.8,14,28.0,0.464,13.0,0.0,0
2009-11-21,"Prudential Center, Newark, New Jersey",LAFAYETTE,NJIT,Away,42.9,9,3.1,1,103.0,84.0,21,0.369,61,0.344,21,0.197,12,0.583,7,2,200.0,77.6,32.5,13,15,52,3.0,2,0.279,17.0,0.176,3.0,52.3,34,0.39,17.4,14,44.0,0.409,18.0,0.333,1
2009-11-24,"Prudential Center, Newark, New Jersey",WAGNER,NJIT,Home,88.9,16,12.5,5,70.8,65.0,28,0.366,56,0.321,18,0.446,25,0.6,15,2,200.0,77.8,33.3,11,15,56,12.5,9,0.429,24.0,0.208,5.0,49.4,39,0.413,20.2,17,32.0,0.406,13.0,0.5,2
2009-11-28,"Pritchard Gymnasium, Stony Brook, New York",NJIT,STONY-BROOK,Home,50.0,8,10.6,5,90.9,61.8,22,0.378,49,0.327,16,0.245,12,0.75,9,3,200.0,69.7,23.3,6,14,46,9.1,6,0.408,20.0,0.25,5.0,43.8,28,0.42,24.9,17,29.0,0.379,11.0,0.4,2
2009-11-30,"Prudential Center, Newark, New Jersey",NJIT,SETON-HALL,Home,40.9,9,11.6,5,122.4,54.5,21,0.333,72,0.306,22,0.097,7,0.714,5,4,200.0,69.7,40.0,15,17,53,6.6,5,0.222,16.0,0.25,4.0,46.2,36,0.352,19.3,18,56.0,0.321,18.0,0.333,2
2009-12-05,"Prudential Center, Newark, New Jersey",VERMONT,NJIT,Away,44.4,8,5.3,2,139.7,50.0,13,0.429,49,0.367,18,0.408,20,0.35,7,5,200.0,77.8,30.6,10,22,49,12.7,8,0.327,16.0,0.375,6.0,38.3,23,0.419,19.5,14,33.0,0.364,12.0,0.375,3
2009-12-09,"Yanitelli Center, Jersey City, New Jersey",NJIT,SAINT-PETERS,Home,70.0,14,7.7,3,97.0,42.3,16,0.479,48,0.417,20,0.375,18,0.444,8,6,200.0,80.6,39.3,6,21,54,9.0,6,0.292,14.0,0.429,6.0,40.7,22,0.477,28.2,22,34.0,0.412,14.0,0.333,3
2009-12-19,"Louis Brown Athletic Center, New Brunswick, New Jersey",NJIT,RUTGERS,Home,68.2,15,5.7,2,97.3,52.0,16,0.425,60,0.367,22,0.3,18,0.611,11,7,200.0,84.9,35.0,11,22,62,17.8,13,0.333,20.0,0.35,7.0,41.5,27,0.452,21.9,17,40.0,0.375,15.0,0.3,3
2009-12-21,"John Paul Jones Arena, Charlottesville, Virginia",NJIT,VIRGINIA,Home,61.5,8,4.8,2,109.7,62.5,25,0.333,48,0.271,13,0.208,10,0.5,5,8,200.0,59.7,14.7,5,15,37,6.5,4,0.354,17.0,0.353,6.0,40.5,30,0.351,21.1,13,31.0,0.226,7.0,0.273,3
2009-12-28,"Spiro Sports Center, Staten Island, New York",NJIT,WAGNER,Away,69.6,16,8.1,3,73.7,70.5,32,0.462,53,0.434,23,0.491,26,0.615,16,8,200.0,85.5,40.0,11,21,65,11.8,9,0.264,14.0,0.214,3.0,58.1,43,0.497,27.1,22,39.0,0.513,20.0,0.333,4
