date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2010-11-15,"Lloyd Noble Center, Norman, Oklahoma",NORTH-CAROLINA-CENTRAL,OKLAHOMA,Home,45.5,10,17.8,8,100.0,52.3,23,0.52,50,0.44,22,0.34,17,0.647,11,1,225.0,88.7,22.6,7,19,63,14.1,10,0.36,18.0,0.444,8.0,40.0,30,0.542,25.8,20,32.0,0.438,14.0,0.5,1
2010-11-19,"BankUnited Center, Coral Gables, Florida",NORTH-CAROLINA-CENTRAL,MIAMI-FL,Home,53.8,14,2.8,1,118.9,46.4,13,0.491,58,0.448,26,0.31,18,0.444,8,2,200.0,87.8,13.5,5,24,65,14.9,11,0.362,21.0,0.238,5.0,27.7,18,0.488,16.5,13,37.0,0.568,21.0,0.333,1
2010-11-23,"Assembly Hall, Bloomington, Indiana",NORTH-CAROLINA-CENTRAL,INDIANA,Home,45.5,10,5.0,2,101.4,65.7,23,0.522,46,0.478,22,0.304,14,0.571,8,3,200.0,78.9,12.5,3,25,56,8.5,6,0.217,10.0,0.4,4.0,44.1,26,0.532,28.7,21,36.0,0.5,18.0,0.25,1
2010-12-04,"SHM Memorial Center, Orangeburg, South Carolina",NORTH-CAROLINA-CENTRAL,SOUTH-CAROLINA-STATE,Away,53.6,15,5.1,2,101.4,51.4,19,0.62,54,0.519,28,0.241,13,0.538,7,3,225.0,105.7,30.8,8,20,74,5.7,4,0.426,23.0,0.478,11.0,42.9,27,0.615,22.2,17,31.0,0.548,17.0,0.571,4
2010-12-11,"Clune Arena , Colorado Springs, Colorado",NORTH-CAROLINA-CENTRAL,AIR-FORCE,Home,60.0,12,13.9,5,104.3,71.4,20,0.397,58,0.345,20,0.207,12,0.833,10,4,200.0,80.0,18.9,7,21,56,8.6,6,0.362,21.0,0.286,6.0,41.5,27,0.44,18.1,14,37.0,0.378,14.0,0.5,4
2010-12-14,"Crisler Arena, Ann Arbor, Michigan",NORTH-CAROLINA-CENTRAL,MICHIGAN,Home,28.6,4,7.4,2,118.5,58.8,20,0.348,46,0.304,14,0.326,15,0.8,12,5,200.0,81.5,33.3,11,14,44,0.0,0,0.348,16.0,0.25,4.0,46.3,31,0.414,19.8,13,30.0,0.333,10.0,0.444,4
2010-12-21,"Alico Arena, Fort Myers, Florida",NORTH-CAROLINA-CENTRAL,FLORIDA-GULF-COAST,Home,48.0,12,5.1,2,117.6,64.0,16,0.509,55,0.455,25,0.273,15,0.8,12,6,200.0,91.9,14.3,4,16,68,13.5,10,0.327,18.0,0.333,6.0,37.7,20,0.547,19.6,15,37.0,0.514,19.0,0.4,4
2011-01-03,"McLendon-McDougald Gym, Durham, North Carolina",EAST-CAROLINA,NORTH-CAROLINA-CENTRAL,Away,62.5,10,14.3,3,87.9,73.3,22,0.349,53,0.302,16,0.321,17,0.765,13,7,200.0,75.8,32.4,11,20,50,12.1,8,0.377,20.0,0.25,5.0,51.6,33,0.409,22.9,18,33.0,0.333,11.0,0.417,5
2011-01-08,"McLendon-McDougald Gym, Durham, North Carolina",DELAWARE-STATE,NORTH-CAROLINA-CENTRAL,Away,33.3,8,6.1,2,107.9,69.6,16,0.465,57,0.421,24,0.211,12,0.5,6,8,200.0,93.7,37.1,13,20,59,9.5,6,0.281,16.0,0.313,5.0,50.0,29,0.47,16.2,12,41.0,0.463,19.0,0.385,5
2011-01-10,"McLendon-McDougald Gym, Durham, North Carolina",MARYLAND-EASTERN-SHORE,NORTH-CAROLINA-CENTRAL,Home,56.5,13,19.4,6,85.9,71.4,20,0.491,53,0.434,23,0.34,18,0.833,15,8,200.0,94.4,40.0,12,23,67,16.9,12,0.358,19.0,0.316,6.0,55.2,32,0.544,24.7,20,34.0,0.5,17.0,0.429,6
2011-01-15,"Coppin Center, Baltimore, Maryland",NORTH-CAROLINA-CENTRAL,COPPIN-STATE,Away,33.3,9,6.5,3,94.7,66.7,22,0.527,56,0.482,27,0.393,22,0.818,18,8,200.0,102.7,35.5,11,20,77,13.3,10,0.393,22.0,0.227,5.0,51.6,33,0.579,21.5,18,34.0,0.647,22.0,0.467,7
2011-01-22,"Echols Memorial Hall, Norfolk, Virginia",NORTH-CAROLINA-CENTRAL,NORFOLK-STATE,Home,42.9,9,0.0,0,105.7,69.2,18,0.462,52,0.404,21,0.596,31,0.742,23,9,200.0,101.4,35.5,11,27,71,7.1,5,0.308,16.0,0.375,6.0,50.9,29,0.532,19.6,16,36.0,0.417,15.0,0.438,7
2011-01-24,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-CENTRAL,NORTH-CAROLINA-AT,Away,38.5,10,12.8,5,100.0,62.5,20,0.525,61,0.426,26,0.574,35,0.743,26,9,225.0,107.1,25.7,9,29,90,10.7,9,0.393,24.0,0.5,12.0,43.3,29,0.58,15.5,14,37.0,0.378,14.0,0.471,8
2011-01-26,"Western Hall, Macomb, Illinois",NORTH-CAROLINA-CENTRAL,WESTERN-ILLINOIS,Away,54.5,12,8.0,2,92.1,87.5,21,0.574,47,0.468,22,0.404,19,0.632,12,9,200.0,104.8,23.1,6,19,66,12.7,8,0.404,19.0,0.526,10.0,54.0,27,0.589,17.8,12,28.0,0.429,12.0,0.5,9
2011-01-29,"McLendon-McDougald Gym, Durham, North Carolina",FLORIDA-AM,NORTH-CAROLINA-CENTRAL,Home,36.4,8,2.9,1,88.1,58.6,17,0.462,52,0.423,22,0.365,19,0.684,13,9,200.0,91.0,31.3,10,21,61,14.9,10,0.346,18.0,0.222,4.0,44.3,27,0.5,19.9,15,34.0,0.529,18.0,0.526,10
2011-01-31,"McLendon-McDougald Gym, Durham, North Carolina",BETHUNE-COOKMAN,NORTH-CAROLINA-CENTRAL,Away,34.8,8,13.5,5,104.7,66.7,18,0.5,53,0.434,23,0.302,16,0.688,11,10,200.0,100.0,20.0,6,18,64,6.3,4,0.321,17.0,0.412,7.0,42.1,24,0.528,14.3,10,36.0,0.444,16.0,0.5,10
2011-02-05,"Burr Gymnasium, Washington, District of Columbia",NORTH-CAROLINA-CENTRAL,HOWARD,Away,76.0,19,0.0,0,100.0,75.0,21,0.602,49,0.51,25,0.571,28,0.714,20,10,200.0,112.9,18.5,5,19,79,10.0,7,0.449,22.0,0.409,9.0,47.3,26,0.634,18.6,14,27.0,0.593,16.0,0.524,11
2011-02-07,"Millis Center, High Point, North Carolina",NORTH-CAROLINA-CENTRAL,HIGH-POINT,Home,28.0,7,12.1,4,115.5,62.5,15,0.536,55,0.455,25,0.345,19,0.789,15,11,200.0,104.2,13.3,4,21,74,12.7,9,0.4,22.0,0.409,9.0,35.2,19,0.578,14.8,11,33.0,0.485,16.0,0.5,11
2011-02-14,"McLendon-McDougald Gym, Durham, North Carolina",COPPIN-STATE,NORTH-CAROLINA-CENTRAL,Home,65.4,17,11.5,3,105.6,90.0,18,0.535,57,0.456,26,0.368,21,0.762,16,11,200.0,108.5,26.7,8,24,77,4.2,3,0.404,23.0,0.391,9.0,52.0,26,0.575,19.5,16,34.0,0.5,17.0,0.522,12
2011-02-17,"Kimbel Arena, Conway, South Carolina",NORTH-CAROLINA-CENTRAL,COASTAL-CAROLINA,Home,42.9,9,7.0,3,130.6,64.0,16,0.422,58,0.362,21,0.259,15,0.667,10,12,200.0,81.9,15.8,6,22,59,9.7,7,0.362,21.0,0.333,7.0,34.9,22,0.453,15.7,12,37.0,0.378,14.0,0.5,12
2011-02-19,"McLendon-McDougald Gym, Durham, North Carolina",NORFOLK-STATE,NORTH-CAROLINA-CENTRAL,Home,50.0,15,5.9,2,105.9,66.7,20,0.607,56,0.536,30,0.375,21,0.667,14,12,200.0,120.6,35.7,10,15,82,13.2,9,0.339,19.0,0.421,8.0,51.7,30,0.621,13.3,10,37.0,0.595,22.0,0.52,13
2011-02-21,"McLendon-McDougald Gym, Durham, North Carolina",NORTH-CAROLINA-AT,NORTH-CAROLINA-CENTRAL,Away,78.3,18,8.8,3,109.1,66.7,16,0.537,54,0.426,23,0.167,9,1.0,9,13,200.0,101.5,33.3,10,22,67,7.6,5,0.5,27.0,0.444,12.0,48.1,26,0.575,23.7,18,27.0,0.407,11.0,0.5,13
2011-02-26,"Multipurpose Center and Teaching Gym, Tallahassee, Florida",NORTH-CAROLINA-CENTRAL,FLORIDA-AM,Away,16.7,3,2.5,1,83.3,62.5,25,0.465,43,0.419,18,0.674,29,0.621,18,13,200.0,87.9,24.0,6,18,58,9.1,6,0.349,15.0,0.267,4.0,47.7,31,0.511,20.1,14,28.0,0.5,14.0,0.519,14
2011-02-28,"Moore Gymnasium, Daytona Beach, Florida",NORTH-CAROLINA-CENTRAL,BETHUNE-COOKMAN,Home,52.4,11,3.2,1,119.7,75.0,15,0.511,46,0.457,21,0.457,21,0.619,13,14,200.0,98.4,34.6,9,26,60,4.9,3,0.435,20.0,0.25,5.0,52.2,24,0.536,17.8,12,26.0,0.615,16.0,0.5,14
2011-03-03,"McLendon-McDougald Gym, Durham, North Carolina",SOUTH-CAROLINA-STATE,NORTH-CAROLINA-CENTRAL,Home,63.6,14,5.4,2,86.1,75.0,18,0.479,48,0.458,22,0.792,38,0.842,32,14,200.0,108.3,40.0,10,23,78,13.9,10,0.208,10.0,0.2,2.0,57.1,28,0.59,22.7,19,38.0,0.526,20.0,0.517,15
2011-03-12,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",SAVANNAH-STATE,NORTH-CAROLINA-CENTRAL,Away,38.9,7,13.9,5,104.9,66.7,20,0.476,41,0.439,18,0.39,16,0.688,11,15,200.0,82.0,28.0,7,21,50,1.6,1,0.293,12.0,0.25,3.0,49.1,27,0.514,29.4,20,29.0,0.517,15.0,0.5,15
2011-11-11,"Dale F. Halton Arena, Charlotte, North Carolina",NORTH-CAROLINA-CENTRAL,CHARLOTTE,Home,38.1,8,10.3,4,97.3,64.5,20,0.452,52,0.404,21,0.423,22,0.455,10,1,200.0,76.0,17.1,6,23,57,9.3,7,0.269,14.0,0.357,5.0,39.4,26,0.456,23.5,19,38.0,0.421,16.0,0.0,0
2011-11-16,"Spiro Sports Center, Staten Island, New York",NORTH-CAROLINA-CENTRAL,WAGNER,Home,57.7,15,2.9,1,116.0,64.3,18,0.527,55,0.473,26,0.527,29,0.862,25,2,200.0,110.7,29.2,7,22,83,14.7,11,0.218,12.0,0.5,6.0,48.1,25,0.603,17.1,14,43.0,0.465,20.0,0.333,1
2011-11-20,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-CENTRAL,WAKE-FOREST,Home,39.1,9,16.7,7,131.0,74.1,20,0.509,53,0.434,23,0.528,28,0.893,25,3,200.0,111.3,39.4,13,18,79,9.9,7,0.415,22.0,0.364,8.0,55.0,33,0.596,20.7,17,31.0,0.484,15.0,0.25,1
2011-12-03,"McLendon-McDougald Gym, Durham, North Carolina",NORTH-CAROLINA-AT,NORTH-CAROLINA-CENTRAL,Home,71.4,15,18.2,6,61.3,75.7,28,0.42,56,0.375,21,0.429,24,0.75,18,3,200.0,86.7,33.3,11,21,65,8.0,6,0.393,22.0,0.227,5.0,55.7,39,0.482,22.2,19,34.0,0.471,16.0,0.625,5
2011-12-06,"McBrayer Arena, Richmond, Kentucky",NORTH-CAROLINA-CENTRAL,EASTERN-KENTUCKY,Home,73.9,17,5.9,2,117.2,63.6,14,0.631,42,0.548,23,0.262,11,0.818,9,4,200.0,96.9,29.4,5,13,62,7.8,5,0.357,15.0,0.467,7.0,48.7,19,0.656,32.0,22,27.0,0.593,16.0,0.556,5
2011-12-11,"RBC Center, Raleigh, North Carolina",NORTH-CAROLINA-CENTRAL,NORTH-CAROLINA-STATE,Home,66.7,16,9.7,3,97.0,53.8,14,0.466,58,0.414,24,0.138,8,0.75,6,5,200.0,89.6,26.7,8,17,60,11.9,8,0.293,17.0,0.353,6.0,39.3,22,0.485,16.3,12,41.0,0.439,18.0,0.5,5
2011-12-20,"Matthew Knight Arena, Eugene, Oregon",NORTH-CAROLINA-CENTRAL,OREGON,Home,33.3,6,22.6,7,85.3,78.6,22,0.328,61,0.295,18,0.115,7,0.714,5,6,200.0,66.2,29.7,11,17,45,14.7,10,0.328,20.0,0.2,4.0,50.8,33,0.35,20.0,16,41.0,0.341,14.0,0.455,5
2011-12-21,"Matthew Knight Arena, Eugene, Oregon",STEPHEN-F-AUSTIN,NORTH-CAROLINA-CENTRAL,Home,65.2,15,5.7,2,86.4,64.0,16,0.529,51,0.451,23,0.392,20,0.55,11,6,200.0,98.5,13.8,4,16,65,10.6,7,0.471,24.0,0.333,8.0,37.0,20,0.537,13.1,9,27.0,0.556,15.0,0.5,6
2011-12-22,"Matthew Knight Arena, Eugene, Oregon",PRAIRIE-VIEW,NORTH-CAROLINA-CENTRAL,Home,45.5,10,0.0,0,84.1,52.0,13,0.5,50,0.44,22,0.52,26,0.731,19,6,200.0,100.0,16.7,4,18,69,13.0,9,0.38,19.0,0.316,6.0,34.7,17,0.553,16.3,12,31.0,0.516,16.0,0.538,7
2011-12-29,"Williams Arena at Minges Coliseum, Greenville, North Carolina",NORTH-CAROLINA-CENTRAL,EAST-CAROLINA,Home,70.4,19,17.9,5,120.0,54.8,17,0.554,56,0.482,27,0.429,24,0.583,14,7,200.0,108.6,23.5,8,27,76,11.4,8,0.375,21.0,0.381,8.0,38.5,25,0.564,15.3,12,35.0,0.543,19.0,0.5,7
2012-01-07,"McLendon-McDougald Gym, Durham, North Carolina",FLORIDA-AM,NORTH-CAROLINA-CENTRAL,Away,65.0,13,17.1,6,93.9,66.7,24,0.451,51,0.392,20,0.451,23,0.609,14,8,200.0,90.9,21.2,7,13,60,9.1,6,0.294,15.0,0.4,6.0,44.9,31,0.484,15.3,11,36.0,0.389,14.0,0.467,7
2012-01-09,"McLendon-McDougald Gym, Durham, North Carolina",BETHUNE-COOKMAN,NORTH-CAROLINA-CENTRAL,Home,61.9,13,6.5,2,90.1,81.5,22,0.511,47,0.447,21,0.617,29,0.724,21,8,200.0,97.2,37.0,10,19,69,12.7,9,0.383,18.0,0.333,6.0,59.3,32,0.568,25.1,20,29.0,0.517,15.0,0.5,8
