date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-12,"RBC Center, Raleigh, North Carolina",GEORGIA-STATE,NORTH-CAROLINA-STATE,Home,60.0,12,9.3,4,84.1,65.0,26,0.439,49,0.408,20,0.714,35,0.743,26,0,200.0,109.5,36.4,12,17,69,12.7,8,0.327,16.0,0.188,3.0,52.1,38,0.526,12.3,9,33.0,0.515,17.0,1.0,1
2009-11-20,"Ocean Center, Daytona Beach, Florida",NORTH-CAROLINA-STATE,AKRON,Away,72.7,16,13.9,5,70.3,65.9,28,0.721,34,0.647,22,0.765,26,0.654,17,0,200.0,103.1,41.2,6,19,66,6.3,4,0.235,8.0,0.625,5.0,58.6,34,0.712,35.5,25,26.0,0.654,17.0,1.0,2
2009-11-21,"Ocean Center, Daytona Beach, Florida",NORTH-CAROLINA-STATE,AUSTIN-PEAY,Away,61.5,16,7.1,3,90.8,65.4,19,0.5,58,0.448,26,0.207,12,0.667,8,0,200.0,101.5,31.0,7,17,66,15.4,10,0.31,18.0,0.333,6.0,47.3,26,0.518,14.8,10,40.0,0.5,20.0,1.0,3
2009-11-22,"Ocean Center, Daytona Beach, Florida",NORTH-CAROLINA-STATE,AUBURN,Away,61.9,13,6.7,2,90.6,67.6,23,0.373,63,0.333,21,0.286,18,0.722,13,0,200.0,93.8,44.2,19,12,60,9.4,6,0.302,19.0,0.263,5.0,54.5,42,0.419,13.4,11,44.0,0.364,16.0,1.0,4
2009-11-29,"RBC Center, Raleigh, North Carolina",NEW-ORLEANS,NORTH-CAROLINA-STATE,Home,61.9,13,29.8,14,82.5,62.2,24,0.568,44,0.477,21,0.568,25,0.76,19,0,200.0,109.5,27.3,5,9,69,6.3,4,0.364,16.0,0.5,8.0,49.2,29,0.617,19.1,13,28.0,0.464,13.0,1.0,5
2009-12-01,"RBC Center, Raleigh, North Carolina",NORTHWESTERN,NORTH-CAROLINA-STATE,Away,52.6,10,17.1,6,101.6,58.3,17,0.357,56,0.339,19,0.339,19,0.684,13,1,200.0,82.8,34.3,9,15,53,14.1,9,0.321,18.0,0.111,2.0,44.1,26,0.408,16.8,13,38.0,0.447,17.0,0.833,5
2009-12-05,"Bradley Center, Milwaukee, Wisconsin",NORTH-CAROLINA-STATE,MARQUETTE,Away,73.3,22,4.5,2,105.8,50.0,21,0.598,56,0.536,30,0.357,20,0.5,10,1,200.0,111.6,38.5,9,16,77,20.3,14,0.214,12.0,0.583,7.0,45.5,30,0.588,15.6,12,44.0,0.523,23.0,0.857,6
2009-12-12,"RBC Center, Raleigh, North Carolina",GEORGIA-SOUTHERN,NORTH-CAROLINA-STATE,Home,69.7,23,9.3,4,91.9,65.6,21,0.696,51,0.647,33,0.176,9,0.444,4,1,200.0,121.0,31.6,6,12,75,9.7,6,0.333,17.0,0.294,5.0,52.9,27,0.678,21.4,15,34.0,0.824,28.0,0.875,7
2009-12-17,"RBC Center, Raleigh, North Carolina",ELON,NORTH-CAROLINA-STATE,Home,54.8,17,22.7,10,115.2,60.0,23,0.508,64,0.484,31,0.359,23,0.609,14,1,200.0,119.7,50.0,15,15,79,7.6,5,0.219,14.0,0.214,3.0,55.1,38,0.527,10.8,9,50.0,0.56,28.0,0.889,8
2009-12-20,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-STATE,WAKE-FOREST,Home,38.1,8,16.0,8,95.7,55.0,23,0.387,62,0.339,21,0.306,19,0.579,11,2,200.0,84.3,37.0,16,25,59,10.0,7,0.339,21.0,0.286,6.0,45.3,39,0.415,18.5,16,41.0,0.366,15.0,0.8,8
2009-12-23,"McKale Center, Tucson, Arizona",NORTH-CAROLINA-STATE,ARIZONA,Home,43.3,13,6.8,3,102.7,75.0,24,0.515,66,0.455,30,0.152,10,0.6,6,3,200.0,100.0,47.1,13,21,74,4.1,3,0.288,19.0,0.421,8.0,59.7,37,0.523,22.1,20,47.0,0.468,22.0,0.727,8
2009-12-29,"RBC Center, Raleigh, North Carolina",WINTHROP,NORTH-CAROLINA-STATE,Home,80.8,21,11.1,5,80.0,68.9,32,0.585,53,0.491,26,0.283,15,0.4,6,3,200.0,104.6,26.7,7,16,68,4.6,3,0.396,21.0,0.476,10.0,52.0,39,0.565,19.0,14,32.0,0.5,16.0,0.75,9
2009-12-31,"Fleming Gymnasium, Greensboro, North Carolina",NORTH-CAROLINA-STATE,NORTH-CAROLINA-GREENSBORO,Away,58.1,18,8.3,4,93.1,50.0,16,0.643,56,0.554,31,0.393,22,0.773,17,3,200.0,123.6,25.0,6,12,89,11.1,8,0.321,18.0,0.556,10.0,39.3,22,0.67,14.3,11,38.0,0.553,21.0,0.769,10
2010-01-03,"RBC Center, Raleigh, North Carolina",FLORIDA,NORTH-CAROLINA-STATE,Away,63.6,14,6.7,3,92.5,65.9,30,0.464,55,0.4,22,0.345,19,0.526,10,4,225.0,91.0,32.4,10,15,61,10.4,7,0.4,22.0,0.318,7.0,51.3,40,0.476,18.1,14,33.0,0.455,15.0,0.714,10
