date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Stan Sheriff Center, Honolulu, Hawaii",NORTHERN-COLORADO,MCNEESE-STATE,Away,61.8,21,12.1,4,91.3,76.5,26,0.669,59,0.576,34,0.492,29,0.759,22,0,200.0,126.3,30.4,7,18,101,15.0,12,0.322,19.0,0.579,11.0,57.9,33,0.694,16.3,14,40.0,0.575,23.0,1.0,1
2009-11-15,"Stan Sheriff Center, Honolulu, Hawaii",NORTHERN-COLORADO,SOUTHERN-UTAH,Away,41.7,10,6.1,2,69.9,50.0,15,0.473,56,0.429,24,0.5,28,0.714,20,0,200.0,100.0,35.5,8,23,73,19.2,14,0.304,17.0,0.294,5.0,41.8,23,0.527,18.0,15,39.0,0.487,19.0,1.0,2
2009-11-16,"Stan Sheriff Center, Honolulu, Hawaii",NORTHERN-COLORADO,HAWAII,Away,44.0,11,2.7,1,101.4,57.1,22,0.539,51,0.49,25,0.667,34,0.765,26,0,200.0,109.5,21.4,4,26,81,5.4,4,0.392,20.0,0.25,5.0,41.3,26,0.603,15.4,12,31.0,0.645,20.0,1.0,3
2009-11-20,"Clune Arena , Colorado Springs, Colorado",NORTHERN-COLORADO,TEXAS-SOUTHERN,Away,55.0,11,2.5,1,93.9,80.0,20,0.579,38,0.526,20,0.816,31,0.71,22,0,200.0,100.0,13.6,3,16,66,9.1,6,0.316,12.0,0.333,4.0,48.9,23,0.626,24.8,17,26.0,0.615,16.0,1.0,4
2009-11-21,"Clune Arena , Colorado Springs, Colorado",NORTHERN-COLORADO,AIR-FORCE,Away,37.5,9,7.7,2,69.7,76.7,24,0.475,59,0.407,24,0.356,21,0.667,14,0,200.0,106.1,40.0,13,23,70,19.7,13,0.271,16.0,0.5,8.0,56.9,37,0.507,13.9,11,43.0,0.372,16.0,1.0,5
2009-12-01,"Butler Hancock Sports Pavilion, Greeley, Colorado",COLORADO-STATE,NORTHERN-COLORADO,Home,52.6,10,2.9,1,95.5,47.4,18,0.478,46,0.413,19,0.761,35,0.743,26,0,200.0,106.1,34.5,10,20,70,6.1,4,0.326,15.0,0.4,6.0,41.8,28,0.559,16.3,12,31.0,0.419,13.0,1.0,7
2009-12-04,"Worthington Arena, Bozeman, Montana",NORTHERN-COLORADO,MONTANA-STATE,Home,38.1,8,3.2,1,124.3,69.0,21,0.455,55,0.382,21,0.327,18,0.722,13,1,200.0,90.0,25.0,8,24,63,2.9,2,0.527,29.0,0.276,8.0,44.6,29,0.496,19.3,15,26.0,0.5,13.0,0.875,7
2009-12-05,"Adams Center/Dahlberg Arena, Missoula, Montana",NORTHERN-COLORADO,MONTANA,Away,33.3,5,5.3,2,84.2,61.1,22,0.415,41,0.366,15,0.732,30,0.833,25,1,200.0,103.5,37.0,10,19,59,8.8,5,0.293,12.0,0.333,4.0,50.8,32,0.534,16.9,11,29.0,0.379,11.0,0.889,8
2009-12-12,"Casper Events Center, Casper, Wyoming",WYOMING,NORTHERN-COLORADO,Away,68.0,17,5.7,2,96.2,71.4,25,0.455,66,0.379,25,0.273,18,0.556,10,2,200.0,88.6,27.5,11,31,70,11.4,9,0.455,30.0,0.333,10.0,48.0,36,0.469,15.9,14,36.0,0.417,15.0,0.8,8
2009-12-16,"Butler Hancock Sports Pavilion, Greeley, Colorado",LOUISIANA-MONROE,NORTHERN-COLORADO,Home,56.7,17,3.0,1,109.1,66.7,19,0.612,58,0.517,30,0.569,33,0.727,24,2,200.0,123.4,40.0,9,25,95,13.0,10,0.379,22.0,0.5,11.0,51.9,28,0.645,17.1,15,36.0,0.528,19.0,0.818,9
2009-12-19,"Lloyd Noble Center, Norman, Oklahoma",NORTHERN-COLORADO,OKLAHOMA,Home,64.5,20,0.0,0,115.9,75.0,26,0.545,66,0.47,31,0.121,8,0.875,7,3,200.0,114.5,39.4,11,18,79,8.7,6,0.364,24.0,0.417,10.0,56.9,37,0.566,14.7,12,42.0,0.5,21.0,0.75,9
2009-12-21,"Butler Hancock Sports Pavilion, Greeley, Colorado",SAN-JOSE-STATE,NORTHERN-COLORADO,Home,60.6,20,2.6,1,104.5,74.1,21,0.677,62,0.532,33,0.194,12,0.75,9,3,200.0,140.9,38.5,9,19,93,12.1,8,0.597,37.0,0.486,18.0,56.6,30,0.687,11.8,9,25.0,0.6,15.0,0.769,10
2009-12-28,"Butler Hancock Sports Pavilion, Greeley, Colorado",DENVER,NORTHERN-COLORADO,Home,42.3,11,14.3,4,95.0,87.0,22,0.518,57,0.456,26,0.368,21,0.619,13,3,200.0,120.0,50.0,14,14,72,10.0,6,0.281,16.0,0.438,7.0,65.5,36,0.538,12.0,9,41.0,0.463,19.0,0.786,11
2009-12-30,"Daniel-Meyer Coliseum, Fort Worth, Texas",NORTHERN-COLORADO,TEXAS-CHRISTIAN,Away,45.5,10,4.0,1,88.3,58.3,16,0.553,47,0.468,22,0.277,13,0.923,12,3,200.0,106.7,28.0,5,11,64,13.3,8,0.489,23.0,0.348,8.0,42.9,21,0.602,21.0,14,24.0,0.583,14.0,0.8,12
2010-01-02,"Walkup Skydome, Flagstaff, Arizona",NORTHERN-COLORADO,NORTHERN-ARIZONA,Away,54.5,12,5.9,2,97.1,63.6,22,0.51,49,0.449,22,0.592,29,0.862,25,3,200.0,110.3,29.2,6,22,75,11.8,8,0.265,13.0,0.462,6.0,49.1,28,0.597,16.3,11,36.0,0.444,16.0,0.812,13
2010-01-07,"Butler Hancock Sports Pavilion, Greeley, Colorado",WEBER-STATE,NORTHERN-COLORADO,Home,41.7,10,3.1,1,105.6,64.3,20,0.549,51,0.471,24,0.627,32,0.875,28,3,200.0,118.3,29.6,6,21,84,9.9,7,0.412,21.0,0.381,8.0,47.3,26,0.634,16.6,13,30.0,0.533,16.0,0.824,14
