date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Donald N. Dedmon Center, Radford, Virginia",NAVY,RADFORD,Home,54.2,13,6.5,3,96.2,65.9,28,0.385,74,0.324,24,0.216,16,0.5,8,1,200.0,82.3,34.0,16,27,65,11.4,9,0.446,33.0,0.273,9.0,48.4,44,0.398,15.6,15,41.0,0.366,15.0,0.0,0
2009-11-15,"Willett Hall, Farmville, Virginia",NAVY,LONGWOOD,Away,56.5,13,9.1,4,92.7,72.2,28,0.491,54,0.426,23,0.722,39,0.667,26,1,200.0,96.3,35.5,9,21,79,4.9,4,0.315,17.0,0.412,7.0,55.2,37,0.545,21.1,19,37.0,0.432,16.0,0.5,1
2009-11-19,"Alumni Hall, Annapolis, Maryland",BUFFALO,NAVY,Away,60.0,12,10.5,4,85.1,59.4,22,0.354,65,0.308,20,0.154,10,0.7,7,2,200.0,71.6,31.0,10,22,53,9.5,7,0.292,19.0,0.316,6.0,43.2,32,0.38,20.6,18,46.0,0.304,14.0,0.333,1
2009-11-21,"Wellness Center, Brooklyn, New York",NAVY,LONG-ISLAND-UNIVERSITY,Home,66.7,14,10.0,3,112.2,52.6,20,0.414,58,0.362,21,0.483,28,0.857,24,3,200.0,97.3,26.5,9,26,72,4.1,3,0.328,19.0,0.316,6.0,40.3,29,0.505,15.6,14,39.0,0.385,15.0,0.25,1
2009-11-24,"Alumni Hall, Annapolis, Maryland",TOWSON,NAVY,Home,75.0,21,0.0,0,100.0,61.3,21,0.613,53,0.528,28,0.472,25,0.88,22,3,200.0,124.3,61.9,11,17,87,8.6,6,0.358,19.0,0.474,9.0,61.5,32,0.671,22.0,18,34.0,0.559,19.0,0.4,2
2009-11-28,"Alumni Hall, Annapolis, Maryland",MOUNT-ST-MARYS,NAVY,Away,42.9,9,7.0,3,85.5,57.1,24,0.367,60,0.35,21,0.317,19,0.632,12,4,225.0,73.7,32.5,9,23,56,11.8,9,0.267,16.0,0.125,2.0,44.0,33,0.406,22.6,20,44.0,0.432,19.0,0.333,2
2009-11-30,"Alumni Hall, Annapolis, Maryland",QUINNIPIAC,NAVY,Home,63.2,12,4.8,2,98.4,41.9,17,0.468,47,0.404,19,0.532,25,0.84,21,4,200.0,103.2,26.9,3,18,65,6.3,4,0.362,17.0,0.353,6.0,35.1,20,0.552,17.1,11,30.0,0.433,13.0,0.429,3
2009-12-04,"Alumni Hall, Annapolis, Maryland",PENNSYLVANIA,NAVY,Home,54.5,12,11.8,4,85.9,81.0,34,0.44,58,0.379,22,0.466,27,0.815,22,4,200.0,93.6,20.0,6,20,73,6.4,5,0.397,23.0,0.304,7.0,55.6,40,0.515,16.7,14,35.0,0.429,15.0,0.5,4
2009-12-06,"Verizon Center, Washington, District of Columbia",GEORGE-WASHINGTON,NAVY,Away,77.3,17,4.2,2,102.5,61.3,22,0.491,57,0.386,22,0.333,19,0.684,13,5,200.0,87.3,29.0,6,21,69,10.1,8,0.614,35.0,0.343,12.0,45.2,28,0.523,24.3,21,22.0,0.455,10.0,0.444,4
2009-12-09,"Hytche Athletic Center, Princess Anne, Maryland",NAVY,MARYLAND-EASTERN-SHORE,Home,60.7,17,4.9,2,111.1,33.3,15,0.464,70,0.4,28,0.214,15,0.467,7,6,200.0,100.0,47.5,14,24,72,11.1,8,0.457,32.0,0.281,9.0,41.4,29,0.467,15.5,14,38.0,0.5,19.0,0.4,4
