date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Lundholm Gymnasium, Durham, New Hampshire","Curry
			",New Hampshire,Home,57.9,22,16.7,5,39.7,85.4,41,0.619,67,0.567,38,0.209,14,0.714,10,0,200,127.4,58.3,14,9,93,6.8,5,0.343,23,0.304,7,76.4,55,0.631,17.9,16,44,0.705,31,1.0,1
2019-11-09,"Lundholm Gymnasium, Durham, New Hampshire",Holy Cross,New Hampshire,Home,53.3,16,5.9,2,110.7,83.9,26,0.546,65,0.462,30,0.385,25,0.64,16,0,200,116.0,28.9,11,18,87,9.3,7,0.431,28,0.393,11,53.6,37,0.566,10.6,9,37,0.514,19,1.0,2
2019-11-12,"Carnesecca Arena, Jamaica, New York",New Hampshire,St. John's (NY),Home,72.7,16,5.7,3,97.4,66.7,26,0.448,58,0.379,22,0.31,18,0.5,9,1,200,80.3,22.2,8,15,61,7.9,6,0.414,24,0.333,8,45.3,34,0.458,17.5,14,34,0.412,14,0.667,2
2019-11-16,"Case Gym, Boston, Massachusetts",New Hampshire,Boston University,Home,70.8,17,2.8,1,118.3,77.4,24,0.547,53,0.453,24,0.302,16,0.75,12,2,200,98.6,17.9,5,20,70,2.8,2,0.415,22,0.455,10,49.2,29,0.578,21.0,16,31,0.452,14,0.5,2
2019-11-19,"Detrick Gymnasium, New Britain, Connecticut",New Hampshire,Central Connecticut,Away,70.4,19,8.6,3,84.0,87.2,34,0.524,62,0.435,27,0.355,22,0.545,12,2,200,102.7,37.8,14,19,77,9.3,7,0.435,27,0.407,11,63.2,48,0.531,18.2,16,35,0.457,16,0.6,3
2019-11-23,"JMU Convocation Center, Harrisonburg, Virginia",New Hampshire,James Madison,Home,34.5,10,6.3,2,94.0,89.2,33,0.425,80,0.363,29,0.088,7,0.429,3,3,200,85.5,20.0,10,20,71,2.4,2,0.438,35,0.286,10,49.4,43,0.426,9.8,9,45,0.422,19,0.5,3
2019-11-26,"Lundholm Gymnasium, Durham, New Hampshire",Bryant,New Hampshire,Home,46.9,15,2.1,1,85.4,77.6,38,0.522,69,0.464,32,0.362,25,0.6,15,3,225,97.8,40.5,15,18,87,7.9,7,0.29,20,0.4,8,61.6,53,0.538,21.6,22,49,0.49,24,0.571,4
2019-11-30,"FIU Arena, Miami, Florida",New Hampshire,Florida International,Home,44.4,12,8.8,3,94.6,76.9,30,0.552,58,0.466,27,0.207,12,0.417,5,4,200,93.2,29.0,9,15,69,5.4,4,0.483,28,0.357,10,55.7,39,0.542,23.1,19,30,0.567,17,0.5,4
2019-12-04,"Lundholm Gymnasium, Durham, New Hampshire","Maine Maritime
			",New Hampshire,Home,58.8,20,20.7,6,53.6,97.1,34,0.582,67,0.507,34,0.254,17,0.765,13,4,200,131.9,45.5,15,13,91,14.5,10,0.358,24,0.417,10,72.1,49,0.606,9.7,8,43,0.558,24,0.556,5
2019-12-07,"TD Bank Sports Center, Hamden, Connecticut",New Hampshire,Quinnipiac,Home,60.9,14,3.6,1,102.7,95.8,23,0.414,70,0.329,23,0.171,12,0.75,9,5,200,91.8,32.6,14,20,67,2.7,2,0.557,39,0.308,12,55.2,37,0.443,13.7,12,31,0.355,11,0.5,5
2019-12-18,"McCann Recreation Center, Poughkeepsie, New York",New Hampshire,Marist,Away,73.9,17,6.7,3,84.8,69.4,25,0.519,54,0.426,23,0.241,13,0.615,8,5,200,97.0,34.4,11,20,64,1.5,1,0.519,28,0.357,10,52.9,36,0.532,20.1,15,26,0.5,13,0.545,6
2019-12-22,"XL Center, Hartford, Connecticut",New Hampshire,UConn,Home,55.0,11,3.2,1,125.7,70.8,17,0.48,49,0.408,20,0.408,20,0.75,15,6,200,88.6,16.7,5,19,62,2.9,2,0.429,21,0.333,7,40.7,22,0.53,22.7,17,28,0.464,13,0.5,6
2019-12-30,"Lundholm Gymnasium, Durham, New Hampshire",Dartmouth,New Hampshire,Home,45.8,11,2.4,1,75.7,82.9,34,0.491,57,0.421,24,0.333,19,0.737,14,6,200,94.6,6.1,2,18,70,8.1,6,0.439,25,0.32,8,48.6,36,0.53,13.3,10,32,0.5,16,0.538,7
2020-01-04,"Chase Family Arena, Hartford, Connecticut",New Hampshire,Hartford,Home,60.0,12,5.9,2,91.0,78.1,25,0.333,69,0.29,20,0.13,9,0.667,6,7,200,77.6,35.6,16,20,52,6.0,4,0.565,39,0.154,6,53.2,41,0.355,13.1,11,30,0.467,14,0.5,7
2020-01-08,"Lundholm Gymnasium, Durham, New Hampshire",Maine,New Hampshire,Home,47.8,11,0.0,0,77.3,82.1,32,0.54,50,0.46,23,0.12,6,0.5,3,7,200,86.4,33.3,8,17,57,7.6,5,0.5,25,0.32,8,63.5,40,0.539,25.5,18,25,0.6,15,0.533,8
