date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Stegeman Coliseum, Athens, Georgia",New Orleans,Georgia,Home,47.6,10,6.1,2,100.0,58.6,18,0.418,55,0.382,21,0.291,16,0.813,13,1,200.0,88.1,18.8,5,25,59,10.4,7,0.273,15.0,0.267,4.0,37.7,23,0.471,13.9,10,40.0,0.425,17.0,0.0,0
2009-11-29,"RBC Center, Raleigh, North Carolina",New Orleans,NC State,Home,40.9,9,3.6,1,109.5,72.7,18,0.389,63,0.349,22,0.063,4,0.75,3,2,200.0,82.5,37.8,12,23,52,15.9,10,0.254,16.0,0.313,5.0,50.8,30,0.401,16.7,13,47.0,0.362,17.0,0.6,3
2009-12-02,"Avron B. Fogelman Arena, New Orleans, Louisiana",New Orleans,Tulane,Away,45.0,9,12.2,6,75.8,73.2,33,0.386,57,0.351,20,0.228,13,0.538,7,2,200.0,77.3,41.9,10,17,51,10.6,7,0.281,16.0,0.25,4.0,59.7,43,0.404,19.3,15,41.0,0.39,16.0,0.667,4
2009-12-12,"F. G. Clark Activity Center, Baton Rouge, Louisiana",New Orleans,Southern,Home,60.0,15,12.2,6,106.8,70.3,27,0.578,51,0.49,25,0.314,16,0.875,14,3,200.0,100.0,33.3,6,20,73,5.5,4,0.451,23.0,0.391,9.0,56.9,33,0.623,26.6,21,28.0,0.571,16.0,0.625,5
2009-12-23,"Bert Jenkins Gymnasium, Gulfport, Mississippi",Canisius,New Orleans,Away,57.1,8,0.0,0,100.0,57.1,16,0.38,46,0.304,14,0.413,19,0.684,13,8,200.0,76.2,31.3,6,21,48,7.9,5,0.543,25.0,0.28,7.0,41.5,22,0.436,25.9,18,21.0,0.333,7.0,0.385,5
2010-01-02,"Kiefer Lakefront Arena, New Orleans , Louisiana",Florida International,New Orleans,Home,60.9,14,10.5,4,98.3,66.7,22,0.563,48,0.479,23,0.333,16,0.875,14,9,200.0,115.3,50.0,10,10,68,13.6,8,0.396,19.0,0.421,8.0,59.3,32,0.612,21.4,15,29.0,0.517,15.0,0.4,6
2010-01-07,"Magness Arena, Denver, Colorado",New Orleans,Denver,Home,38.1,8,4.5,1,123.0,84.2,18,0.545,44,0.477,21,0.591,26,0.692,18,10,200.0,108.2,37.5,7,25,66,4.9,3,0.25,11.0,0.545,6.0,58.1,25,0.586,19.0,13,33.0,0.455,15.0,0.375,6
2010-01-09,"Super Pit, Denton, Texas",New Orleans,North Texas,Home,21.1,4,0.0,0,107.6,65.6,22,0.412,51,0.373,19,0.392,20,0.75,15,11,200.0,86.4,30.6,10,23,57,12.1,8,0.235,12.0,0.333,4.0,47.1,32,0.471,20.1,14,39.0,0.385,15.0,0.353,6
2010-01-30,"E.A. Diddle Arena, Bowling Green, Kentucky",New Orleans,Western Kentucky,Home,30.0,6,2.8,1,110.1,59.4,20,0.489,45,0.444,20,0.378,17,0.706,12,15,200.0,81.2,29.6,7,19,56,11.6,8,0.422,19.0,0.211,4.0,45.8,27,0.528,32.3,25,26.0,0.615,16.0,0.318,7
2010-02-04,"Kiefer Lakefront Arena, New Orleans , Louisiana",South Alabama,New Orleans,Away,72.2,13,5.1,2,105.4,44.8,14,0.479,47,0.383,18,0.191,9,0.667,6,16,200.0,91.1,32.0,7,20,51,14.3,8,0.489,23.0,0.391,9.0,38.9,21,0.497,20.3,13,24.0,0.375,9.0,0.304,7
2010-02-06,"Kiefer Lakefront Arena, New Orleans , Louisiana",Arkansas State,New Orleans,Away,72.2,13,3.2,1,98.5,76.2,19,0.357,56,0.321,18,0.375,21,0.571,12,17,200.0,77.6,35.7,12,19,52,17.9,12,0.304,17.0,0.235,4.0,49.2,31,0.394,18.7,15,39.0,0.359,14.0,0.292,7
2010-02-11,"Kiefer Lakefront Arena, New Orleans , Louisiana",North Texas,New Orleans,Away,50.0,7,6.3,2,94.4,66.7,17,0.238,61,0.23,14,0.377,23,0.739,17,18,200.0,63.9,28.6,11,25,46,13.9,10,0.295,18.0,0.056,1.0,42.4,28,0.32,14.4,12,43.0,0.302,13.0,0.28,7
2010-02-20,"Kiefer Lakefront Arena, New Orleans , Louisiana",Denver,New Orleans,Away,30.8,4,10.0,2,94.6,74.1,20,0.341,41,0.317,13,0.659,27,0.63,17,19,200.0,80.4,21.9,7,21,45,12.5,7,0.268,11.0,0.182,2.0,45.8,27,0.418,15.9,10,30.0,0.367,11.0,0.296,8
2010-02-25,"Convocation Center, Jonesboro, Arkansas",New Orleans,Arkansas State,Home,55.0,11,0.0,0,103.3,80.0,19,0.407,54,0.37,20,0.278,15,0.8,12,20,200.0,91.8,38.2,6,17,56,11.5,7,0.278,15.0,0.267,4.0,51.0,25,0.458,17.7,12,39.0,0.41,16.0,0.286,8
2010-03-06,"Summit Arena, Hot Springs, Arkansas",Western Kentucky,New Orleans,Away,55.0,11,3.0,1,120.3,77.3,17,0.585,41,0.488,20,0.268,11,0.909,10,22,200.0,84.1,20.0,4,17,58,7.2,5,0.39,16.0,0.5,8.0,50.0,21,0.627,35.3,25,25.0,0.48,12.0,0.267,8
2012-11-09,"Kiefer Lakefront Arena, New Orleans , Louisiana",San Jose State,New Orleans,Home,55.6,15,6.7,3,86.1,73.1,19,0.509,54,0.5,27,0.444,24,0.708,17,0,200.0,91.1,11.1,3,17,72,10.1,8,0.13,7.0,0.143,1.0,41.5,22,0.55,21.8,18,47.0,0.553,26.0,1.0,1
2012-11-12,"Kiefer Lakefront Arena, New Orleans , Louisiana",Southern Illinois,New Orleans,Away,47.1,8,6.4,3,87.8,52.4,11,0.365,48,0.354,17,0.688,33,0.606,20,1,200.0,67.1,21.2,7,18,55,11.0,9,0.25,12.0,0.083,1.0,33.3,18,0.432,30.2,27,36.0,0.444,16.0,0.5,1
2012-11-15,"Kiefer Lakefront Arena, New Orleans , Louisiana",Bethune-Cookman,New Orleans,Away,76.9,20,14.6,6,106.0,58.1,25,0.509,55,0.473,26,0.255,14,0.643,9,2,200.0,97.0,31.0,9,19,65,3.0,2,0.273,15.0,0.267,4.0,47.2,34,0.527,18.6,14,40.0,0.55,22.0,0.333,1
2012-11-26,"David Stopher Gymnasium, Thibodaux, Louisiana",New Orleans,Nicholls State,Home,44.8,13,5.6,2,112.2,71.4,15,0.554,56,0.518,29,0.446,25,0.68,17,3,200.0,96.3,29.2,7,29,79,17.1,14,0.143,8.0,0.5,4.0,48.9,22,0.582,24.7,22,48.0,0.521,25.0,0.4,2
2012-11-29,"Kiefer Lakefront Arena, New Orleans , Louisiana",Southeast Missouri State,New Orleans,Away,41.7,10,6.3,3,113.7,46.4,13,0.389,63,0.381,24,0.397,25,0.72,18,4,200.0,91.8,28.6,10,19,67,8.2,6,0.175,11.0,0.091,1.0,36.5,23,0.447,12.9,11,52.0,0.442,23.0,0.333,2
2012-12-08,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",New Orleans,Duquesne,Home,48.1,13,0.0,0,117.3,47.2,17,0.44,67,0.403,27,0.284,19,0.579,11,5,200.0,93.3,14.6,6,20,70,4.0,3,0.254,17.0,0.294,5.0,29.9,23,0.46,9.6,8,50.0,0.44,22.0,0.286,2
2012-12-12,"Kiefer Lakefront Arena, New Orleans , Louisiana",Nicholls State,New Orleans,Home,60.0,18,5.6,2,100.0,63.6,14,0.62,54,0.556,30,0.537,29,0.414,12,5,200.0,103.9,33.3,11,22,79,15.8,12,0.222,12.0,0.583,7.0,45.5,25,0.583,22.2,19,42.0,0.548,23.0,0.375,3
2012-12-17,"The SIU Arena, Carbondale, Illinois",New Orleans,Southern Illinois,Home,40.9,9,0.0,0,102.8,60.6,20,0.534,44,0.5,22,0.409,18,0.778,14,6,200.0,84.7,30.4,7,27,61,15.3,11,0.227,10.0,0.3,3.0,48.2,27,0.58,31.6,24,34.0,0.559,19.0,0.333,3
2012-12-19,"Show Me Center, Cape Girardeau, Missouri",New Orleans,Southeast Missouri State,Home,38.5,10,10.8,4,134.3,70.4,19,0.491,57,0.456,26,0.421,24,0.625,15,7,200.0,101.4,35.5,11,17,71,8.6,6,0.228,13.0,0.308,4.0,51.7,30,0.519,15.1,12,44.0,0.5,22.0,0.3,3
2012-12-23,"MGM Grand Garden Arena, Paradise, Nevada",New Orleans,Boise State,Home,47.4,9,7.7,3,89.3,65.7,23,0.322,59,0.322,19,0.373,22,0.591,13,8,200.0,68.0,18.4,7,14,51,10.7,8,0.136,8.0,0.0,0.0,41.1,30,0.367,17.9,15,51.0,0.373,19.0,0.273,3
2013-01-03,"Humphrey Coliseum, Starkville, Mississippi",New Orleans,Mississippi State,Home,41.2,7,7.3,3,124.4,62.1,18,0.343,51,0.333,17,0.412,21,0.524,11,9,200.0,59.0,20.0,6,19,46,11.5,9,0.157,8.0,0.125,1.0,40.7,24,0.377,27.6,23,43.0,0.372,16.0,0.25,3
2013-01-05,"Hinkle Fieldhouse, Indianapolis, Indiana",New Orleans,Butler,Home,52.9,9,7.7,2,96.6,68.0,17,0.442,43,0.395,17,0.256,11,0.545,6,10,200.0,74.6,11.5,3,19,44,11.9,7,0.233,10.0,0.4,4.0,39.2,20,0.456,21.4,13,33.0,0.394,13.0,0.231,3
2013-01-08,"The Event Center, San Jose, California",New Orleans,San Jose State,Home,43.5,10,3.8,2,91.0,69.6,32,0.377,65,0.354,23,0.323,21,0.714,15,11,200.0,82.1,36.8,14,25,64,6.4,5,0.246,16.0,0.188,3.0,54.8,46,0.427,20.4,19,49.0,0.408,20.0,0.214,3
2013-01-19,"Tudor Fieldhouse, Houston, Texas",New Orleans,Rice,Home,53.8,14,10.5,4,128.4,85.7,18,0.528,54,0.481,26,0.278,15,0.933,14,12,200.0,95.9,23.1,6,15,71,8.1,6,0.278,15.0,0.333,5.0,51.1,24,0.581,23.9,19,39.0,0.538,21.0,0.25,4
