date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"State Farm Center, Champaign, Illinois",Nicholls State,Illinois,Home,48.1,13,9.5,4,95.1,46.9,15,0.47,66,0.409,27,0.136,9,0.889,8,1,225,85.4,8.3,3,29,70,13.4,11,0.303,20,0.4,8,26.5,18,0.498,18.6,16,46,0.413,19,0.0,0
2019-11-09,"Petersen Events Center, Pittsburgh, Pennsylvania",Nicholls State,Pitt,Away,51.9,14,12.5,5,97.2,55.2,16,0.5,65,0.415,27,0.2,13,0.769,10,1,200,104.2,43.2,16,19,75,15.3,11,0.369,24,0.458,11,48.5,32,0.527,19.4,17,41,0.39,16,0.5,1
2019-11-13,"David Stopher Gymnasium, Thibodaux, Louisiana","Paul Quinn
			",Nicholls State,Home,46.7,14,7.7,3,80.5,81.6,31,0.466,73,0.411,30,0.233,17,0.765,13,1,200,98.8,30.0,12,13,81,17.1,14,0.397,29,0.276,8,55.1,43,0.5,13.9,13,44,0.5,22,0.667,2
2019-11-16,"Maravich Assembly Center, Baton Rouge, Louisiana",Nicholls State,LSU,Home,50.0,12,5.3,2,97.4,53.1,17,0.452,62,0.387,24,0.177,11,0.818,9,2,200,84.4,25.6,10,20,65,14.3,11,0.419,26,0.308,8,38.0,27,0.483,23.0,20,36,0.444,16,0.5,2
2019-11-19,"Ryan Center, Kingston, Rhode Island",Nicholls State,Rhode Island,Home,28.6,8,0.0,0,93.3,72.7,24,0.448,67,0.418,28,0.104,7,0.714,5,3,200,86.7,28.1,9,20,65,12.0,9,0.284,19,0.211,4,50.8,33,0.462,17.6,15,48,0.5,24,0.4,2
2019-11-22,"Montego Bay Convention Centre, Montego Bay",North Carolina A&T,Nicholls State,Away,22.2,4,8.3,3,93.0,59.1,13,0.328,61,0.295,18,0.328,20,0.7,14,4,200,76.1,30.0,12,22,54,12.7,9,0.393,24,0.167,4,40.3,25,0.383,17.7,15,37,0.378,14,0.333,2
2019-11-24,"Montego Bay Convention Centre, Montego Bay",UMBC,Nicholls State,Home,38.5,10,11.8,4,100.0,64.9,24,0.59,50,0.52,26,0.6,30,0.767,23,4,200,113.9,20.8,5,16,82,8.3,6,0.36,18,0.389,7,47.5,29,0.638,16.0,12,32,0.594,19,0.429,3
2019-11-26,"David Stopher Gymnasium, Thibodaux, Louisiana","Blue Mountain College
			",Nicholls State,Home,61.8,21,10.3,3,69.1,83.3,25,0.577,71,0.479,34,0.338,24,0.833,20,4,200,125.9,41.2,14,20,102,17.3,14,0.535,38,0.368,14,60.9,39,0.619,13.7,13,33,0.606,20,0.5,4
2019-12-02,"David Stopher Gymnasium, Thibodaux, Louisiana","Campbellsville
			",Nicholls State,Home,65.2,30,11.1,4,77.5,86.8,33,0.609,87,0.529,46,0.241,21,0.667,14,4,200,134.8,40.5,17,19,120,14.6,13,0.414,36,0.389,14,62.5,50,0.619,8.6,9,51,0.627,32,0.556,5
2019-12-11,"David Stopher Gymnasium, Thibodaux, Louisiana","Carver College
			",Nicholls State,Home,42.9,21,11.9,5,53.7,85.0,34,0.594,90,0.544,49,0.144,13,0.846,11,4,200,143.9,55.0,22,13,118,17.1,14,0.289,26,0.346,9,70.0,56,0.613,8.6,9,64,0.625,40,0.6,6
2019-12-14,"WVU Coliseum, Morgantown, West Virginia",Nicholls State,West Virginia,Home,36.4,8,5.6,2,115.3,48.6,18,0.393,61,0.361,22,0.246,15,0.6,9,5,200,79.2,26.5,9,26,57,12.5,9,0.41,25,0.16,4,38.0,27,0.418,15.1,12,36,0.5,18,0.545,6
2019-12-18,"David Stopher Gymnasium, Thibodaux, Louisiana",Texas A&M-Corpus Christi,Nicholls State,Home,37.5,9,20.7,6,81.7,61.3,19,0.415,65,0.369,24,0.277,18,0.556,10,5,200,90.1,24.3,9,17,64,19.7,14,0.354,23,0.261,6,41.2,28,0.435,9.9,8,42,0.429,18,0.583,7
2019-12-21,"Moody Coliseum , Abilene, Texas",Nicholls State,Abilene Christian,Home,22.2,4,5.4,2,102.6,74.1,20,0.375,52,0.346,18,0.577,30,0.733,22,6,200,79.2,31.4,11,20,61,14.3,11,0.346,18,0.167,3,50.0,31,0.46,25.2,22,34,0.441,15,0.538,7
2020-01-02,"David Stopher Gymnasium, Thibodaux, Louisiana",Incarnate Word,Nicholls State,Home,50.0,13,8.8,3,85.7,67.7,21,0.508,59,0.441,26,0.288,17,0.941,16,6,200,108.6,36.7,11,12,76,15.7,11,0.373,22,0.364,8,52.5,32,0.567,16.4,13,37,0.486,18,0.571,8
2020-01-04,"Johnson Coliseum, Huntsville, Texas",Nicholls State,Sam Houston State,Away,60.0,15,6.3,2,90.6,78.8,26,0.534,59,0.424,25,0.153,9,0.778,7,6,200,109.4,31.3,10,18,70,9.4,6,0.542,32,0.406,13,55.4,36,0.553,14.9,11,27,0.444,12,0.6,9
2020-01-08,"Montagne Center, Beaumont, Texas",Nicholls State,Lamar,Away,52.2,12,10.7,3,71.2,84.4,27,0.449,59,0.39,23,0.22,13,0.615,8,6,200,83.6,21.2,7,17,61,19.2,14,0.356,21,0.333,7,52.3,34,0.468,20.8,17,38,0.421,16,0.625,10
2020-01-11,"University Center, Hammond, Louisiana",Nicholls State,Southeastern Louisiana,Away,34.8,8,18.8,6,80.6,81.8,27,0.5,54,0.426,23,0.333,18,0.833,15,6,200,95.8,40.7,11,23,69,15.3,11,0.463,25,0.32,8,63.3,38,0.552,22.5,18,29,0.517,15,0.647,11
2020-01-15,"David Stopher Gymnasium, Thibodaux, Louisiana",Northwestern State,Nicholls State,Away,56.0,14,8.3,3,89.0,54.8,17,0.446,65,0.385,25,0.323,21,0.667,14,7,200,87.8,13.2,5,16,72,15.9,13,0.385,25,0.32,8,31.9,22,0.48,12.9,11,40,0.425,17,0.611,11
2020-01-18,"David Stopher Gymnasium, Thibodaux, Louisiana",Central Arkansas,Nicholls State,Home,53.6,15,11.4,4,102.9,85.2,23,0.55,60,0.467,28,0.267,16,0.813,13,7,200,112.9,23.3,7,16,79,11.4,8,0.367,22,0.455,10,52.6,30,0.584,11.8,9,38,0.474,18,0.632,12
2020-01-22,"David Stopher Gymnasium, Thibodaux, Louisiana",Houston Baptist,Nicholls State,Home,36.4,12,20.5,8,103.8,60.0,18,0.553,66,0.5,33,0.333,22,0.818,18,7,200,113.8,27.6,8,22,91,8.8,7,0.348,23,0.304,7,44.1,26,0.595,14.7,13,43,0.605,26,0.65,13
2020-01-25,"Kiefer Lakefront Arena, New Orleans , Louisiana",Nicholls State,New Orleans,Away,28.1,9,16.3,7,94.7,81.3,26,0.618,55,0.582,32,0.218,12,0.75,9,7,200,101.3,23.5,4,22,77,9.2,7,0.218,12,0.333,4,61.2,30,0.634,24.9,20,43,0.651,28,0.667,14
2020-01-29,"H&HP Complex, Lake Charles, Louisiana",Nicholls State,McNeese State,Home,41.4,12,4.8,2,106.7,55.0,22,0.442,77,0.377,29,0.104,8,0.75,6,8,225,98.7,31.8,14,21,74,14.7,11,0.416,32,0.313,10,42.9,36,0.458,12.0,11,45,0.422,19,0.636,14
2020-02-05,"William Johnson Coliseum, Nacogdoches, Texas",Nicholls State,Stephen F. Austin,Home,45.8,11,5.6,2,102.9,55.6,15,0.473,55,0.436,24,0.382,21,0.571,12,9,200,94.1,27.6,8,24,64,14.7,10,0.309,17,0.235,4,41.1,23,0.492,16.8,13,38,0.526,20,0.609,14
2020-02-08,"David Stopher Gymnasium, Thibodaux, Louisiana",Sam Houston State,Nicholls State,Home,45.8,11,2.6,1,109.3,73.1,19,0.604,48,0.5,24,0.75,36,0.833,30,9,200,117.3,26.1,6,27,88,6.7,5,0.521,25,0.4,10,51.0,25,0.676,21.0,17,23,0.609,14,0.625,15
2020-02-12,"David Stopher Gymnasium, Thibodaux, Louisiana",Lamar,Nicholls State,Home,60.0,18,8.6,3,92.9,79.2,19,0.523,65,0.462,30,0.062,4,0.25,1,9,200,98.6,21.9,7,18,69,11.4,8,0.338,22,0.364,8,46.4,26,0.516,13.0,10,43,0.512,22,0.64,16
2020-02-15,"David Stopher Gymnasium, Thibodaux, Louisiana",Southeastern Louisiana,Nicholls State,Home,53.3,16,8.1,3,93.4,71.0,22,0.567,60,0.5,30,0.25,15,0.867,13,9,200,106.6,29.6,8,23,81,7.9,6,0.35,21,0.381,8,51.7,30,0.603,17.4,14,39,0.564,22,0.654,17
2020-02-19,"Prather Coliseum, Natchitoches, Louisiana",Nicholls State,Northwestern State,Away,30.8,8,14.3,6,94.5,74.2,23,0.469,65,0.4,26,0.231,15,0.8,12,9,200,100.0,26.5,9,15,73,9.6,7,0.323,21,0.429,9,49.2,32,0.506,13.3,11,44,0.386,17,0.667,18
2020-02-22,"Jeff Farris Center, Conway, Arkansas",Nicholls State,Central Arkansas,Home,47.8,11,7.9,3,109.1,58.3,14,0.414,64,0.359,23,0.25,16,0.75,12,10,200,84.4,15.4,6,23,65,18.2,14,0.406,26,0.269,7,31.7,20,0.454,14.5,12,38,0.421,16,0.643,18
2020-02-26,"Frank and Lucille Sharp Gymnasium, Houston, Texas",Nicholls State,Houston Baptist,Away,52.6,20,25.0,11,116.4,80.8,21,0.636,66,0.576,38,0.212,14,0.643,9,10,200,127.4,33.3,9,14,93,9.6,7,0.273,18,0.444,8,56.6,30,0.64,10.0,8,48,0.625,30,0.655,19
2020-02-29,"David Stopher Gymnasium, Thibodaux, Louisiana",New Orleans,Nicholls State,Home,51.4,18,7.5,3,93.2,81.8,27,0.563,72,0.486,35,0.194,14,0.786,11,10,200,126.0,43.8,14,17,92,8.2,6,0.375,27,0.407,11,63.1,41,0.585,10.3,9,45,0.533,24,0.667,20
