date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-07,"Betty Engelstad Sioux Center , Grand Forks, North Dakota","Crown College
			",North Dakota,Home,51.5,17,7.3,3,76.3,95.1,39,0.576,66,0.5,33,0.197,13,0.769,10,0,200,107.5,33.3,10,9,86,6.3,5,0.333,22,0.455,10,69.0,49,0.596,20.9,19,44,0.523,23,1.0,1
2019-11-12,"McCarthey Athletic Center, Spokane, Washington",North Dakota,Gonzaga,Home,32.0,8,0.0,0,129.3,61.3,19,0.396,72,0.347,25,0.153,11,0.818,9,1,200,88.0,17.4,8,15,66,8.0,6,0.431,31,0.226,7,35.1,27,0.427,6.1,5,41,0.439,18,0.5,1
2019-11-17,"Athletics-Recreation Center, Valparaiso, Indiana",North Dakota,Valparaiso,Home,62.5,15,9.1,4,102.8,69.4,25,0.51,52,0.462,24,0.231,12,0.583,7,2,200,83.3,22.2,6,14,60,6.9,5,0.288,15,0.333,5,49.2,31,0.52,24.9,19,37,0.514,19,0.333,1
2019-11-19,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",North Dakota,Milwaukee,Home,34.8,8,18.6,8,105.3,64.1,25,0.481,53,0.434,23,0.509,27,0.704,19,3,200,93.3,35.3,12,23,70,6.7,5,0.396,21,0.238,5,50.7,37,0.532,23.6,20,32,0.563,18,0.25,1
2019-11-24,"Williams Arena, Minneapolis, Minnesota",North Dakota,Minnesota,Home,58.3,14,7.0,3,105.3,75.0,24,0.466,58,0.414,24,0.069,4,0.5,2,4,200,74.7,12.1,4,14,56,9.3,7,0.397,23,0.261,6,43.1,28,0.467,24.1,19,35,0.514,18,0.2,1
2019-11-26,"Betty Engelstad Sioux Center , Grand Forks, North Dakota","North Central (MN)
			",North Dakota,Home,56.1,23,6.7,2,65.8,92.3,36,0.734,64,0.641,41,0.391,25,0.84,21,4,200,151.3,42.9,9,13,115,9.2,7,0.391,25,0.48,12,75.0,45,0.758,11.8,10,39,0.744,29,0.333,2
2019-11-29,"Alico Arena, Fort Myers, Florida",North Dakota,Florida Gulf Coast,Away,60.7,17,11.8,4,88.7,81.3,26,0.553,57,0.491,28,0.298,17,0.882,15,4,200,109.9,37.0,10,18,78,5.6,4,0.333,19,0.368,7,61.0,36,0.599,20.9,17,38,0.553,21,0.429,3
2019-11-30,"Alico Arena, Fort Myers, Florida",North Dakota,Georgia Southern,Away,52.4,11,0.0,0,93.2,68.9,31,0.472,54,0.389,21,0.593,32,0.906,29,4,200,109.6,35.5,11,23,80,5.5,4,0.444,24,0.375,9,55.3,42,0.578,16.0,13,30,0.4,12,0.5,4
2019-12-01,"Alico Arena, Fort Myers, Florida",North Dakota,Campbell,Home,50.0,10,10.3,4,90.6,90.3,28,0.5,44,0.455,20,0.364,16,0.75,12,5,200,87.5,21.7,5,14,56,4.7,3,0.386,17,0.235,4,61.1,33,0.543,25.0,17,27,0.593,16,0.444,4
2019-12-06,"Adams Center/Dahlberg Arena, Missoula, Montana",North Dakota,Montana,Home,65.2,15,4.0,2,106.9,76.7,23,0.5,55,0.418,23,0.364,20,0.75,15,6,200,97.2,26.7,8,24,70,5.6,4,0.4,22,0.409,9,51.7,31,0.543,21.0,17,33,0.424,14,0.4,4
