date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Stephen C. O'Connell Center, Gainesville, Florida",North Florida,Florida,Home,61.9,13,0.0,0,105.7,55.0,22,0.465,57,0.368,21,0.175,10,0.6,6,1,200,84.3,28.6,10,18,59,4.3,3,0.596,34,0.324,11,42.7,32,0.478,22.7,18,23,0.435,10,0.0,0
2019-11-07,"UNF Arena , Jacksonville, Florida","Florida National University
			",North Florida,Home,57.6,19,4.0,2,100.0,74.3,26,0.513,76,0.434,33,0.171,13,0.846,11,1,200,109.9,33.3,12,14,89,6.2,5,0.487,37,0.324,12,53.5,38,0.542,13.7,13,39,0.538,21,0.5,1
2019-11-11,"UNF Arena , Jacksonville, Florida",Georgia Southern,North Florida,Home,60.0,15,6.8,3,90.6,86.8,33,0.533,61,0.41,25,0.328,20,0.75,15,1,200,94.1,29.7,11,17,80,7.1,6,0.459,28,0.536,15,58.7,44,0.567,25.6,24,33,0.303,10,0.667,2
2019-11-14,"UNF Arena , Jacksonville, Florida",Southern Miss,North Florida,Home,54.2,13,3.9,2,88.7,72.7,24,0.5,59,0.407,24,0.237,14,0.5,7,1,200,93.0,16.2,6,11,66,11.3,8,0.508,30,0.367,11,42.9,30,0.503,15.6,12,29,0.448,13,0.75,3
2019-11-18,"UNF Arena , Jacksonville, Florida","Trinity Baptist
			",North Florida,Home,65.9,29,12.5,5,56.5,79.4,27,0.649,84,0.524,44,0.131,11,0.545,6,1,200,166.7,58.1,25,15,115,21.7,15,0.56,47,0.447,21,67.5,52,0.644,6.3,6,37,0.622,23,0.8,4
2019-11-21,"Carver-Hawkeye Arena, Iowa City, Iowa",North Florida,Iowa,Home,62.5,15,10.0,5,122.1,55.8,24,0.492,61,0.393,24,0.164,10,0.8,8,2,200,100.0,24.2,8,18,68,5.9,4,0.475,29,0.414,12,42.1,32,0.517,13.3,10,32,0.375,12,0.667,4
2019-11-24,"CenturyLink Center, Omaha, Nebraska",North Florida,Creighton,Home,50.0,10,14.3,5,108.6,74.3,26,0.393,61,0.328,20,0.344,21,0.905,19,3,200,95.7,28.9,11,12,67,4.3,3,0.443,27,0.296,8,50.7,37,0.472,14.6,12,34,0.353,12,0.571,4
2019-11-28,"Orleans Arena, Paradise, Nevada",LIU,North Florida,Home,45.5,15,5.4,2,107.0,89.3,25,0.535,71,0.465,33,0.352,25,0.76,19,3,200,110.5,25.0,9,20,95,9.3,8,0.451,32,0.313,10,53.1,34,0.573,14.6,14,39,0.59,23,0.625,5
2019-11-29,"Orleans Arena, Paradise, Nevada",Tennessee State,North Florida,Away,56.0,14,0.0,0,109.5,61.5,16,0.476,63,0.397,25,0.238,15,0.867,13,4,200,98.6,31.4,11,23,73,9.5,7,0.508,32,0.313,10,44.3,27,0.52,18.7,16,31,0.484,15,0.556,5
2019-12-02,"UNF Arena , Jacksonville, Florida",High Point,North Florida,Home,75.9,22,11.4,4,100.0,71.0,22,0.682,55,0.527,29,0.364,20,0.9,18,4,200,132.9,33.3,8,18,93,11.4,8,0.636,35,0.486,17,54.5,30,0.721,19.0,15,20,0.6,12,0.6,6
2019-12-07,"Winfield Dunn Center, Clarksville, Tennessee",North Florida,Austin Peay,Home,39.3,11,0.0,0,121.6,71.4,20,0.573,55,0.509,28,0.4,22,0.909,20,5,200,112.2,20.8,5,25,83,4.1,3,0.382,21,0.333,7,48.1,25,0.634,18.8,15,34,0.618,21,0.545,6
2019-12-14,"Reed Green Coliseum, Hattiesburg, Mississippi",North Florida,Southern Miss,Away,75.0,18,7.7,4,93.2,72.7,32,0.553,57,0.421,24,0.193,11,0.818,9,5,200,97.3,15.6,5,13,72,8.1,6,0.737,42,0.357,15,48.7,37,0.579,19.5,15,15,0.6,9,0.583,7
2019-12-17,"Donald L. Tucker Center, Tallahassee, Florida",North Florida,Florida State,Home,61.5,16,3.8,2,128.9,60.0,18,0.58,56,0.464,26,0.339,19,0.842,16,6,200,106.6,23.3,7,14,81,5.3,4,0.607,34,0.382,13,41.7,25,0.623,19.9,16,22,0.591,13,0.538,7
2019-12-21,"Carrier Dome, Syracuse, New York",North Florida,Syracuse,Home,86.4,19,9.1,3,130.2,62.1,18,0.555,55,0.4,22,0.218,12,0.75,9,7,200,111.1,32.3,10,20,70,3.2,2,0.836,46,0.37,17,46.7,28,0.577,16.6,12,9,0.556,5,0.5,7
2019-12-30,"University of Dayton Arena, Dayton, Ohio",North Florida,Dayton,Home,66.7,14,12.8,6,106.9,78.1,25,0.54,50,0.42,21,0.28,14,0.357,5,8,200,81.9,22.6,7,19,59,1.4,1,0.56,28,0.429,12,50.8,32,0.521,27.2,21,22,0.409,9,0.467,7
2020-01-02,"KSU Convocation Center , Kennesaw, Georgia",North Florida,Kennesaw State,Away,38.7,12,7.1,3,85.1,68.8,22,0.523,66,0.47,31,0.167,11,0.636,7,8,200,113.4,29.4,10,16,76,9.0,6,0.394,26,0.269,7,48.5,32,0.534,7.8,6,40,0.6,24,0.5,8
2020-01-04,"Flowers Hall, Florence, Alabama",North Florida,North Alabama,Away,52.0,13,13.0,6,92.9,77.8,28,0.606,52,0.481,25,0.5,26,0.692,18,8,200,115.7,17.9,5,18,81,4.3,3,0.538,28,0.464,13,51.6,33,0.629,12.4,9,24,0.5,12,0.529,9
2020-01-09,"UNF Arena , Jacksonville, Florida",Florida Gulf Coast,North Florida,Home,56.7,17,2.1,1,105.7,70.6,24,0.633,60,0.5,30,0.3,18,0.722,13,8,200,127.1,26.7,8,14,89,7.1,5,0.517,31,0.516,16,50.0,32,0.649,11.7,9,29,0.483,14,0.556,10
2020-01-11,"UNF Arena , Jacksonville, Florida",NJIT,North Florida,Away,56.0,14,7.5,3,123.8,78.3,18,0.491,57,0.439,25,0.193,11,0.909,10,9,200,104.8,39.3,11,15,66,4.8,3,0.404,23,0.261,6,56.9,29,0.53,17.4,13,34,0.559,19,0.526,10
2020-01-16,"Swisher Gymnasium, Jacksonville, Florida",North Florida,Jacksonville,Away,48.0,12,11.3,6,97.1,65.6,21,0.491,58,0.431,25,0.362,21,0.857,18,9,200,107.1,23.3,7,12,75,7.1,5,0.379,22,0.318,7,45.2,28,0.552,10.6,8,36,0.5,18,0.55,11
2020-01-23,"UNF Arena , Jacksonville, Florida",Liberty,North Florida,Home,36.0,9,4.7,2,109.4,79.3,23,0.577,52,0.481,25,0.288,15,0.733,11,9,200,110.9,20.0,5,18,71,3.1,2,0.538,28,0.357,10,51.9,28,0.6,14.6,10,24,0.625,15,0.571,12
2020-01-25,"Allen Arena, Nashville, Tennessee",North Florida,Lipscomb,Home,41.7,10,16.4,9,118.1,71.9,23,0.492,62,0.387,24,0.274,17,0.706,12,10,200,101.4,17.1,7,17,73,6.9,5,0.565,35,0.371,13,41.1,30,0.521,10.3,8,27,0.407,11,0.545,12
2020-01-30,"UNF Arena , Jacksonville, Florida",Stetson,North Florida,Home,70.0,21,9.1,5,98.5,64.9,24,0.568,66,0.455,30,0.061,4,0.75,3,10,200,118.2,26.5,9,9,78,6.1,4,0.576,38,0.395,15,46.5,33,0.574,9.4,7,28,0.536,15,0.565,13
2020-02-01,"UNF Arena , Jacksonville, Florida",Kennesaw State,North Florida,Home,64.3,18,10.7,6,68.2,71.4,30,0.627,55,0.509,28,0.418,23,0.739,17,10,200,130.3,32.1,9,16,86,6.1,4,0.618,34,0.382,13,55.7,39,0.652,10.9,8,21,0.714,15,0.583,14
