date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Frank Erwin Center, Austin, Texas",Northern Colorado,Texas,Home,20.0,3,5.4,2,98.6,69.7,23,0.291,55,0.273,15,0.4,22,0.591,13,1,200,64.3,29.7,11,9,45,5.7,4,0.382,21,0.095,2,48.6,34,0.344,18.8,15,34,0.382,13,0.0,0
2019-11-08,"Bank of Colorado Arena, Greeley, Colorado",Incarnate Word,Northern Colorado,Home,71.4,20,7.3,3,92.4,84.8,28,0.636,55,0.509,28,0.273,15,0.867,13,1,199,125.8,30.4,7,15,83,6.1,4,0.582,32,0.438,14,62.5,35,0.668,14.0,10,23,0.609,14,0.5,1
2019-11-12,"Bank of Colorado Arena, Greeley, Colorado","Colorado College
			",Northern Colorado,Home,55.0,22,11.6,5,55.9,91.2,31,0.735,66,0.606,40,0.212,14,0.5,7,1,200,152.9,48.3,14,9,104,20.6,14,0.515,34,0.5,17,71.4,45,0.716,12.2,10,32,0.719,23,0.667,2
2019-11-16,"McLeod Center, Cedar Falls, Iowa",Northern Colorado,Northern Iowa,Home,33.3,9,0.0,0,98.7,83.8,31,0.525,60,0.45,27,0.25,15,0.6,9,2,225,92.3,16.1,5,12,72,9.0,7,0.4,24,0.375,9,52.9,36,0.536,20.3,17,36,0.5,18,0.5,2
2019-11-18,"WVU Coliseum, Morgantown, West Virginia",Northern Colorado,West Virginia,Home,60.0,12,4.4,2,103.0,58.6,17,0.453,53,0.377,20,0.321,17,0.765,13,3,200,91.0,20.0,6,20,61,11.9,8,0.566,30,0.267,8,39.0,23,0.499,16.6,12,23,0.522,12,0.4,2
2019-11-26,"Hard Rock Hotel Riviera Maya, Cancun",Boston University,Northern Colorado,Home,30.0,9,6.8,3,82.1,81.8,27,0.634,56,0.536,30,0.232,13,0.538,7,3,200,116.4,30.4,7,15,78,6.0,4,0.375,21,0.524,11,60.7,34,0.627,17.4,13,35,0.543,19,0.5,3
2019-11-27,"Hard Rock Hotel Riviera Maya, Cancun",Gardner-Webb,Northern Colorado,Away,81.0,17,2.3,1,100.0,75.9,22,0.43,64,0.328,21,0.219,14,0.5,7,4,200,92.5,23.3,10,15,62,9.0,6,0.547,35,0.371,13,44.4,32,0.439,10.2,8,29,0.276,8,0.429,3
2019-12-04,"Bank of Colorado Arena, Greeley, Colorado","Northern New Mexico
			",Northern Colorado,Home,76.9,20,0.0,0,62.7,88.4,38,0.612,58,0.448,26,0.552,32,0.656,21,4,200,122.7,25.0,8,20,92,4.0,3,0.707,41,0.463,19,61.3,46,0.628,12.2,10,17,0.412,7,0.5,4
2019-12-14,"Arena-Auditorium, Laramie, Wyoming",Northern Colorado,Wyoming,Away,38.5,10,8.8,3,89.8,88.9,24,0.573,55,0.473,26,0.255,14,0.786,11,4,200,125.4,27.6,8,19,74,6.8,4,0.564,31,0.355,11,57.1,32,0.6,8.9,6,24,0.625,15,0.556,5
2019-12-17,"Bank of Colorado Arena, Greeley, Colorado",Denver,Northern Colorado,Home,32.1,9,5.3,2,82.1,80.0,20,0.56,58,0.483,28,0.483,28,0.75,21,4,200,110.3,23.5,8,26,86,10.3,8,0.328,19,0.474,9,47.5,28,0.603,15.6,13,39,0.487,19,0.6,6
2019-12-20,"Sanford Pentagon, Sioux Falls, South Dakota",Northern Colorado,South Dakota,Away,43.8,14,2.1,1,94.4,85.2,23,0.597,62,0.516,32,0.29,18,0.722,13,4,200,120.8,22.6,7,18,87,6.9,5,0.387,24,0.417,10,51.7,30,0.617,9.1,7,38,0.579,22,0.636,7
2019-12-28,"Peter W. Stott Center, Portland, Oregon",Northern Colorado,Portland State,Home,46.2,12,6.0,3,97.2,75.0,21,0.491,58,0.448,26,0.259,15,0.533,8,5,200,91.5,28.6,8,14,65,5.6,4,0.397,23,0.217,5,51.8,29,0.499,18.8,15,35,0.6,21,0.583,7
2020-01-02,"Bank of Colorado Arena, Greeley, Colorado",Montana State,Northern Colorado,Home,34.6,9,8.6,3,93.7,96.2,25,0.518,56,0.464,26,0.321,18,0.556,10,5,200,107.9,20.0,7,10,68,4.8,3,0.411,23,0.261,6,52.5,32,0.527,7.3,5,33,0.606,20,0.615,8
2020-01-04,"Bank of Colorado Arena, Greeley, Colorado",Montana,Northern Colorado,Home,43.5,10,0.0,0,97.1,81.8,27,0.549,51,0.451,23,0.431,22,0.818,18,5,200,108.8,14.8,4,13,74,8.8,6,0.529,27,0.37,10,51.7,31,0.602,15.3,11,24,0.542,13,0.643,9
2020-01-09,"Dee Events Center, Ogden, Utah",Northern Colorado,Weber State,Away,44.0,11,6.7,2,94.1,87.9,29,0.42,69,0.362,25,0.13,9,0.778,7,5,200,95.6,33.3,14,12,65,8.8,6,0.362,25,0.32,8,57.3,43,0.444,12.1,10,44,0.386,17,0.667,10
2020-01-16,"Bank of Colorado Arena, Greeley, Colorado",Sacramento State,Northern Colorado,Home,58.3,14,7.7,3,81.3,66.7,20,0.58,50,0.48,24,0.34,17,0.765,13,5,200,110.9,9.5,2,12,71,12.5,8,0.38,19,0.526,10,43.1,22,0.611,12.2,8,31,0.452,14,0.688,11
