date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Prather Coliseum, Natchitoches, Louisiana","Centenary (LA)
			",Northwestern State,Home,61.3,19,9.7,3,70.4,79.5,31,0.629,58,0.534,31,0.224,13,0.846,11,0,200,103.7,32.0,8,11,84,9.9,8,0.379,22,0.5,11,60.9,39,0.654,27.4,24,36,0.556,20,1.0,1
2019-11-06,"Reed Arena, College Station, Texas",Northwestern State,Texas A&M,Home,56.0,14,2.9,1,110.0,70.4,19,0.404,73,0.342,25,0.096,7,0.571,4,1,200,90.0,37.5,18,23,63,7.1,5,0.521,38,0.237,9,49.3,37,0.413,14.6,13,35,0.457,16,0.5,1
2019-11-12,"Prather Coliseum, Natchitoches, Louisiana",Rice,Northwestern State,Away,30.4,7,12.0,3,105.3,78.4,29,0.5,54,0.426,23,0.444,24,0.833,20,2,200,97.4,10.3,3,22,74,6.6,5,0.37,20,0.4,8,48.5,32,0.566,17.8,14,34,0.441,15,0.333,1
2019-11-16,"Devlin Fieldhouse, New Orleans, Louisiana",Northwestern State,Tulane,Home,50.0,10,2.8,1,98.8,74.2,23,0.421,57,0.351,20,0.193,11,0.364,4,3,200,65.0,9.7,3,24,52,6.3,5,0.544,31,0.258,8,41.9,26,0.418,25.4,21,26,0.462,12,0.25,1
2019-11-19,"Prather Coliseum, Natchitoches, Louisiana","Louisiana College
			",Northwestern State,Home,40.7,11,34.3,12,83.3,70.6,24,0.5,58,0.466,27,0.19,11,0.818,9,3,200,93.1,29.6,8,21,67,9.7,7,0.293,17,0.235,4,52.5,32,0.53,21.3,17,41,0.561,23,0.4,2
2019-11-26,"Fant-Ewing Coliseum, Monroe, Louisiana",Northwestern State,Louisiana-Monroe,Home,48.0,12,10.8,4,111.6,78.1,25,0.429,63,0.397,25,0.349,22,0.682,15,4,200,100.0,33.3,13,18,69,4.3,3,0.317,20,0.2,4,53.5,38,0.47,8.8,7,43,0.488,21,0.333,2
2019-12-03,"Moody Coliseum, Dallas, Texas",Northwestern State,SMU,Home,65.0,13,9.5,4,108.5,58.1,18,0.381,59,0.339,20,0.186,11,0.545,6,5,200,71.8,18.4,7,22,51,7.0,5,0.373,22,0.227,5,36.2,25,0.397,18.0,14,37,0.405,15,0.286,2
2019-12-08,"Maravich Assembly Center, Baton Rouge, Louisiana",Northwestern State,LSU,Home,39.1,9,4.3,2,141.6,46.9,15,0.443,61,0.377,23,0.098,6,0.833,5,6,200,76.6,21.6,8,18,59,6.5,5,0.41,25,0.32,8,33.3,23,0.462,24.8,21,36,0.417,15,0.25,2
2019-12-18,"Johnson Coliseum, Huntsville, Texas",Northwestern State,Sam Houston State,Home,42.3,11,2.6,1,119.5,65.7,23,0.557,53,0.491,26,0.547,29,0.69,20,7,200,102.6,25.8,8,19,79,10.4,8,0.472,25,0.28,7,47.0,31,0.592,22.4,19,28,0.679,19,0.222,2
2019-12-21,"Prather Coliseum, Natchitoches, Louisiana",Lamar,Northwestern State,Home,60.9,14,20.5,8,88.4,73.3,22,0.539,51,0.451,23,0.373,19,0.632,12,7,200,97.1,30.8,8,19,67,13.0,9,0.451,23,0.391,9,53.6,30,0.558,20.2,15,28,0.5,14,0.3,3
