date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Athletics Center O'rena, Rochester, Michigan","Goshen
			",Oakland,Home,60.6,20,9.5,2,85.7,73.5,25,0.57,64,0.516,33,0.5,32,0.656,21,0,200,122.1,50.0,16,10,94,11.7,9,0.297,19,0.368,7,62.1,41,0.593,16.1,15,45,0.578,26,1.0,1
2019-11-08,"Silver Spurs Arena, Kissimmee, Florida",Oakland,Delaware,Home,57.9,11,16.7,5,82.4,76.3,29,0.402,51,0.373,19,0.431,22,0.545,12,1,200,77.9,20.0,7,14,53,14.7,10,0.235,12,0.25,3,49.3,36,0.431,17.6,13,39,0.41,16,0.5,1
2019-11-09,"Silver Spurs Arena, Kissimmee, Florida",UTSA,Oakland,Home,61.9,13,3.1,1,88.6,78.8,26,0.521,48,0.438,21,0.646,31,0.806,25,1,200,107.1,25.9,7,20,75,4.3,3,0.396,19,0.421,8,55.0,33,0.598,16.3,12,29,0.448,13,0.667,2
2019-11-10,"Silver Spurs Arena, Kissimmee, Florida",Southern Illinois,Oakland,Home,45.8,11,13.0,3,82.5,96.6,28,0.49,52,0.462,24,0.25,13,0.769,10,1,200,96.8,38.5,10,9,61,6.3,4,0.25,13,0.231,3,69.1,38,0.524,19.5,14,39,0.538,21,0.75,3
2019-11-16,"Xfinity Center, College Park, Maryland",Oakland,Maryland,Home,57.9,11,6.5,2,112.7,72.4,21,0.423,52,0.365,19,0.288,15,0.4,6,2,200,70.4,16.2,6,15,50,11.3,8,0.404,21,0.286,6,40.9,27,0.423,23.5,18,31,0.419,13,0.6,3
2019-11-18,"Athletics Center O'rena, Rochester, Michigan",Hartford,Oakland,Home,50.0,10,5.9,2,73.5,89.2,33,0.448,48,0.417,20,0.563,27,0.63,17,2,200,88.2,34.5,10,13,60,13.2,9,0.333,16,0.188,3,65.2,43,0.493,20.0,15,32,0.531,17,0.667,4
2019-11-25,"Convocation Center, DeKalb, Illinois",Oakland,Northern Illinois,Home,40.0,6,5.6,2,113.8,83.9,26,0.33,50,0.3,15,0.4,20,0.85,17,3,200,76.9,21.6,8,10,50,7.7,5,0.42,21,0.143,3,50.0,34,0.42,16.9,12,29,0.414,12,0.571,4
2019-11-30,"John F. Savage Hall, Toledo, Ohio",Oakland,Toledo,Home,64.0,16,9.5,2,101.6,63.0,17,0.509,56,0.446,25,0.25,14,0.429,6,4,200,98.4,32.4,11,18,63,7.8,5,0.411,23,0.304,7,45.9,28,0.503,18.4,14,33,0.545,18,0.5,4
2019-12-03,"University Arena, Kalamazoo, Michigan",Oakland,Western Michigan,Away,36.0,9,7.7,2,98.4,69.0,29,0.587,46,0.543,25,0.522,24,0.75,18,4,200,114.3,20.8,5,17,72,4.8,3,0.283,13,0.308,4,51.5,34,0.627,15.0,10,33,0.636,21,0.556,5
2019-12-07,"Stroh Center, Bowling Green, Ohio",Oakland,Bowling Green State,Home,56.5,13,6.1,2,104.6,82.9,29,0.52,50,0.46,23,0.38,19,0.684,13,5,200,100.0,22.6,7,17,65,4.6,3,0.4,20,0.3,6,54.5,36,0.551,20.4,15,30,0.567,17,0.5,5
2019-12-14,"Little Caesars Arena, Detroit, Michigan",Michigan State,Oakland,Away,70.6,12,0.0,0,97.3,63.0,17,0.315,65,0.262,17,0.185,12,0.667,8,6,200,66.2,13.3,6,13,49,9.5,7,0.338,22,0.318,7,31.9,23,0.347,11.4,9,43,0.233,10,0.455,5
2019-12-18,"Carrier Dome, Syracuse, New York",Oakland,Syracuse,Home,78.9,15,4.2,1,113.8,76.7,23,0.477,44,0.432,19,0.545,24,0.833,20,7,200,95.4,25.0,6,16,62,6.2,4,0.409,18,0.222,4,53.7,29,0.56,21.6,15,26,0.577,15,0.417,5
2019-12-21,"Athletics Center O'rena, Rochester, Michigan",Fairfield,Oakland,Away,43.5,10,10.6,5,79.2,77.4,24,0.415,59,0.39,23,0.237,14,0.714,10,8,225,76.6,30.3,10,17,59,7.8,6,0.356,21,0.143,3,53.1,34,0.449,23.5,20,38,0.526,20,0.385,5
2019-12-28,"Athletics Center O'rena, Rochester, Michigan",Detroit,Oakland,Home,75.9,22,20.0,4,94.5,60.4,29,0.588,57,0.509,29,0.351,20,0.55,11,8,200,106.8,16.7,5,18,78,5.5,4,0.439,25,0.36,9,43.6,34,0.586,17.5,14,32,0.625,20,0.429,6
2020-01-03,"Athletics Center O'rena, Rochester, Michigan",Wright State,Oakland,Away,80.8,21,11.4,5,128.0,55.6,15,0.458,60,0.433,26,0.3,18,0.778,14,9,200,92.0,27.3,9,19,69,13.3,10,0.3,18,0.167,3,40.0,24,0.503,19.1,16,42,0.548,23,0.4,6
2020-01-05,"Athletics Center O'rena, Rochester, Michigan",Northern Kentucky,Oakland,Away,61.5,16,9.7,3,117.2,67.9,19,0.484,61,0.426,26,0.164,10,0.5,5,10,200,100.0,34.3,12,18,64,12.5,8,0.377,23,0.304,7,49.2,31,0.487,14.4,11,38,0.5,19,0.375,6
