date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-14,"Gallagher-Iba Arena, Stillwater, Oklahoma","Seattle
			",Oklahoma State,Home,34.5,10,6.3,3,73.6,80.4,42,0.469,64,0.453,29,0.609,39,0.667,26,0,200.0,98.9,25.6,9,23,86,6.9,6,0.234,15.0,0.133,2.0,56.7,51,0.521,16.5,16,49.0,0.551,27.0,1.0,1
2009-11-18,"Gallagher-Iba Arena, Stillwater, Oklahoma",Southern,Oklahoma State,Home,37.1,13,14.8,4,84.7,77.1,27,0.527,74,0.473,35,0.338,25,0.6,15,0,200.0,129.2,48.7,19,20,93,9.7,7,0.432,32.0,0.25,8.0,62.2,46,0.541,8.6,8,42.0,0.643,27.0,1.0,2
2009-11-21,"Gallagher-Iba Arena, Stillwater, Oklahoma",North Texas,Oklahoma State,Home,46.7,14,14.3,6,100.0,65.7,24,0.588,57,0.526,30,0.351,20,0.75,15,0,200.0,120.6,24.1,6,18,82,5.9,4,0.298,17.0,0.412,7.0,46.9,30,0.617,12.0,9,40.0,0.575,23.0,1.0,3
2009-11-24,"Gallagher-Iba Arena, Stillwater, Oklahoma",Prairie View,Oklahoma State,Home,65.4,17,6.3,2,81.7,84.2,34,0.5,60,0.433,26,0.517,31,0.645,20,0,200.0,112.7,36.6,13,16,80,7.0,5,0.433,26.0,0.308,8.0,59.5,47,0.535,16.0,13,34.0,0.529,18.0,1.0,4
2009-11-27,"Orleans Arena, Paradise, Nevada",Oklahoma State,Bradley,Away,52.4,11,3.1,1,89.1,66.7,22,0.531,48,0.438,21,0.458,22,0.773,17,0,200.0,106.3,34.6,7,22,68,7.8,5,0.5,24.0,0.375,9.0,51.8,29,0.582,20.6,15,24.0,0.5,12.0,1.0,5
2009-11-28,"Orleans Arena, Paradise, Nevada",Oklahoma State,Utah,Away,30.8,8,0.0,0,85.9,71.9,24,0.538,53,0.491,26,0.434,23,0.87,20,0,200.0,120.3,17.2,4,19,77,4.7,3,0.321,17.0,0.294,5.0,45.9,28,0.602,8.7,6,36.0,0.583,21.0,1.0,6
2009-12-02,"Donald W. Reynolds Center, Tulsa, Oklahoma",Oklahoma State,Tulsa,Home,34.6,9,5.3,2,132.3,45.5,12,0.424,66,0.394,26,0.197,13,0.692,9,1,200.0,100.0,30.8,10,19,65,6.2,4,0.242,16.0,0.25,4.0,36.1,22,0.45,7.7,6,50.0,0.44,22.0,0.857,6
2009-12-05,"Gallagher-Iba Arena, Stillwater, Oklahoma",UTSA,Oklahoma State,Home,47.8,11,15.9,7,83.3,74.5,35,0.53,50,0.46,23,0.22,11,0.727,8,1,200.0,92.4,25.0,7,13,61,4.5,3,0.36,18.0,0.389,7.0,56.0,42,0.552,24.7,18,32.0,0.5,16.0,0.875,7
2009-12-13,"Gallagher-Iba Arena, Stillwater, Oklahoma",Arkansas-Pine Bluff,Oklahoma State,Home,50.0,13,13.0,6,98.5,67.6,25,0.612,49,0.531,26,0.531,26,0.808,21,1,200.0,120.9,25.0,5,20,81,6.0,4,0.429,21.0,0.381,8.0,52.6,30,0.66,14.2,10,28.0,0.643,18.0,0.889,8
2009-12-16,"Maples Pavilion, Stanford, California",Oklahoma State,Stanford,Away,48.1,13,7.1,3,94.6,72.7,25,0.516,61,0.443,27,0.18,11,0.727,8,1,200.0,95.9,28.1,8,25,71,8.1,6,0.492,30.0,0.3,9.0,50.8,33,0.536,20.5,17,31.0,0.581,18.0,0.9,9
2009-12-21,"Ford Center, Oklahoma City, Oklahoma",Oklahoma State,La Salle,Away,34.5,10,7.7,3,89.9,68.4,28,0.533,60,0.483,29,0.383,23,0.565,13,1,200.0,111.6,37.8,12,22,77,13.0,9,0.267,16.0,0.375,6.0,53.3,40,0.543,14.6,11,44.0,0.523,23.0,0.909,10
