date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"McLeod Center, Cedar Falls, Iowa",Old Dominion,Northern Iowa,Home,23.8,5,4.2,1,82.9,75.6,31,0.381,59,0.356,21,0.254,15,0.533,8,1,200,75.7,27.0,10,24,53,17.1,12,0.203,12,0.25,3,52.6,41,0.401,17.6,14,47,0.383,18,0.0,0
2019-11-10,"Ted Constant Convocation Ctr., Norfolk, Virginia",St. Joseph's,Old Dominion,Home,42.3,11,25.8,8,87.3,77.3,34,0.455,66,0.394,26,0.515,34,0.647,22,1,200,103.8,39.0,16,18,82,10.1,8,0.258,17,0.471,8,58.8,50,0.499,12.9,12,49,0.367,18,0.5,1
2019-11-13,"Ted Constant Convocation Ctr., Norfolk, Virginia",Loyola (MD),Old Dominion,Home,56.0,14,19.4,6,77.9,78.6,22,0.435,62,0.403,25,0.177,11,0.727,8,1,200,91.2,37.8,14,13,62,17.6,12,0.258,16,0.25,4,55.4,36,0.461,16.3,13,46,0.457,21,0.667,2
2019-11-16,"Matthews Arena, Boston, Massachusetts",Old Dominion,Northeastern,Away,26.7,8,10.3,3,100.0,82.6,19,0.542,59,0.508,30,0.339,20,0.6,12,1,200,110.1,41.2,14,17,76,17.4,12,0.254,15,0.267,4,57.9,33,0.555,15.0,12,44,0.591,26,0.75,3
2019-11-20,"Ted Constant Convocation Ctr., Norfolk, Virginia",James Madison,Old Dominion,Away,34.4,11,11.5,3,101.3,83.9,26,0.455,78,0.41,32,0.192,15,0.467,7,2,200,98.7,28.3,13,23,78,7.6,6,0.282,22,0.318,7,50.6,39,0.458,8.6,8,56,0.446,25,0.6,3
2019-11-25,"John Gray Gymnasium, Grand Cayman",George Mason,Old Dominion,Away,68.4,13,7.1,2,92.3,79.3,23,0.425,53,0.358,19,0.208,11,0.727,8,3,200,81.5,9.1,3,19,53,10.8,7,0.415,22,0.318,7,41.9,26,0.455,14.7,10,31,0.387,12,0.5,3
2019-11-26,"John Gray Gymnasium, Grand Cayman",Old Dominion,Washington State,Home,27.8,5,11.1,4,98.5,73.5,25,0.407,54,0.333,18,0.204,11,0.545,6,4,200,74.6,20.7,6,16,50,4.5,3,0.389,21,0.381,8,49.2,31,0.422,20.3,15,33,0.303,10,0.429,3
2019-11-27,"John Gray Gymnasium, Grand Cayman",Loyola (IL),Old Dominion,Away,24.0,6,15.4,4,103.0,79.2,19,0.509,53,0.472,25,0.208,11,0.636,7,5,200,92.4,17.2,5,23,61,13.6,9,0.302,16,0.25,4,45.3,24,0.524,18.4,13,37,0.568,21,0.375,3
2019-12-03,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",Old Dominion,William & Mary,Home,33.3,6,21.4,6,90.0,79.4,27,0.302,63,0.286,18,0.159,10,0.8,8,6,200,65.7,25.6,11,16,46,11.4,8,0.317,20,0.1,2,49.4,38,0.339,18.2,15,43,0.372,16,0.333,3
2019-12-07,"Stuart Siegel Center, Richmond, Virginia",Old Dominion,VCU,Home,21.7,5,14.8,4,98.6,96.4,27,0.429,56,0.411,23,0.214,12,0.75,9,7,200,81.4,22.6,7,21,57,12.9,9,0.268,15,0.133,2,57.6,34,0.462,19.7,15,41,0.512,21,0.3,3
