date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"A.G. Spanos Center, Stockton, California","Cal State Stanislaus
			",Pacific,Home,40.0,10,8.0,2,71.2,90.0,27,0.529,51,0.49,25,0.49,25,0.6,15,0,200,104.5,35.7,10,24,69,10.6,7,0.314,16,0.25,4,63.8,37,0.549,15.1,11,35,0.6,21,1.0,1
2019-11-08,"Stan Sheriff Center, Honolulu, Hawaii",South Dakota,Pacific,Away,50.0,11,3.8,1,114.3,66.7,16,0.49,51,0.431,22,0.314,16,0.75,12,1,200,98.4,33.3,7,17,62,14.3,9,0.294,15,0.4,6,51.1,23,0.529,17.1,12,36,0.444,16,0.5,1
2019-11-10,"Stan Sheriff Center, Honolulu, Hawaii",Florida A&M,Pacific,Home,45.2,14,6.9,2,80.6,89.7,26,0.576,59,0.525,31,0.305,18,0.444,8,1,200,113.4,44.4,12,17,76,13.4,9,0.305,18,0.333,6,67.9,38,0.563,11.9,9,41,0.61,25,0.667,2
2019-11-11,"Stan Sheriff Center, Honolulu, Hawaii",Pacific,Hawaii,Home,38.5,10,8.0,2,122.0,78.3,18,0.557,53,0.491,26,0.17,9,0.889,8,2,200,113.6,35.0,7,17,67,6.8,4,0.358,19,0.368,7,58.1,25,0.585,13.6,9,34,0.559,19,0.5,2
2019-11-14,"A.G. Spanos Center, Stockton, California","Pacific Union
			",Pacific,Home,40.0,12,9.5,2,71.6,100.0,33,0.567,60,0.5,30,0.467,28,0.643,18,2,200,128.4,44.1,15,12,86,10.4,7,0.35,21,0.381,8,71.6,48,0.587,11.1,9,39,0.564,22,0.6,3
2019-11-17,"A.G. Spanos Center, Stockton, California",UC-Riverside,Pacific,Home,59.1,13,12.9,4,83.6,85.3,29,0.471,51,0.431,22,0.333,17,0.588,10,2,200,95.1,19.4,6,13,58,11.5,7,0.196,10,0.4,4,53.8,35,0.491,9.3,6,41,0.439,18,0.667,4
2019-11-19,"A.G. Spanos Center, Stockton, California",Coppin State,Pacific,Home,50.0,11,10.0,3,81.1,81.1,30,0.405,58,0.379,22,0.414,24,0.708,17,2,200,86.5,36.8,14,19,64,2.7,2,0.397,23,0.13,3,58.7,44,0.461,21.7,19,35,0.543,19,0.714,5
2019-11-23,"A.G. Spanos Center, Stockton, California",Boise State,Pacific,Away,28.0,7,17.1,7,96.5,81.0,34,0.449,59,0.424,25,0.593,35,0.657,23,3,275,89.4,35.9,14,25,76,9.4,8,0.203,12,0.25,3,59.3,48,0.502,22.0,21,47,0.468,22,0.625,5
2019-11-26,"A.G. Spanos Center, Stockton, California",SIU-Edwardsville,Pacific,Home,58.1,18,15.6,5,72.5,82.1,23,0.609,55,0.564,31,0.309,17,0.647,11,3,200,113.0,40.0,10,13,78,14.5,10,0.273,15,0.333,5,62.3,33,0.618,19.4,15,40,0.65,26,0.667,6
2019-11-29,"A.G. Spanos Center, Stockton, California",Longwood,Pacific,Home,48.0,12,21.1,4,79.7,86.7,26,0.544,57,0.439,25,0.246,14,0.5,7,3,200,107.8,32.3,10,16,69,6.3,4,0.439,25,0.48,12,59.0,36,0.542,13.7,10,32,0.406,13,0.7,7
2019-12-04,"A.G. Spanos Center, Stockton, California",Cal State Fullerton,Pacific,Home,45.8,11,12.1,4,100.0,83.3,25,0.542,48,0.5,24,0.396,19,0.526,10,3,200,105.1,28.6,8,20,62,8.5,5,0.188,9,0.444,4,56.9,33,0.544,15.1,10,39,0.513,20,0.727,8
2019-12-07,"The Walter Pyramid, Long Beach, California",Pacific,Long Beach State,Away,46.2,12,9.1,4,73.0,67.6,25,0.518,57,0.456,26,0.123,7,0.857,6,3,200,103.2,37.9,11,16,65,9.5,6,0.333,19,0.368,7,54.5,36,0.539,17.8,13,38,0.5,19,0.75,9
2019-12-15,"A.G. Spanos Center, Stockton, California",Cal State Northridge,Pacific,Home,58.6,17,15.6,5,107.4,86.4,19,0.63,54,0.537,29,0.37,20,0.55,11,3,200,116.2,41.9,13,21,79,4.4,3,0.352,19,0.526,10,60.4,32,0.622,21.3,17,35,0.543,19,0.769,10
2019-12-18,"Thomas & Mack Center, Las Vegas, Nevada",Pacific,UNLV,Away,60.0,15,19.2,5,106.5,66.7,18,0.527,56,0.446,25,0.357,20,0.75,15,3,200,119.4,42.4,14,19,74,9.7,6,0.357,20,0.45,9,53.3,32,0.565,12.2,9,36,0.444,16,0.786,11
2019-12-21,"A.G. Spanos Center, Stockton, California",Idaho State,Pacific,Home,54.8,17,11.5,3,101.5,81.5,22,0.559,59,0.525,31,0.288,17,0.647,11,3,200,118.5,41.4,12,17,77,15.4,10,0.119,7,0.571,4,60.7,34,0.574,13.1,10,52,0.519,27,0.8,12
2019-12-28,"Bren Events Center, Irvine, California",Pacific,UC-Irvine,Home,50.0,11,4.9,2,101.5,69.7,23,0.348,66,0.333,22,0.273,18,0.556,10,4,200,82.4,37.2,16,24,56,5.9,4,0.197,13,0.154,2,51.3,39,0.376,13.0,11,53,0.377,20,0.75,12
2020-01-02,"Firestone Fieldhouse, Malibu, California",Pacific,Pepperdine,Away,65.0,13,29.6,8,80.0,80.6,29,0.489,47,0.426,20,0.383,18,0.722,13,4,200,84.3,8.0,2,21,59,5.7,4,0.34,16,0.375,6,50.8,31,0.531,22.6,16,31,0.452,14,0.765,13
2020-01-04,"A.G. Spanos Center, Stockton, California",Saint Mary's,Pacific,Home,18.2,6,21.7,13,101.0,79.2,42,0.507,71,0.465,33,0.634,45,0.778,35,4,300,109.2,30.8,12,28,107,2.0,2,0.254,18,0.333,6,58.7,54,0.579,13.4,14,53,0.509,27,0.778,14
2020-01-11,"A.G. Spanos Center, Stockton, California",San Francisco,Pacific,Away,50.0,14,12.5,4,114.5,70.0,21,0.5,61,0.459,28,0.344,21,0.667,14,5,200,108.7,30.0,9,21,75,8.7,6,0.262,16,0.313,5,50.0,30,0.528,11.4,9,45,0.511,23,0.737,14
2020-01-16,"Chiles Center, Portland, Oregon",Pacific,Portland,Away,81.0,17,10.9,5,75.3,81.8,27,0.451,51,0.412,21,0.529,27,0.704,19,5,200,89.0,20.0,6,23,65,11.0,8,0.333,17,0.235,4,52.4,33,0.509,17.1,13,34,0.5,17,0.75,15
2020-01-18,"Leavey Center, Santa Clara, California",Pacific,Santa Clara,Home,46.4,13,7.1,2,116.7,86.4,19,0.485,65,0.431,28,0.431,28,0.607,17,6,200,111.1,38.2,13,27,80,4.2,3,0.323,21,0.333,7,57.1,32,0.511,10.4,9,44,0.477,21,0.714,15
2020-01-23,"A.G. Spanos Center, Stockton, California",BYU,Pacific,Away,40.0,10,6.3,2,113.8,92.0,23,0.421,63,0.397,25,0.127,8,0.875,7,7,200,92.3,23.7,9,14,60,9.2,6,0.206,13,0.231,3,50.8,32,0.449,10.7,8,50,0.44,22,0.682,15
2020-01-25,"McCarthey Athletic Center, Spokane, Washington",Pacific,Gonzaga,Home,40.9,9,5.0,2,131.4,63.0,17,0.395,62,0.355,22,0.258,16,0.625,10,8,200,84.3,35.1,13,22,59,8.6,6,0.274,17,0.294,5,46.9,30,0.424,17.8,15,45,0.378,17,0.652,15
2020-01-30,"A.G. Spanos Center, Stockton, California",Loyola Marymount,Pacific,Home,60.9,14,3.7,1,90.9,85.7,18,0.563,48,0.479,23,0.229,11,0.727,8,8,200,112.7,32.0,8,12,62,5.5,3,0.375,18,0.444,8,56.5,26,0.582,17.2,11,30,0.5,15,0.667,16
2020-02-01,"A.G. Spanos Center, Stockton, California",San Diego,Pacific,Home,33.3,8,13.6,6,79.5,77.8,28,0.455,56,0.429,24,0.357,20,0.75,15,8,200,90.4,29.4,10,16,66,8.2,6,0.268,15,0.2,3,54.3,38,0.504,19.8,16,41,0.512,21,0.68,17
