date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Firestone Fieldhouse, Malibu, California",Pacific,Pepperdine,Away,28.6,6,0.0,0,90.5,66.7,29,0.409,55,0.382,21,0.6,33,0.576,19,1,250.0,86.5,29.3,11,22,64,8.1,6,0.218,12.0,0.25,3.0,48.2,40,0.453,18.7,16,43.0,0.419,18.0,0.0,0
2009-11-23,"Pauley Pavilion, Los Angeles, California",Pepperdine,UCLA,Home,31.6,6,0.0,0,116.4,80.0,17,0.435,46,0.413,19,0.37,17,0.706,12,3,200.0,85.2,32.1,8,17,52,9.8,6,0.174,8.0,0.25,2.0,52.1,25,0.481,24.1,16,38.0,0.447,17.0,0.25,1
2009-11-27,"Arena-Auditorium, Laramie, Wyoming",Pepperdine,Hampton,Away,53.8,14,8.0,2,88.0,70.0,28,0.578,51,0.51,26,0.51,26,0.615,16,3,200.0,100.0,25.0,7,24,75,8.0,6,0.353,18.0,0.389,7.0,51.5,35,0.592,23.3,18,33.0,0.576,19.0,0.4,2
2009-11-28,"Arena-Auditorium, Laramie, Wyoming",Pepperdine,Monmouth,Away,56.0,14,8.7,2,110.6,60.0,23,0.528,54,0.463,25,0.63,34,0.735,25,3,200.0,124.2,34.5,8,19,82,13.6,9,0.352,19.0,0.368,7.0,48.4,31,0.584,5.5,4,35.0,0.514,18.0,0.5,3
2009-12-05,"Robert A. Mott Gymnasium, San Luis Obispo, California",Pepperdine,Cal Poly,Home,58.3,14,7.1,3,115.3,55.2,19,0.509,53,0.453,24,0.566,30,0.767,23,5,200.0,106.9,37.9,8,21,77,6.9,5,0.415,22.0,0.273,6.0,46.6,27,0.572,19.5,16,31.0,0.581,18.0,0.375,3
2009-12-13,"Firestone Fieldhouse, Malibu, California",Portland State,Pepperdine,Away,48.4,15,10.3,3,131.0,72.0,19,0.472,71,0.437,31,0.239,17,0.824,14,8,200.0,114.1,35.9,13,12,81,8.5,6,0.211,15.0,0.333,5.0,50.0,32,0.512,7.1,6,56.0,0.464,26.0,0.273,3
2009-12-18,"Firestone Fieldhouse, Malibu, California",New Mexico State,Pepperdine,Away,56.0,14,3.3,1,114.7,60.7,18,0.455,67,0.373,25,0.299,20,0.55,11,9,200.0,105.9,44.4,19,24,72,7.4,5,0.403,27.0,0.407,11.0,50.7,37,0.471,14.6,13,40.0,0.35,14.0,0.25,3
2009-12-23,"Firestone Fieldhouse, Malibu, California",Utah,Pepperdine,Home,45.5,10,3.2,1,88.9,72.7,26,0.43,57,0.386,22,0.579,33,0.818,27,10,200.0,105.6,56.3,16,16,76,5.6,4,0.175,10.0,0.5,5.0,64.6,42,0.523,20.1,18,47.0,0.362,17.0,0.286,4
2009-12-30,"Stegeman Coliseum, Athens, Georgia",Pepperdine,Georgia,Home,55.6,10,6.7,3,112.3,48.5,16,0.394,52,0.346,18,0.173,9,0.667,6,11,200.0,82.5,29.4,10,11,47,8.8,5,0.365,19.0,0.263,5.0,38.8,26,0.418,17.7,12,33.0,0.394,13.0,0.267,4
2010-01-03,"Firestone Fieldhouse, Malibu, California",Miami (FL),Pepperdine,Away,65.0,13,3.6,1,124.6,62.5,16,0.412,57,0.351,20,0.351,20,0.8,16,12,200.0,91.3,25.7,8,14,63,13.0,9,0.368,21.0,0.333,7.0,40.7,24,0.474,14.3,11,36.0,0.361,13.0,0.25,4
