date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Chiles Center, Portland, Oregon","Willamette
			",Portland,Home,68.8,22,15.2,5,47.4,72.9,35,0.569,65,0.492,32,0.308,20,0.6,12,0,200,113.2,20.6,7,8,86,13.2,10,0.4,26,0.385,10,51.2,42,0.577,10.9,9,39,0.564,22,1.0,1
2019-11-08,"Galen Center, Los Angeles, California",Portland,USC,Home,52.2,12,7.3,3,110.1,52.9,18,0.527,56,0.411,23,0.161,9,0.667,6,1,200,94.2,25.0,8,12,65,15.9,11,0.5,28,0.464,13,39.4,26,0.539,21.1,16,28,0.357,10,0.5,1
2019-11-10,"San Jose State Event Center, San Jose, California",Portland,San Jose State,Away,73.1,19,6.3,2,79.2,80.6,25,0.565,54,0.481,26,0.278,15,0.733,11,1,200,100.0,11.1,3,18,72,8.3,6,0.37,20,0.45,9,48.3,28,0.589,18.8,14,34,0.5,17,0.667,2
2019-11-16,"Chiles Center, Portland, Oregon",Maine,Portland,Home,60.7,17,5.1,2,92.5,78.6,22,0.578,51,0.549,28,0.314,16,0.75,12,1,200,106.0,16.7,4,14,71,9.0,6,0.235,12,0.25,3,50.0,26,0.606,15.9,11,39,0.641,25,0.75,3
2019-11-20,"Peter W. Stott Center, Portland, Oregon",Portland,Portland State,Away,75.0,21,8.3,4,96.2,60.0,21,0.594,53,0.528,28,0.566,30,0.633,19,1,200,105.1,8.3,2,19,82,5.1,4,0.302,16,0.438,7,39.0,23,0.61,17.5,14,37,0.568,21,0.8,4
2019-11-23,"Chiles Center, Portland, Oregon",UC-Davis,Portland,Home,80.8,21,12.8,5,95.4,67.6,23,0.604,53,0.491,26,0.245,13,0.615,8,1,200,110.8,15.4,4,16,72,4.6,3,0.377,20,0.6,12,45.0,27,0.608,14.6,10,33,0.424,14,0.833,5
2019-12-01,"Chiles Center, Portland, Oregon",Incarnate Word,Portland,Home,57.1,12,23.7,9,91.8,57.6,19,0.568,44,0.477,21,0.477,21,0.714,15,1,200,106.6,25.0,5,14,65,4.9,3,0.386,17,0.471,8,45.3,24,0.602,18.4,12,27,0.481,13,0.857,6
2019-12-04,"Chiles Center, Portland, Oregon",Cal State Northridge,Portland,Away,84.2,16,13.5,5,92.2,73.2,30,0.371,58,0.328,19,0.517,30,0.7,21,2,200,83.1,18.9,7,21,64,6.5,5,0.431,25,0.2,5,47.4,37,0.443,16.4,14,33,0.424,14,0.75,6
2019-12-07,"ShoWare Center, Kent, Washington",Portland,Seattle,Home,37.5,9,4.7,2,100.0,70.3,26,0.539,51,0.471,24,0.549,28,0.571,16,3,200,97.3,12.5,4,24,71,5.5,4,0.373,19,0.368,7,43.5,30,0.552,15.9,12,32,0.531,17,0.667,6
2019-12-13,"Chiles Center, Portland, Oregon","Evergreen State
			",Portland,Home,64.5,20,8.0,2,72.4,85.0,34,0.5,68,0.456,31,0.206,14,0.643,9,3,200,101.3,40.0,14,8,77,10.5,8,0.368,25,0.24,6,64.0,48,0.516,16.8,15,43,0.581,25,0.7,7
2019-12-16,"Chiles Center, Portland, Oregon",Florida A&M,Portland,Home,61.9,13,16.4,9,82.2,77.1,27,0.554,46,0.457,21,0.63,29,0.517,15,3,200,90.4,12.5,4,12,66,8.2,6,0.413,19,0.474,9,46.3,31,0.552,20.3,15,27,0.444,12,0.727,8
2019-12-19,"Chiles Center, Portland, Oregon",Jackson State,Portland,Away,55.6,10,10.4,5,98.6,75.0,24,0.467,46,0.391,18,0.609,28,0.714,20,4,200,85.1,18.5,5,19,63,6.8,5,0.304,14,0.5,7,49.2,29,0.531,25.5,20,32,0.344,11,0.667,8
2019-12-22,"Stan Sheriff Center, Honolulu, Hawaii",Houston,Portland,Away,64.7,11,9.5,4,115.7,59.4,19,0.418,49,0.347,17,0.429,21,0.714,15,5,200,80.0,13.8,4,16,56,7.1,5,0.49,24,0.292,7,37.7,23,0.475,20.5,15,25,0.4,10,0.615,8
2019-12-23,"Stan Sheriff Center, Honolulu, Hawaii",Portland,Boise State,Home,38.5,10,0.0,0,121.4,67.9,19,0.518,56,0.464,26,0.286,16,0.688,11,6,200,98.6,10.0,3,21,69,4.3,3,0.321,18,0.333,6,37.9,22,0.542,13.7,10,38,0.526,20,0.571,8
2019-12-25,"Stan Sheriff Center, Honolulu, Hawaii",Portland,Ball State,Home,42.1,8,12.0,3,88.4,66.7,24,0.377,53,0.358,19,0.132,7,0.857,6,7,200,66.7,22.6,7,11,46,11.6,8,0.321,17,0.118,2,46.3,31,0.408,23.3,17,36,0.472,17,0.533,8
2020-01-02,"Chiles Center, Portland, Oregon",Gonzaga,Portland,Away,51.7,15,12.5,5,125.0,64.9,24,0.589,56,0.518,29,0.179,10,0.6,6,8,200,105.9,16.7,4,18,72,5.9,4,0.232,13,0.615,8,45.9,28,0.593,16.6,12,43,0.488,21,0.5,8
2020-01-04,"Chiles Center, Portland, Oregon",San Francisco,Portland,Home,60.0,15,16.1,5,92.9,65.6,21,0.559,51,0.49,25,0.471,24,0.792,19,8,200,108.6,25.0,7,15,76,14.3,10,0.255,13,0.538,7,46.7,28,0.609,17.4,13,38,0.474,18,0.529,9
2020-01-11,"Marriott Center, Provo, Utah",Portland,BYU,Home,55.6,15,14.6,6,133.3,72.7,24,0.475,61,0.443,27,0.246,15,0.8,12,9,200,97.2,20.6,7,13,70,1.4,1,0.279,17,0.235,4,46.3,31,0.514,14.0,11,44,0.523,23,0.5,9
2020-01-16,"Chiles Center, Portland, Oregon",Pacific,Portland,Away,29.4,5,5.9,2,89.0,80.0,24,0.343,51,0.333,17,0.569,29,0.69,20,10,200,75.3,18.2,6,25,55,8.2,6,0.098,5,0.2,1,47.6,30,0.425,20.1,16,46,0.348,16,0.474,9
2020-01-18,"Chiles Center, Portland, Oregon",San Diego,Portland,Away,32.1,9,5.7,2,104.1,66.7,22,0.477,64,0.438,28,0.219,14,0.429,6,11,200,90.5,31.4,11,22,67,6.8,5,0.25,16,0.313,5,48.5,33,0.474,17.6,15,48,0.479,23,0.45,9
2020-01-23,"Albert Gersten Pavilion, Los Angeles, California",Portland,Loyola Marymount,Home,65.0,13,8.7,2,111.6,69.2,18,0.432,59,0.339,20,0.305,18,0.778,14,12,200,94.2,11.1,4,16,65,14.5,10,0.627,37,0.297,11,35.5,22,0.481,8.2,6,22,0.409,9,0.429,9
2020-01-25,"Firestone Fieldhouse, Malibu, California",Portland,Pepperdine,Home,66.7,18,5.9,2,105.3,70.0,28,0.517,59,0.458,27,0.203,12,0.667,8,13,200,90.8,9.1,3,17,69,5.3,4,0.407,24,0.292,7,42.5,31,0.533,18.9,15,35,0.571,20,0.409,9
2020-01-30,"McKeon Pavilion, Moraga, California",Portland,Saint Mary's,Home,44.0,11,20.0,4,126.5,89.7,26,0.529,52,0.481,25,0.288,15,0.6,9,14,200,94.1,15.4,4,11,64,1.5,1,0.346,18,0.278,5,54.5,30,0.541,18.2,13,34,0.588,20,0.391,9
