date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-14,"Rose Arena, Mount Pleasant, Michigan",Princeton,Central Michigan,Away,33.3,8,12.9,4,119.3,62.1,19,0.683,41,0.585,24,0.512,21,0.714,15,0,200.0,124.6,43.8,6,16,71,7.0,4,0.341,14.0,0.571,8.0,55.6,25,0.696,21.8,14,27.0,0.593,16.0,1.0,1
2009-11-18,"Jadwin Gymnasium, Princeton, New Jersey",Manhattan,Princeton,Home,47.4,9,6.9,2,85.7,81.5,24,0.438,48,0.396,19,0.5,24,0.792,19,0,200.0,96.8,29.0,7,19,61,11.1,7,0.271,13.0,0.308,4.0,53.4,31,0.513,18.2,13,35.0,0.429,15.0,1.0,2
2009-11-24,"Charles E. Smith Center, Washington, District of Columbia",Princeton,George Washington,Home,50.0,9,15.6,5,100.0,58.3,14,0.394,52,0.346,18,0.231,12,0.75,9,2,200.0,76.9,17.2,5,15,50,18.5,12,0.5,26.0,0.192,5.0,35.8,19,0.433,17.3,11,26.0,0.5,13.0,0.5,2
2009-11-29,"Haas Pavilion, Berkeley, California",Princeton,California,Home,66.7,14,4.8,2,119.1,61.5,17,0.49,50,0.42,21,0.26,13,0.846,11,3,200.0,88.2,7.7,1,15,60,7.4,5,0.3,15.0,0.467,7.0,34.6,18,0.534,18.9,13,35.0,0.4,14.0,0.4,2
2009-12-03,"Louis Brown Athletic Center, New Brunswick, New Jersey",Princeton,Rutgers,Home,53.3,8,11.4,4,98.3,51.9,16,0.346,52,0.288,15,0.212,11,0.727,8,4,200.0,74.6,32.4,9,19,44,11.9,7,0.385,20.0,0.3,6.0,41.0,25,0.384,18.6,11,32.0,0.281,9.0,0.333,2
2009-12-06,"Jadwin Gymnasium, Princeton, New Jersey",Lafayette,Princeton,Home,45.5,10,8.6,3,81.4,80.6,25,0.609,46,0.478,22,0.196,9,0.667,6,4,200.0,105.1,29.2,7,14,62,11.9,7,0.5,23.0,0.522,12.0,58.2,32,0.617,25.4,16,23.0,0.435,10.0,0.429,3
2009-12-13,"Fleming Gymnasium, Greensboro, North Carolina",Princeton,UNC Greensboro,Away,76.0,19,2.5,1,83.3,60.6,21,0.54,50,0.5,25,0.26,13,0.846,11,4,200.0,108.3,26.3,4,16,65,15.0,9,0.38,19.0,0.211,4.0,48.1,25,0.579,13.9,8,31.0,0.677,21.0,0.5,4
2009-12-16,"Jadwin Gymnasium, Princeton, New Jersey",Monmouth,Princeton,Home,50.0,7,14.7,5,70.0,57.1,20,0.348,46,0.304,14,0.457,21,0.667,14,4,200.0,76.7,46.7,10,15,46,20.0,12,0.457,21.0,0.19,4.0,51.7,30,0.411,23.5,15,25.0,0.4,10.0,0.556,5
2009-12-30,"Jadwin Gymnasium, Princeton, New Jersey",Wagner,Princeton,Home,47.1,8,17.2,5,68.9,61.9,14,0.39,50,0.34,17,0.16,8,0.75,6,4,200.0,73.8,35.7,9,14,45,23.0,14,0.54,27.0,0.185,5.0,46.9,23,0.418,24.1,17,23.0,0.522,12.0,0.6,6
2010-01-02,"Hagan Arena, Philadelphia, Pennsylvania",Princeton,St. Joseph's,Away,62.5,15,7.3,3,91.2,78.9,31,0.559,51,0.471,24,0.431,22,0.591,13,4,200.0,102.9,32.3,9,20,70,7.4,5,0.333,17.0,0.529,9.0,58.0,40,0.57,19.8,15,34.0,0.441,15.0,0.636,7
