date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Thomas & Mack Center, Las Vegas, Nevada",Purdue-Fort Wayne,UNLV,Home,42.9,12,11.4,4,117.8,64.0,16,0.534,58,0.483,28,0.224,13,0.692,9,1,200,97.3,6.3,2,21,71,13.7,10,0.379,22,0.273,6,31.6,18,0.553,14.7,11,36,0.611,22,0.0,0
2019-11-07,"Allen County War Memorial Coliseum, Fort Wayne, Indiana","Manchester
			",Purdue-Fort Wayne,Home,38.2,13,0.0,0,95.2,91.7,33,0.583,66,0.515,34,0.273,18,0.778,14,1,200,108.3,31.0,9,15,91,15.5,13,0.424,28,0.321,9,64.6,42,0.61,20.4,19,38,0.658,25,0.5,1
2019-11-10,"Show Me Center, Cape Girardeau, Missouri",Purdue-Fort Wayne,Southeast Missouri State,Home,57.7,15,0.0,0,105.3,81.3,26,0.484,64,0.406,26,0.344,22,0.727,16,2,200,104.0,33.3,13,26,78,2.7,2,0.484,31,0.323,10,54.9,39,0.524,16.9,15,33,0.485,16,0.333,1
2019-11-13,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",Miami (OH),Purdue-Fort Wayne,Away,50.0,13,2.6,1,112.0,71.9,23,0.608,51,0.51,26,0.471,24,0.75,18,3,200,106.7,26.9,7,18,80,5.3,4,0.451,23,0.435,10,51.7,30,0.641,23.6,19,28,0.571,16,0.25,1
2019-11-16,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",Stetson,Purdue-Fort Wayne,Home,71.4,20,5.6,2,84.6,73.3,22,0.61,59,0.475,28,0.22,13,0.538,7,3,200,121.5,36.7,11,10,79,13.8,9,0.593,35,0.457,16,55.0,33,0.606,15.6,12,24,0.5,12,0.4,2
2019-11-19,"Memorial Athletic & Convocation Center, Kent, Ohio",Purdue-Fort Wayne,Kent State,Home,57.7,15,11.4,4,101.4,75.7,28,0.508,60,0.433,26,0.15,9,0.778,7,4,200,91.9,16.1,5,19,68,5.4,4,0.333,20,0.45,9,48.5,33,0.529,19.0,15,40,0.425,17,0.333,2
2019-11-22,"Value City Arena, Columbus, Ohio",Purdue-Fort Wayne,Ohio State,Home,58.8,10,3.6,1,126.9,63.0,17,0.389,54,0.315,17,0.111,6,0.667,4,5,200,68.7,20.0,7,15,46,3.0,2,0.389,21,0.381,8,38.7,24,0.405,24.1,18,33,0.273,9,0.286,2
2019-11-24,"Hilliard Gates Sports Center, Fort Wayne, Indiana","Ohio Northern
			",Purdue-Fort Wayne,Home,48.4,15,12.9,4,69.1,74.3,26,0.574,61,0.508,31,0.23,14,0.786,11,5,200,119.1,25.8,8,9,81,16.2,11,0.41,25,0.32,8,51.5,34,0.599,10.6,8,36,0.639,23,0.375,3
2019-11-27,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",Niagara,Purdue-Fort Wayne,Home,50.0,16,13.9,5,77.1,83.3,25,0.597,62,0.516,32,0.113,7,0.429,3,5,200,110.0,30.8,8,12,77,14.3,10,0.5,31,0.323,10,58.9,33,0.589,16.6,13,31,0.71,22,0.444,4
2019-11-30,"Grand Canyon University Arena, Phoenix, Arizona",Purdue-Fort Wayne,Grand Canyon,Away,40.7,11,12.1,4,96.8,71.9,23,0.622,49,0.551,27,0.327,16,0.625,10,5,200,114.5,23.8,5,18,71,11.3,7,0.469,23,0.304,7,52.8,28,0.627,16.4,11,26,0.769,20,0.5,5
