date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Mackey Arena, West Lafayette, Indiana",CAL-STATE-NORTHRIDGE,PURDUE,Home,80.0,24,17.1,6,78.0,63.9,25,0.523,66,0.455,30,0.455,30,0.667,20,0,200.0,108.5,28.9,9,31,89,9.8,8,0.364,24.0,0.375,9.0,45.9,34,0.555,15.0,13,42.0,0.5,21.0,1.0,1
2009-11-20,"Virgin Islands Sport & Fitness Center , St. Thomas",PURDUE,SOUTH-DAKOTA-STATE,Away,46.7,14,19.4,7,85.1,69.0,22,0.477,65,0.462,30,0.323,21,0.571,12,0,200.0,100.0,35.3,10,23,74,6.8,5,0.215,14.0,0.143,2.0,50.8,32,0.493,14.9,13,51.0,0.549,28.0,1.0,2
2009-11-22,"Virgin Islands Sport & Fitness Center , St. Thomas",PURDUE,SAINT-JOSEPHS,Away,70.0,21,8.8,3,76.9,82.1,24,0.479,71,0.423,30,0.282,20,0.85,17,0,200.0,109.0,31.4,10,22,85,14.1,11,0.338,24.0,0.333,8.0,54.0,34,0.528,10.1,9,47.0,0.468,22.0,1.0,3
2009-11-23,"Virgin Islands Sport & Fitness Center , St. Thomas",PURDUE,TENNESSEE,Away,48.0,12,11.9,5,98.6,72.4,22,0.482,56,0.446,25,0.464,26,0.731,19,0,200.0,100.0,32.1,8,25,73,8.2,6,0.286,16.0,0.25,4.0,52.6,30,0.534,16.2,12,40.0,0.525,21.0,1.0,4
2009-11-28,"Mackey Arena, West Lafayette, Indiana",CENTRAL-MICHIGAN,PURDUE,Home,45.0,9,14.7,5,67.9,58.1,19,0.511,44,0.455,20,0.455,20,0.95,19,0,200.0,114.3,59.1,12,17,64,8.9,5,0.364,16.0,0.313,5.0,58.5,31,0.598,24.4,17,28.0,0.536,15.0,1.0,5
2009-12-01,"Mackey Arena, West Lafayette, Indiana",WAKE-FOREST,PURDUE,Home,54.5,12,11.4,5,76.3,75.0,25,0.352,64,0.344,22,0.484,31,0.774,24,0,200.0,90.8,33.3,12,23,69,18.4,14,0.234,15.0,0.067,1.0,52.1,37,0.438,10.4,9,49.0,0.429,21.0,1.0,6
2009-12-05,"Mackey Arena, West Lafayette, Indiana",BUFFALO,PURDUE,Home,61.1,22,13.7,7,81.3,60.0,27,0.609,69,0.522,36,0.319,22,0.773,17,0,200.0,126.3,46.4,10,18,101,12.5,10,0.348,24.0,0.5,12.0,54.4,37,0.636,15.1,12,45.0,0.533,24.0,1.0,7
2009-12-09,"Mackey Arena, West Lafayette, Indiana",VALPARAISO,PURDUE,Home,69.0,20,14.8,4,92.5,66.7,16,0.618,55,0.527,29,0.418,23,0.783,18,0,200.0,128.4,34.5,10,16,86,14.9,10,0.4,22.0,0.455,10.0,49.1,26,0.652,14.5,11,33.0,0.576,19.0,1.0,8
2009-12-12,"Coleman Coliseum , Tuscaloosa, Alabama",PURDUE,ALABAMA,Away,36.0,9,4.3,2,95.6,58.8,22,0.519,54,0.463,25,0.389,21,0.81,17,0,200.0,107.4,46.7,12,19,73,7.4,5,0.352,19.0,0.316,6.0,53.1,34,0.571,21.2,17,35.0,0.543,19.0,1.0,9
2009-12-19,"Conseco Fieldhouse, Indianapolis, Indiana",PURDUE,BALL-STATE,Away,56.0,14,17.1,7,79.0,52.4,19,0.435,62,0.403,25,0.323,20,0.75,15,0,200.0,111.3,48.6,9,21,69,12.9,8,0.371,23.0,0.174,4.0,50.0,28,0.483,11.3,9,39.0,0.538,21.0,1.0,10
2009-12-22,"Mackey Arena, West Lafayette, Indiana","SIU-Edwardsville
			",PURDUE,Home,56.8,21,27.0,10,91.3,74.1,21,0.5,81,0.457,37,0.173,14,0.643,9,0,200.0,130.4,60.5,22,12,90,14.5,10,0.296,24.0,0.292,7.0,66.2,43,0.513,6.4,6,57.0,0.526,30.0,1.0,11
2009-12-29,"Carver-Hawkeye Arena, Iowa City, Iowa",PURDUE,IOWA,Away,42.3,11,11.4,4,93.3,64.5,21,0.528,53,0.491,26,0.34,18,0.611,11,0,200.0,111.7,36.0,8,17,67,15.0,9,0.208,11.0,0.364,4.0,51.8,29,0.544,10.3,7,42.0,0.524,22.0,1.0,12
2010-01-01,"Mackey Arena, West Lafayette, Indiana",WEST-VIRGINIA,PURDUE,Home,39.3,11,5.6,2,100.0,58.3,16,0.536,56,0.5,28,0.411,23,0.739,17,0,200.0,124.2,39.3,9,18,77,14.5,9,0.214,12.0,0.333,4.0,48.1,25,0.575,9.6,7,44.0,0.545,24.0,1.0,13
2010-01-05,"Mackey Arena, West Lafayette, Indiana",MINNESOTA,PURDUE,Home,52.2,12,19.6,9,84.5,58.7,28,0.591,44,0.523,23,0.818,36,0.75,27,0,200.0,111.3,27.3,5,21,79,12.7,9,0.386,17.0,0.353,6.0,48.5,33,0.646,22.1,17,27.0,0.63,17.0,1.0,14
2010-01-09,"Kohl Center, Madison, Wisconsin",PURDUE,WISCONSIN,Home,44.0,11,8.1,3,107.4,71.4,27,0.5,53,0.472,25,0.453,24,0.542,13,1,200.0,97.1,16.7,3,25,66,4.4,3,0.189,10.0,0.3,3.0,46.2,30,0.512,13.6,10,43.0,0.512,22.0,0.933,14
2010-01-12,"Mackey Arena, West Lafayette, Indiana",OHIO-STATE,PURDUE,Away,62.5,15,7.9,3,107.7,64.0,16,0.518,56,0.429,24,0.214,12,0.667,8,2,200.0,101.5,31.3,10,14,66,10.8,7,0.482,27.0,0.37,10.0,45.6,26,0.535,18.6,14,29.0,0.483,14.0,0.875,14
2010-01-16,"Welsh-Ryan Arena, Evanston, Illinois",PURDUE,NORTHWESTERN,Home,52.4,11,17.1,6,110.8,47.8,12,0.392,60,0.35,21,0.317,19,0.895,17,3,200.0,98.5,32.1,8,25,64,9.2,6,0.383,23.0,0.217,5.0,39.2,20,0.464,8.1,6,37.0,0.432,16.0,0.824,14
2010-01-19,"Assembly Hall, Champaign, Illinois",PURDUE,ILLINOIS,Away,44.4,12,6.3,3,104.0,57.5,25,0.509,56,0.482,27,0.607,34,0.794,27,3,200.0,112.0,48.0,10,22,84,5.3,4,0.286,16.0,0.188,3.0,53.8,35,0.582,16.5,14,40.0,0.6,24.0,0.833,15
2010-01-23,"Mackey Arena, West Lafayette, Indiana",MICHIGAN,PURDUE,Home,76.0,19,6.1,2,95.2,72.4,22,0.54,50,0.5,25,0.4,20,0.75,15,3,200.0,111.3,36.0,8,15,69,14.5,9,0.26,13.0,0.308,4.0,55.6,30,0.58,15.8,11,37.0,0.568,21.0,0.842,16
2010-01-28,"Mackey Arena, West Lafayette, Indiana",WISCONSIN,PURDUE,Home,45.8,11,11.1,3,98.3,76.7,23,0.51,49,0.49,24,0.306,15,0.667,10,3,200.0,103.4,45.8,11,16,60,8.6,5,0.102,5.0,0.4,2.0,63.0,34,0.535,19.0,13,44.0,0.5,22.0,0.85,17
