date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Donald N. Dedmon Center, Radford, Virginia",NAVY,RADFORD,Home,42.9,12,9.8,4,82.3,66.0,34,0.492,59,0.475,28,0.559,33,0.545,18,0,200.0,96.2,34.1,13,16,76,8.9,7,0.22,13.0,0.154,2.0,51.6,47,0.509,19.7,17,46.0,0.565,26.0,1.0,1
2009-11-21,"Cameron Indoor Stadium, Durham, North Carolina",RADFORD,DUKE,Home,44.0,11,10.0,4,142.5,50.0,20,0.41,67,0.373,25,0.269,18,0.667,12,1,200.0,91.8,40.5,13,17,67,5.5,4,0.209,14.0,0.357,5.0,44.6,33,0.443,17.6,16,53.0,0.377,20.0,0.667,2
2009-12-03,"Winthrop Coliseum, Rock Hill, South Carolina",RADFORD,WINTHROP,Away,55.6,10,9.8,5,74.7,68.8,35,0.377,53,0.34,18,0.642,34,0.618,21,2,225.0,77.2,23.1,7,14,61,12.7,10,0.283,15.0,0.267,4.0,48.3,42,0.441,20.0,17,38.0,0.368,14.0,0.6,3
2009-12-09,"Allen Fieldhouse, Lawrence, Kansas",RADFORD,KANSAS,Home,72.7,16,5.6,3,139.4,46.9,17,0.442,52,0.423,22,0.5,26,0.692,18,3,200.0,90.1,30.0,7,20,64,5.6,4,0.173,9.0,0.222,2.0,38.7,24,0.497,18.1,14,43.0,0.465,20.0,0.571,4
2009-12-22,"Donald N. Dedmon Center, Radford, Virginia",WILLIAM-MARY,RADFORD,Away,66.7,18,5.3,1,114.8,82.4,29,0.508,60,0.45,27,0.233,14,0.5,7,4,200.0,111.5,36.8,13,14,68,3.3,2,0.267,16.0,0.438,7.0,58.3,42,0.51,12.0,9,44.0,0.455,20.0,0.556,5
2009-12-27,"Freedom Hall, Louisville, Kentucky",RADFORD,LOUISVILLE,Home,57.9,11,4.3,2,117.9,43.9,19,0.394,52,0.365,19,0.385,20,0.6,12,5,200.0,79.1,37.5,11,15,53,4.5,3,0.231,12.0,0.25,3.0,41.1,30,0.431,21.9,17,40.0,0.4,16.0,0.5,5
2009-12-30,"Donald N. Dedmon Center, Radford, Virginia",GEORGE-MASON,RADFORD,Home,58.6,17,16.3,8,72.6,74.5,35,0.527,55,0.527,29,0.509,28,0.786,22,5,200.0,109.6,40.0,10,16,80,11.0,8,0.164,9.0,0.0,0.0,62.5,45,0.586,17.2,14,46.0,0.63,29.0,0.545,6
2010-01-02,"Donald N. Dedmon Center, Radford, Virginia",NORTH-CAROLINA-ASHEVILLE,RADFORD,Home,74.2,23,6.0,3,98.7,62.5,25,0.644,52,0.596,31,0.577,30,0.5,15,5,200.0,109.3,32.0,8,21,82,6.7,5,0.25,13.0,0.385,5.0,50.8,33,0.619,22.6,19,39.0,0.667,26.0,0.583,7
2010-01-23,"Donald N. Dedmon Center, Radford, Virginia",LIBERTY,RADFORD,Away,55.0,11,2.6,1,93.8,88.0,24,0.336,61,0.328,20,0.393,24,0.583,14,8,200.0,85.9,45.0,16,14,55,7.8,5,0.361,22.0,0.045,1.0,61.5,40,0.38,13.3,11,39.0,0.487,19.0,0.556,10
2010-01-25,"JMU Convocation Center, Harrisonburg, Virginia",RADFORD,JAMES-MADISON,Home,63.0,17,4.8,2,88.2,70.7,29,0.45,70,0.386,27,0.029,2,0.0,0,9,200.0,82.9,23.1,9,16,63,6.6,5,0.343,24.0,0.375,9.0,47.5,38,0.444,16.5,14,46.0,0.391,18.0,0.526,10
2010-01-31,"Charlie Justice Center, Asheville, North Carolina",RADFORD,NORTH-CAROLINA-ASHEVILLE,Home,66.7,20,9.4,3,119.5,76.9,22,0.453,75,0.4,30,0.347,26,0.615,16,10,200.0,109.1,42.9,19,24,84,7.8,6,0.333,25.0,0.32,8.0,54.7,41,0.481,12.2,12,50.0,0.44,22.0,0.524,11
2010-02-16,"Vines Center, Lynchburg, Virginia",RADFORD,LIBERTY,Away,88.5,23,2.8,1,95.8,80.6,29,0.55,50,0.52,26,0.64,32,0.594,19,11,200.0,102.8,26.7,8,20,74,2.8,2,0.26,13.0,0.231,3.0,56.1,37,0.567,17.9,14,37.0,0.622,23.0,0.577,15
2010-02-20,"Donald N. Dedmon Center, Radford, Virginia",NORTH-CAROLINA-WILMINGTON,RADFORD,Home,59.3,16,13.9,5,101.5,53.1,27,0.635,48,0.563,27,0.604,29,0.517,15,11,200.0,113.4,59.1,12,13,76,3.0,2,0.208,10.0,0.7,7.0,54.9,39,0.615,23.8,19,38.0,0.526,20.0,0.593,16
2010-02-27,"Donald N. Dedmon Center, Radford, Virginia",WINTHROP,RADFORD,Home,61.9,13,2.3,1,85.2,75.0,27,0.4,55,0.382,21,0.327,18,0.556,10,11,200.0,88.5,36.1,13,9,54,9.8,6,0.236,13.0,0.154,2.0,55.6,40,0.425,14.9,11,42.0,0.452,19.0,0.621,18
2010-03-04,"Kimbel Arena, Conway, South Carolina",WINTHROP,RADFORD,Away,60.0,9,4.7,2,93.8,71.9,26,0.267,60,0.25,15,0.35,21,0.667,14,12,200.0,70.8,46.7,18,17,46,6.2,4,0.3,18.0,0.111,2.0,57.1,44,0.329,18.8,15,42.0,0.31,13.0,0.613,19
2010-11-19,"The Colonial Life Arena, Columbia, South Carolina",RADFORD,SOUTH-CAROLINA,Home,68.4,13,5.3,2,111.8,51.3,20,0.384,56,0.339,19,0.393,22,0.591,13,1,200.0,73.7,25.6,10,22,56,7.9,6,0.268,15.0,0.333,5.0,38.5,30,0.421,23.3,20,41.0,0.341,14.0,0.667,2
2010-11-24,"Patriot Center, Fairfax, Virginia",RADFORD,GEORGE-MASON,Home,50.0,10,6.9,2,115.7,76.0,19,0.434,53,0.377,20,0.264,14,0.643,9,2,200.0,78.6,13.3,4,12,55,14.3,10,0.415,22.0,0.273,6.0,41.8,23,0.461,20.2,15,31.0,0.452,14.0,0.5,2
2010-11-27,"Dale F. Halton Arena, Charlotte, North Carolina",RADFORD,CHARLOTTE,Home,57.9,11,5.9,2,115.9,69.2,18,0.384,56,0.339,19,0.196,11,0.818,9,3,200.0,82.5,17.1,6,16,52,6.3,4,0.357,20.0,0.25,5.0,39.3,24,0.425,14.1,10,36.0,0.389,14.0,0.4,2
2010-12-02,"Donald N. Dedmon Center, Radford, Virginia",NORTH-CAROLINA-ASHEVILLE,RADFORD,Away,71.4,10,7.5,3,97.2,69.7,23,0.353,51,0.275,14,0.471,24,0.583,14,4,200.0,69.4,25.0,10,30,50,11.1,8,0.294,15.0,0.533,8.0,45.2,33,0.401,23.6,19,36.0,0.167,6.0,0.333,2
2010-12-04,"Donald N. Dedmon Center, Radford, Virginia",GARDNER-WEBB,RADFORD,Away,61.9,13,5.7,2,95.2,69.7,23,0.449,49,0.429,21,0.367,18,0.444,8,5,200.0,83.9,38.7,12,19,52,4.8,3,0.245,12.0,0.167,2.0,54.7,35,0.452,23.0,17,37.0,0.514,19.0,0.286,2
