date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Robins Center, Richmond, Virginia",Lehigh,Richmond,Home,50.0,11,19.4,7,70.7,73.0,28,0.404,57,0.386,22,0.439,25,0.76,19,0,200.0,86.7,22.2,7,17,65,18.7,14,0.281,16.0,0.125,2.0,47.9,35,0.472,16.0,13,41.0,0.488,20.0,1.0,1
2009-11-16,"Robins Center, Richmond, Virginia",VMI,Richmond,Home,75.6,31,11.5,3,73.8,73.3,35,0.677,65,0.631,41,0.385,25,0.6,15,0,200.0,128.8,44.4,10,17,103,15.0,12,0.292,19.0,0.316,6.0,62.5,45,0.67,17.4,16,46.0,0.761,35.0,1.0,2
2009-11-19,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",Richmond,William & Mary,Home,37.0,10,13.8,4,118.2,71.4,21,0.508,64,0.422,27,0.125,8,0.75,6,1,200.0,107.6,31.4,10,20,71,12.1,8,0.484,31.0,0.355,11.0,49.2,31,0.524,12.9,10,33.0,0.485,16.0,0.667,2
2009-11-22,"Robins Center, Richmond, Virginia",Chattanooga,Richmond,Home,58.6,17,6.3,2,70.0,79.3,24,0.446,74,0.392,29,0.149,11,0.818,9,1,200.0,107.1,42.2,18,17,75,15.7,11,0.351,26.0,0.308,8.0,56.8,42,0.473,11.3,10,48.0,0.438,21.0,0.75,3
2009-11-24,"Robins Center, Richmond, Virginia",Longwood,Richmond,Home,50.0,11,20.0,9,76.5,62.5,25,0.459,49,0.449,22,0.551,27,0.741,20,1,200.0,95.6,40.7,11,15,65,13.2,9,0.204,10.0,0.1,1.0,53.7,36,0.526,20.8,16,39.0,0.538,21.0,0.8,4
2009-11-27,"South Padre Island Convention Centre, South Padre Island, Texas",Richmond,Mississippi State,Away,72.7,16,3.4,1,105.1,44.4,16,0.591,44,0.5,22,0.318,14,0.786,11,1,200.0,106.8,17.4,4,22,63,8.5,5,0.432,19.0,0.421,8.0,33.9,20,0.622,20.6,10,25.0,0.56,14.0,0.833,5
2009-11-28,"South Padre Island Convention Centre, South Padre Island, Texas",Richmond,Missouri,Away,73.7,14,5.3,2,85.2,62.5,21,0.447,47,0.404,19,0.468,22,0.773,17,1,200.0,96.7,36.0,8,21,59,8.2,5,0.255,12.0,0.333,4.0,50.9,29,0.513,19.8,12,35.0,0.429,15.0,0.857,6
2009-12-02,"Robins Center, Richmond, Virginia",Old Dominion,Richmond,Home,63.2,12,14.3,5,95.2,65.0,26,0.563,40,0.475,19,0.6,24,0.917,22,1,200.0,106.3,16.7,3,19,67,9.5,6,0.35,14.0,0.5,7.0,50.0,29,0.652,22.9,15,26.0,0.462,12.0,0.875,7
2009-12-12,"Alltel Pavilion at the Stuart C. Siegel Center, Richmond, Virginia",Richmond,VCU,Home,37.5,9,9.7,3,103.2,60.9,17,0.449,59,0.407,24,0.136,8,0.5,4,2,200.0,90.5,31.4,8,20,57,6.3,4,0.254,15.0,0.333,5.0,43.1,25,0.454,16.1,12,44.0,0.432,19.0,0.778,7
2009-12-16,"The Colonial Life Arena, Columbia, South Carolina",Richmond,South Carolina,Home,30.4,7,8.0,4,118.8,38.5,18,0.44,58,0.397,23,0.172,10,0.7,7,3,200.0,90.6,51.6,13,15,58,12.5,8,0.241,14.0,0.357,5.0,44.3,31,0.462,20.4,16,44.0,0.409,18.0,0.7,7
2009-12-19,"BankAtlantic Center, Sunrise, Florida",Richmond,Florida,Away,66.7,14,2.5,1,86.9,63.6,24,0.445,55,0.382,21,0.218,12,0.583,7,3,200.0,91.8,22.9,5,16,56,14.8,9,0.345,19.0,0.368,7.0,42.6,29,0.461,11.7,8,36.0,0.389,14.0,0.727,8
2009-12-22,"Robins Center, Richmond, Virginia",UNC Greensboro,Richmond,Home,51.6,16,23.8,10,88.7,62.9,22,0.652,56,0.554,31,0.411,23,0.696,16,3,200.0,125.4,32.0,8,14,89,21.1,15,0.393,22.0,0.5,11.0,50.0,30,0.665,15.4,12,34.0,0.588,20.0,0.75,9
2009-12-28,"Robins Center, Richmond, Virginia",UNC Wilmington,Richmond,Home,47.6,10,18.9,7,97.0,41.2,15,0.402,56,0.375,21,0.554,31,0.677,21,3,200.0,100.0,30.6,10,18,66,16.7,11,0.321,18.0,0.167,3.0,35.7,25,0.467,10.3,8,38.0,0.474,18.0,0.769,10
2009-12-31,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",Richmond,Wake Forest,Home,41.7,10,10.3,4,98.7,60.0,24,0.458,59,0.407,24,0.356,21,0.667,14,4,225.0,90.7,18.4,7,29,68,12.0,9,0.407,24.0,0.25,6.0,39.7,31,0.493,17.0,14,35.0,0.514,18.0,0.714,10
2010-01-02,"Sojka Pavilion, Lewisburg, Pennsylvania",Richmond,Bucknell,Away,42.9,9,7.1,2,76.9,68.8,23,0.455,55,0.382,21,0.273,15,0.6,9,4,200.0,90.8,25.0,7,14,59,13.8,9,0.364,20.0,0.4,8.0,46.9,30,0.475,14.0,10,35.0,0.371,13.0,0.733,11
2010-01-06,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",Richmond,Duquesne,Away,59.3,16,17.0,8,100.0,59.5,26,0.609,55,0.491,27,0.382,21,0.619,13,4,200.0,117.6,35.7,9,19,80,2.9,2,0.473,26.0,0.5,13.0,50.0,35,0.616,15.7,12,29.0,0.483,14.0,0.75,12
2010-01-09,"Chaifetz Arena, St. Louis, Missouri",Richmond,Saint Louis,Home,47.8,11,11.1,3,106.8,75.0,21,0.464,55,0.418,23,0.255,14,0.5,7,5,200.0,98.3,45.2,8,19,58,8.5,5,0.345,19.0,0.263,5.0,56.9,29,0.47,14.1,10,36.0,0.5,18.0,0.706,12
2010-01-13,"Robins Center, Richmond, Virginia",UMass,Richmond,Home,47.8,11,39.5,17,92.6,54.1,22,0.419,62,0.371,23,0.419,26,0.692,18,5,225.0,102.9,44.7,15,11,70,13.2,9,0.468,29.0,0.207,6.0,49.3,37,0.471,13.0,10,33.0,0.515,17.0,0.722,13
