date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2010-11-12,"Sam Vadalabene Center , Edwardsville, Illinois",Purdue-Fort Wayne,SIU-Edwardsville,Away,52.6,10,12.9,4,95.9,80.0,24,0.387,53,0.358,19,0.377,20,0.7,14,1,200.0,75.3,12.5,4,22,55,9.6,7,0.377,20.0,0.15,3.0,45.2,28,0.44,20.6,16,33.0,0.485,16.0,0.0,0
2010-11-14,"Redbird Arena, Normal, Illinois",SIU-Edwardsville,Illinois State,Home,56.5,13,4.5,2,122.7,79.2,19,0.458,59,0.39,23,0.271,16,0.625,10,2,200.0,85.3,14.3,5,27,64,5.3,4,0.492,29.0,0.276,8.0,40.7,24,0.48,17.5,14,30.0,0.5,15.0,0.0,0
2010-11-17,"McBrayer Arena, Richmond, Kentucky",SIU-Edwardsville,Eastern Kentucky,Home,70.8,17,2.4,1,109.5,67.7,21,0.5,55,0.436,24,0.364,20,0.5,10,3,200.0,87.8,19.4,6,19,65,6.8,5,0.455,25.0,0.28,7.0,43.5,27,0.504,22.0,18,30.0,0.567,17.0,0.0,0
2010-11-24,"Swinney Recreation Center, Kansas City, Missouri",SIU-Edwardsville,UMKC,Home,40.0,10,4.0,2,115.5,57.9,22,0.458,59,0.424,25,0.203,12,0.833,10,4,200.0,90.1,22.6,7,16,64,9.9,7,0.288,17.0,0.235,4.0,42.0,29,0.495,16.8,13,42.0,0.5,21.0,0.2,1
2010-11-26,"Carver-Hawkeye Arena, Iowa City, Iowa",SIU-Edwardsville,Iowa,Home,57.1,12,11.1,5,142.3,38.5,10,0.393,61,0.344,21,0.033,2,1.0,2,5,200.0,64.1,34.2,13,28,50,9.0,7,0.426,26.0,0.231,6.0,35.9,23,0.404,31.9,29,35.0,0.429,15.0,0.167,1
2010-11-28,"Sam Vadalabene Center , Edwardsville, Illinois",Morehead State,SIU-Edwardsville,Away,60.0,12,11.4,5,115.3,57.1,16,0.458,48,0.417,20,0.646,31,0.645,20,6,200.0,88.9,21.9,7,26,64,8.3,6,0.313,15.0,0.267,4.0,38.3,23,0.51,20.6,16,33.0,0.485,16.0,0.143,1
2010-12-01,"Eblen Center, Cookeville, Tennessee",SIU-Edwardsville,Tennessee Tech,Home,58.3,14,7.7,4,100.0,56.7,17,0.519,52,0.462,24,0.327,17,0.647,11,7,200.0,83.3,15.4,4,23,65,9.0,7,0.308,16.0,0.375,6.0,37.5,21,0.541,25.2,20,36.0,0.5,18.0,0.125,1
2010-12-04,"Sam Vadalabene Center , Edwardsville, Illinois",Middle Tennessee,SIU-Edwardsville,Away,63.6,14,4.2,2,94.8,57.1,20,0.49,51,0.431,22,0.471,24,0.583,14,8,225.0,83.1,21.2,7,28,64,6.5,5,0.353,18.0,0.333,6.0,39.7,27,0.513,26.3,22,33.0,0.485,16.0,0.111,1
2010-12-08,"Joseph J. Gentile Center, Chicago, Illinois",SIU-Edwardsville,Loyola (IL),Home,57.9,11,11.9,7,113.0,52.9,18,0.411,56,0.339,19,0.161,9,0.444,4,9,200.0,72.5,21.1,8,17,50,7.2,5,0.375,21.0,0.381,8.0,36.1,26,0.415,21.1,16,35.0,0.314,11.0,0.1,1
2010-12-11,"Sam Vadalabene Center , Edwardsville, Illinois",Kennesaw State,SIU-Edwardsville,Home,58.1,18,0.0,0,90.5,83.3,30,0.493,72,0.431,31,0.181,13,0.462,6,9,250.0,91.7,19.5,8,19,77,3.6,3,0.361,26.0,0.346,9.0,49.4,38,0.492,16.2,15,46.0,0.478,22.0,0.182,2
2010-12-17,"Assembly Hall, Bloomington, Indiana",SIU-Edwardsville,Indiana,Home,47.1,8,8.3,3,115.8,82.6,19,0.373,51,0.333,17,0.451,23,0.696,16,10,200.0,71.1,9.1,3,18,54,11.8,9,0.353,18.0,0.222,4.0,39.3,22,0.436,22.8,18,33.0,0.394,13.0,0.167,2
2010-12-19,"McLeod Center, Cedar Falls, Iowa",SIU-Edwardsville,Northern Iowa,Home,40.0,6,7.5,3,109.7,46.2,12,0.419,43,0.349,15,0.372,16,0.688,11,11,200.0,75.8,17.9,5,16,47,9.7,6,0.442,19.0,0.316,6.0,31.5,17,0.464,25.4,17,24.0,0.375,9.0,0.154,2
2010-12-22,"South Point Arena, Las Vegas, Nevada",SIU-Edwardsville,Longwood,Away,61.5,16,4.1,2,94.7,64.3,27,0.656,48,0.542,26,0.542,26,0.577,15,11,200.0,104.0,11.5,3,25,78,6.7,5,0.333,16.0,0.688,11.0,44.1,30,0.646,21.2,16,32.0,0.469,15.0,0.214,3
2010-12-23,"South Point Arena, Las Vegas, Nevada",Citadel,SIU-Edwardsville,Home,52.2,12,9.1,4,91.7,68.6,24,0.52,51,0.451,23,0.176,9,0.667,6,11,200.0,98.3,11.1,3,14,59,3.3,2,0.373,19.0,0.368,7.0,43.5,27,0.534,14.1,9,32.0,0.5,16.0,0.267,4
2010-12-30,"Regional Special Events Center, Murray, Kentucky",SIU-Edwardsville,Murray State,Home,23.5,4,5.4,2,104.4,73.3,22,0.346,52,0.327,17,0.346,18,0.556,10,12,200.0,67.6,13.5,5,23,46,8.8,6,0.25,13.0,0.154,2.0,40.3,27,0.38,17.8,13,39.0,0.385,15.0,0.25,4
2011-01-03,"Worthen Arena, Muncie, Indiana",SIU-Edwardsville,Ball State,Home,38.9,7,10.8,4,113.4,63.0,17,0.375,52,0.346,18,0.192,10,0.7,7,13,200.0,68.7,33.3,11,26,46,3.0,2,0.308,16.0,0.188,3.0,46.7,28,0.405,29.9,24,36.0,0.417,15.0,0.235,4
2011-01-08,"Sam Vadalabene Center , Edwardsville, Illinois",South Dakota,SIU-Edwardsville,Home,82.8,24,2.3,1,95.5,68.9,31,0.507,67,0.433,29,0.522,35,0.743,26,13,225.0,105.6,22.0,9,20,94,9.0,8,0.313,21.0,0.476,10.0,46.5,40,0.562,14.5,14,46.0,0.413,19.0,0.278,5
2011-01-11,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",SIU-Edwardsville,Purdue-Fort Wayne,Home,50.0,12,11.4,5,150.7,50.0,13,0.633,45,0.533,24,0.578,26,0.846,22,14,200.0,111.3,13.6,3,17,79,0.0,0,0.422,19.0,0.474,9.0,33.3,16,0.689,21.0,15,26.0,0.577,15.0,0.263,5
2011-01-18,"Sam Vadalabene Center , Edwardsville, Illinois",Eastern Kentucky,SIU-Edwardsville,Away,70.6,12,5.1,2,112.9,67.9,19,0.438,48,0.354,17,0.229,11,0.727,8,15,200.0,80.6,16.7,5,15,50,6.5,4,0.458,22.0,0.364,8.0,41.4,24,0.47,19.7,13,26.0,0.346,9.0,0.25,5
2011-01-20,"Welsh-Ryan Arena, Evanston, Illinois",SIU-Edwardsville,Northwestern,Home,36.8,7,7.7,3,144.1,55.6,15,0.449,49,0.388,19,0.286,14,0.786,11,16,200.0,80.9,16.0,4,19,55,8.8,6,0.306,15.0,0.4,6.0,36.5,19,0.494,21.4,15,34.0,0.382,13.0,0.238,5
2011-01-24,"Sam Vadalabene Center , Edwardsville, Illinois",UT-Martin,SIU-Edwardsville,Away,62.5,15,4.3,2,96.3,77.1,27,0.419,62,0.387,24,0.387,24,0.708,17,17,200.0,85.2,28.6,12,32,69,8.6,7,0.339,21.0,0.19,4.0,50.6,39,0.47,22.4,21,41.0,0.488,20.0,0.227,5
2011-01-26,"Sam Vadalabene Center , Edwardsville, Illinois",Murray State,SIU-Edwardsville,Away,52.4,11,9.5,4,97.1,62.9,22,0.481,52,0.404,21,0.269,14,0.786,11,18,200.0,88.4,29.0,9,20,61,7.2,5,0.404,21.0,0.381,8.0,47.0,31,0.52,23.6,18,31.0,0.419,13.0,0.217,5
2011-02-07,"Sam Vadalabene Center , Edwardsville, Illinois",Southeast Missouri State,SIU-Edwardsville,Away,73.7,14,2.2,1,123.9,63.3,19,0.49,48,0.396,19,0.479,23,0.696,16,19,200.0,94.0,10.3,3,24,63,4.5,3,0.521,25.0,0.36,9.0,37.3,22,0.535,19.4,14,23.0,0.435,10.0,0.24,6
2011-02-20,"DakotaDome , Vermillion, South Dakota",SIU-Edwardsville,South Dakota,Home,65.2,15,2.4,1,121.6,75.9,22,0.449,59,0.39,23,0.305,18,0.778,14,20,200.0,90.5,10.0,3,15,67,8.1,6,0.356,21.0,0.333,7.0,42.4,25,0.496,13.0,10,38.0,0.421,16.0,0.259,7
2011-02-22,"Sam Vadalabene Center , Edwardsville, Illinois",Tennessee Tech,SIU-Edwardsville,Away,76.0,19,4.3,2,116.5,64.7,11,0.58,50,0.5,25,0.36,18,0.611,11,21,200.0,87.3,4.0,1,22,69,10.1,8,0.5,25.0,0.32,8.0,28.6,12,0.589,26.6,21,25.0,0.68,17.0,0.25,7
2011-11-14,"Assembly Hall, Champaign, Illinois",SIU-Edwardsville,Illinois,Home,52.9,9,6.3,2,93.0,60.6,20,0.368,57,0.298,17,0.105,6,0.667,4,1,200.0,64.8,13.5,5,22,46,11.3,8,0.386,22.0,0.364,8.0,35.7,25,0.384,20.1,15,35.0,0.257,9.0,0.0,0
2011-11-17,"Redbird Arena, Normal, Illinois",SIU-Edwardsville,Illinois State,Home,46.2,6,16.0,4,95.8,89.7,26,0.304,51,0.255,13,0.333,17,0.412,7,2,200.0,53.5,12.8,5,23,38,8.5,6,0.353,18.0,0.278,5.0,45.6,31,0.322,22.5,17,33.0,0.242,8.0,0.0,0
2011-11-22,"Moon Palace Resort, Cancun",SIU-Edwardsville,Lipscomb,Home,51.6,16,5.0,2,112.5,76.7,23,0.664,55,0.564,31,0.364,20,0.7,14,3,200.0,108.8,20.0,4,27,87,8.8,7,0.418,23.0,0.478,11.0,54.0,27,0.674,22.0,18,32.0,0.625,20.0,0.0,0
2011-11-23,"Moon Palace Resort, Cancun",SIU-Edwardsville,Hampton,Home,56.0,14,5.6,2,100.0,59.3,16,0.536,56,0.446,25,0.143,8,0.5,4,4,200.0,94.1,31.3,10,19,64,10.3,7,0.393,22.0,0.455,10.0,44.1,26,0.535,21.2,16,34.0,0.441,15.0,0.0,0
2011-12-03,"Sam Vadalabene Center , Edwardsville, Illinois",Cal State Fullerton,SIU-Edwardsville,Away,35.0,7,0.0,0,121.5,55.6,15,0.433,52,0.385,20,0.346,18,0.667,12,5,200.0,87.7,21.2,7,21,57,6.2,4,0.365,19.0,0.263,5.0,36.7,22,0.471,17.8,13,33.0,0.455,15.0,0.167,1
2011-12-06,"Sam Vadalabene Center , Edwardsville, Illinois",Ball State,SIU-Edwardsville,Away,63.2,12,3.7,1,120.6,62.5,15,0.389,54,0.352,19,0.315,17,0.765,13,6,200.0,87.3,31.6,12,22,55,7.9,5,0.444,24.0,0.167,4.0,43.5,27,0.443,16.3,12,30.0,0.5,15.0,0.143,1
2011-12-19,"The SIU Arena, Carbondale, Illinois",SIU-Edwardsville,Southern Illinois,Home,29.4,5,7.0,3,106.7,71.9,23,0.404,47,0.362,17,0.66,31,0.613,19,7,200.0,76.0,13.3,4,20,57,12.0,9,0.234,11.0,0.364,4.0,43.5,27,0.462,22.9,18,36.0,0.361,13.0,0.222,2
2011-12-29,"Sam Vadalabene Center , Edwardsville, Illinois",Tennessee Tech,SIU-Edwardsville,Home,56.7,17,0.0,0,88.3,65.9,27,0.586,58,0.517,30,0.362,21,0.714,15,7,200.0,107.8,36.7,11,22,83,7.8,6,0.241,14.0,0.571,8.0,53.5,38,0.611,22.0,19,44.0,0.5,22.0,0.3,3
2011-12-31,"Sam Vadalabene Center , Edwardsville, Illinois",Jacksonville State,SIU-Edwardsville,Home,52.2,12,4.5,2,93.8,58.1,25,0.591,44,0.523,23,0.5,22,0.636,14,7,200.0,101.5,28.6,6,17,66,6.2,4,0.205,9.0,0.667,6.0,48.4,31,0.606,24.1,17,35.0,0.486,17.0,0.364,4
2012-01-04,"Sam Vadalabene Center , Edwardsville, Illinois",Eastern Illinois,SIU-Edwardsville,Away,47.4,9,2.3,1,110.6,48.0,12,0.467,46,0.413,19,0.543,25,0.64,16,8,200.0,89.4,26.7,8,21,59,9.1,6,0.326,15.0,0.333,5.0,36.4,20,0.51,24.0,18,31.0,0.452,14.0,0.333,4
2012-01-07,"Skyhawk Arena, Martin, Tennessee",SIU-Edwardsville,UT-Martin,Away,44.4,12,15.4,6,104.8,62.5,20,0.536,56,0.482,27,0.25,14,0.643,9,8,200.0,111.3,30.3,10,14,69,11.3,7,0.25,14.0,0.429,6.0,46.2,30,0.551,12.6,9,42.0,0.5,21.0,0.385,5
2012-01-12,"Show Me Center, Cape Girardeau, Missouri",SIU-Edwardsville,Southeast Missouri State,Home,45.8,11,2.6,1,123.2,76.0,19,0.444,62,0.387,24,0.258,16,0.813,13,9,200.0,98.6,35.7,10,15,68,4.3,3,0.339,21.0,0.333,7.0,54.7,29,0.489,14.8,12,41.0,0.415,17.0,0.357,5
2012-01-14,"Gentry Center Complex, Nashville, Tennessee",SIU-Edwardsville,Tennessee State,Home,50.0,8,2.9,1,78.8,76.7,23,0.406,48,0.333,16,0.375,18,0.556,10,10,200.0,74.2,8.3,3,17,49,15.2,10,0.354,17.0,0.412,7.0,39.4,26,0.433,20.0,14,31.0,0.29,9.0,0.333,5
2012-01-19,"Sam Vadalabene Center , Edwardsville, Illinois",Austin Peay,SIU-Edwardsville,Away,53.8,14,3.6,2,112.7,62.5,20,0.578,51,0.51,26,0.294,15,0.533,8,11,200.0,94.4,17.9,5,19,67,7.0,5,0.333,17.0,0.412,7.0,41.7,25,0.576,23.8,18,34.0,0.559,19.0,0.312,5
