date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Hytche Athletic Center, Princess Anne, Maryland",STONY-BROOK,MARYLAND-EASTERN-SHORE,Away,48.0,12,6.7,2,82.6,64.9,25,0.5,54,0.463,25,0.5,27,0.778,21,0,200.0,108.7,37.9,10,24,75,10.1,7,0.259,14.0,0.286,4.0,53.0,35,0.561,18.5,15,40.0,0.525,21.0,1.0,1
2009-11-21,"Spiro Sports Center, Staten Island, New York",STONY-BROOK,WAGNER,Away,70.4,19,14.3,4,66.7,72.5,29,0.526,57,0.474,27,0.298,17,0.706,12,0,200.0,100.0,22.9,8,17,72,11.1,8,0.386,22.0,0.273,6.0,49.3,37,0.553,19.9,15,35.0,0.6,21.0,1.0,3
2009-11-24,"Thomas M. Ryan Center, Kingston, Rhode Island",STONY-BROOK,RHODE-ISLAND,Home,45.5,10,4.8,2,105.6,72.4,22,0.462,53,0.415,22,0.264,14,0.643,9,1,200.0,81.7,30.3,9,23,58,4.2,3,0.283,15.0,0.333,5.0,50.0,31,0.486,26.2,21,38.0,0.447,17.0,0.75,3
2009-11-28,"Pritchard Gymnasium, Stony Brook, New York",NJIT,STONY-BROOK,Home,52.2,12,0.0,0,69.7,76.7,25,0.456,57,0.404,23,0.263,15,0.533,8,1,200.0,90.9,38.2,11,16,60,13.6,9,0.175,10.0,0.6,6.0,56.3,36,0.468,20.1,16,47.0,0.362,17.0,0.8,4
2009-11-30,"Stabler Arena, Bethlehem, Pennsylvania",STONY-BROOK,LEHIGH,Away,62.5,15,12.9,4,76.5,77.1,27,0.475,60,0.4,24,0.317,19,0.737,14,1,200.0,104.4,34.3,12,17,71,5.9,4,0.433,26.0,0.346,9.0,55.7,39,0.514,16.0,11,34.0,0.441,15.0,0.833,5
2009-12-02,"Madison Square Garden (IV), New York, New York",STONY-BROOK,ST-JOHNS-NY,Home,35.0,7,0.0,0,95.5,61.1,22,0.441,51,0.392,20,0.275,14,0.714,10,2,200.0,83.3,28.6,8,18,55,15.2,10,0.353,18.0,0.278,5.0,46.9,30,0.477,21.9,16,33.0,0.455,15.0,0.714,5
2009-12-05,"Pritchard Gymnasium, Stony Brook, New York",COLUMBIA,STONY-BROOK,Home,39.1,9,2.3,1,90.9,70.0,23,0.441,59,0.39,23,0.288,17,0.647,11,2,200.0,95.5,35.0,12,18,63,6.1,4,0.39,23.0,0.261,6.0,50.0,35,0.47,16.4,12,36.0,0.472,17.0,0.75,6
2009-12-08,"Rose Hill Gym, Bronx, New York",STONY-BROOK,FORDHAM,Home,28.6,8,5.7,2,116.3,63.0,20,0.408,71,0.394,28,0.31,22,0.864,19,3,200.0,96.3,30.2,10,18,77,8.8,7,0.197,14.0,0.143,2.0,42.9,30,0.473,12.0,11,57.0,0.456,26.0,0.667,6
2009-12-12,"Cotterell Court, Hamilton, New York",STONY-BROOK,COLGATE,Away,36.4,8,8.3,2,83.3,78.6,24,0.403,62,0.355,22,0.339,21,0.762,16,3,200.0,100.0,31.4,9,15,66,18.2,12,0.387,24.0,0.25,6.0,52.4,33,0.458,7.8,6,38.0,0.421,16.0,0.7,7
2009-12-21,"William H. Pitt Center, Fairfield, Connecticut",STONY-BROOK,SACRED-HEART,Home,27.3,6,7.9,3,111.4,53.1,18,0.425,53,0.415,22,0.604,32,0.781,25,4,200.0,100.0,40.6,12,18,70,11.4,8,0.283,15.0,0.067,1.0,46.9,30,0.513,19.3,15,38.0,0.553,21.0,0.636,7
