date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-08,"The Nest, Sacramento, California","Simpson (CA)
			",Sacramento State,Home,56.7,17,28.1,9,39.1,88.0,44,0.523,65,0.462,30,0.2,13,0.615,8,0,200,110.1,48.5,16,14,76,10.1,7,0.338,22,0.364,8,72.3,60,0.534,16.5,14,43,0.512,22,1.0,1
2019-11-15,"The Nest, Sacramento, California",UC-Riverside,Sacramento State,Home,52.4,11,8.8,3,77.8,68.8,22,0.479,47,0.447,21,0.511,24,0.708,17,0,198,98.4,25.0,8,18,62,9.5,6,0.149,7,0.429,3,46.9,30,0.531,14.8,10,40,0.45,18,1.0,2
2019-11-20,"Golden 1 Center, Sacramento, California",Sacramento State,UC-Davis,Away,40.9,9,4.7,2,78.5,82.8,24,0.45,50,0.44,22,0.36,18,0.889,16,0,200,93.8,32.0,8,21,61,7.7,5,0.22,11,0.091,1,59.3,32,0.521,17.2,12,39,0.538,21,1.0,3
2019-11-23,"Firestone Fieldhouse, Malibu, California",Sacramento State,Pepperdine,Away,62.5,15,4.9,2,96.0,74.3,26,0.473,56,0.429,24,0.589,33,0.727,24,0,200,102.7,36.4,12,14,77,13.3,10,0.268,15,0.333,5,55.9,38,0.537,17.5,15,41,0.463,19,1.0,4
2019-11-30,"Coors Events/Conference Center, Boulder, Colorado",Sacramento State,Colorado,Home,29.4,5,8.3,3,84.3,74.1,20,0.292,60,0.283,17,0.233,14,0.714,10,1,200,64.3,20.0,8,26,45,11.4,8,0.133,8,0.125,1,41.8,28,0.338,14.3,11,52,0.308,16,0.8,4
2019-12-03,"The Nest, Sacramento, California","UC-Merced
			",Sacramento State,Home,71.4,20,6.9,2,55.4,81.3,26,0.574,54,0.519,28,0.278,15,0.667,10,1,200,110.8,44.0,11,9,72,7.7,5,0.241,13,0.462,6,64.9,37,0.589,16.5,12,41,0.537,22,0.833,5
2019-12-07,"Titan Gym, Fullerton, California",Sacramento State,Cal State Fullerton,Away,36.8,7,10.3,4,86.8,79.4,27,0.415,47,0.404,19,0.66,31,0.742,23,1,200,91.2,24.1,7,19,62,8.8,6,0.149,7,0.143,1,54.0,34,0.502,16.5,12,40,0.45,18,0.857,6
2019-12-14,"Leavey Center, Santa Clara, California",Sacramento State,Santa Clara,Home,64.7,11,4.5,2,88.2,80.6,25,0.436,47,0.362,17,0.489,23,0.739,17,2,200,85.3,29.6,8,15,58,8.8,6,0.298,14,0.5,7,56.9,33,0.501,25.0,19,33,0.303,10,0.75,6
2019-12-18,"The Nest, Sacramento, California",Cal Poly,Sacramento State,Home,80.0,16,12.9,4,88.9,83.3,25,0.411,56,0.357,20,0.321,18,0.611,11,2,200,90.5,34.2,13,16,57,3.2,2,0.393,22,0.273,6,55.9,38,0.442,14.7,11,34,0.412,14,0.778,7
2019-12-28,"Max Worthington Arena, Bozeman, Montana",Sacramento State,Montana State,Home,50.0,9,11.6,5,100.0,78.1,25,0.396,53,0.34,18,0.208,11,0.818,9,3,200,77.3,19.4,6,14,51,7.6,5,0.283,15,0.4,6,49.2,31,0.438,18.4,13,38,0.316,12,0.7,7
