date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Arena at Harbor Yard, Bridgeport, Connecticut",Sacred Heart,Yale,Away,40.0,14,12.2,6,107.5,59.0,23,0.603,63,0.556,35,0.381,24,0.667,16,0,200.0,115.0,37.9,11,23,92,11.3,9,0.27,17.0,0.353,6.0,50.0,34,0.618,18.8,17,46.0,0.63,29.0,1.0,1
2009-11-15,"William H. Pitt Center, Fairfield, Connecticut",Lafayette,Sacred Heart,Home,57.6,19,7.0,3,100.0,68.8,24,0.602,64,0.516,33,0.125,8,0.5,4,0,200.0,115.7,45.2,12,12,81,7.1,5,0.266,17.0,0.647,11.0,57.1,36,0.597,18.2,15,47.0,0.468,22.0,1.0,2
2009-11-18,"Rose Hill Gym, Bronx, New York",Sacred Heart,Fordham,Home,68.0,17,6.1,3,101.3,65.4,18,0.453,64,0.391,25,0.141,9,0.889,8,1,200.0,88.0,37.8,13,17,66,16.0,12,0.391,25.0,0.32,8.0,49.2,31,0.483,24.5,21,39.0,0.436,17.0,0.667,2
2009-11-21,"Cintas Center, Cincinnati, Ohio",Sacred Heart,Xavier,Home,95.2,20,12.8,6,136.4,51.9,18,0.41,61,0.344,21,0.393,24,0.625,15,2,200.0,84.4,18.6,4,21,65,7.8,6,0.328,20.0,0.4,8.0,31.4,22,0.449,16.4,14,41.0,0.317,13.0,0.5,2
2009-11-25,"Bryce Jordan Center, University Park, Pennsylvania",Sacred Heart,Penn State,Home,46.7,14,2.9,1,126.1,88.2,15,0.602,59,0.508,30,0.102,6,0.667,4,3,200.0,108.7,32.1,9,20,75,7.2,5,0.39,23.0,0.478,11.0,53.3,24,0.606,21.6,17,36.0,0.528,19.0,0.4,2
2009-11-30,"William H. Pitt Center, Fairfield, Connecticut",Columbia,Sacred Heart,Home,52.4,11,13.5,5,82.1,72.4,22,0.456,57,0.368,21,0.211,12,0.667,8,3,200.0,89.6,42.9,11,16,60,9.0,6,0.421,24.0,0.417,10.0,57.9,33,0.478,21.4,17,33.0,0.333,11.0,0.5,3
2009-12-05,"William H. Pitt Center, Fairfield, Connecticut",Monmouth,Sacred Heart,Home,89.3,25,13.9,5,104.3,75.0,26,0.576,59,0.475,28,0.339,20,0.65,13,3,200.0,115.7,45.5,13,20,81,8.6,6,0.441,26.0,0.462,12.0,60.0,39,0.591,18.1,15,33.0,0.485,16.0,0.571,4
2009-12-11,"Chase Arena at Reich Family Pavilion, West Hartford, Connecticut",Sacred Heart,Hartford,Away,63.6,14,15.4,6,95.6,87.1,30,0.582,49,0.449,22,0.51,25,0.76,19,3,200.0,111.8,48.1,10,14,76,1.5,1,0.633,31.0,0.419,13.0,69.0,40,0.624,25.0,20,18.0,0.5,9.0,0.625,5
2009-12-13,"Arena at Harbor Yard, Bridgeport, Connecticut",Sacred Heart,Fairfield,Home,46.7,14,11.9,5,114.8,82.1,26,0.507,70,0.429,30,0.2,14,0.429,6,4,200.0,95.1,46.3,16,25,77,2.5,2,0.357,25.0,0.44,11.0,60.9,42,0.502,22.4,22,45.0,0.422,19.0,0.556,5
2009-12-21,"William H. Pitt Center, Fairfield, Connecticut",Stony Brook,Sacred Heart,Home,50.0,14,5.3,2,100.0,59.4,20,0.559,59,0.475,28,0.288,17,0.706,12,4,200.0,111.4,46.9,14,20,78,7.1,5,0.356,21.0,0.476,10.0,53.1,34,0.581,19.4,16,38.0,0.474,18.0,0.6,6
