date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Viejas Arena, San Diego, California",Texas Southern,San Diego State,Home,42.9,12,11.6,5,55.3,73.9,34,0.451,72,0.389,28,0.361,26,0.462,12,0,200,101.3,45.5,20,19,77,13.2,10,0.333,24,0.375,9,60.0,54,0.456,14.4,14,48,0.396,19,1.0,1
2019-11-09,"Marriott Center, Provo, Utah",San Diego State,BYU,Away,44.4,12,3.1,1,100.0,93.1,27,0.516,61,0.443,27,0.295,18,0.722,13,0,200,107.0,32.4,11,15,76,7.0,5,0.328,20,0.45,9,60.3,38,0.546,16.9,14,41,0.439,18,1.0,2
2019-11-13,"Viejas Arena, San Diego, California",Grand Canyon,San Diego State,Home,71.4,25,14.7,5,91.0,75.7,28,0.648,64,0.547,35,0.109,7,0.429,3,0,200,128.4,27.6,8,19,86,4.5,3,0.422,27,0.481,13,54.5,36,0.639,9.4,7,37,0.595,22,1.0,3
2019-11-20,"Jenny Craig Pavillion, San Diego, California",San Diego State,San Diego,Away,50.0,14,13.8,4,71.0,80.6,25,0.5,59,0.475,28,0.186,11,0.636,7,0,200,95.7,25.0,7,19,66,13.0,9,0.203,12,0.25,3,54.2,32,0.514,14.7,11,47,0.532,25,1.0,4
2019-11-22,"Viejas Arena, San Diego, California",LIU,San Diego State,Home,81.3,26,8.0,2,86.5,84.6,22,0.552,67,0.478,32,0.179,12,0.583,7,0,198,109.5,20.0,7,21,81,10.8,8,0.448,30,0.333,10,47.5,29,0.557,7.7,6,37,0.595,22,1.0,5
2019-11-25,"Viejas Arena, San Diego, California",Tennessee State,San Diego State,Home,45.0,9,13.0,3,73.1,84.6,22,0.411,56,0.357,20,0.304,17,0.941,16,0,200,92.5,19.4,6,14,62,7.5,5,0.375,21,0.286,6,49.1,28,0.484,14.8,11,35,0.4,14,1.0,6
2019-11-28,"Orleans Arena, Paradise, Nevada",San Diego State,Creighton,Away,69.0,20,17.2,5,75.4,84.8,28,0.663,52,0.558,29,0.346,18,0.778,14,0,200,120.3,31.8,7,18,83,11.6,8,0.346,18,0.611,11,63.6,35,0.685,20.0,15,34,0.529,18,1.0,7
2019-11-29,"Orleans Arena, Paradise, Nevada",Iowa,San Diego State,Home,48.1,13,11.8,4,105.8,65.6,21,0.625,52,0.519,27,0.365,19,0.947,18,0,200,120.3,23.8,5,20,83,8.7,6,0.462,24,0.458,11,49.1,26,0.68,18.8,14,28,0.571,16,1.0,8
2019-12-04,"Moby Arena, Fort Collins, Colorado",San Diego State,Colorado State,Away,50.0,15,2.9,1,89.1,81.8,27,0.566,61,0.492,30,0.18,11,0.909,10,0,200,123.4,33.3,9,15,79,3.1,2,0.426,26,0.346,9,60.0,36,0.596,9.6,7,35,0.6,21,1.0,9
2019-12-08,"Viejas Arena, San Diego, California",San Jose State,San Diego State,Home,40.0,8,17.2,5,89.1,74.2,23,0.357,63,0.317,20,0.317,20,0.7,14,0,200,92.2,38.5,15,17,59,7.8,5,0.254,16,0.313,5,54.3,38,0.407,10.0,8,47,0.319,15,1.0,10
2019-12-18,"Viejas Arena, San Diego, California","San Diego Christian
			",San Diego State,Home,72.7,24,12.5,5,68.6,69.7,23,0.603,63,0.524,33,0.349,22,0.727,16,0,200,131.4,45.2,14,12,92,20.0,14,0.365,23,0.435,10,57.8,37,0.626,14.2,12,40,0.575,23,1.0,11
2019-12-21,"Staples Center, Los Angeles, California",San Diego State,Utah,Away,58.1,18,12.0,3,77.6,77.8,21,0.563,63,0.492,31,0.206,13,0.692,9,0,200,119.4,32.3,10,19,80,10.4,7,0.349,22,0.409,9,53.4,31,0.578,11.6,9,41,0.537,22,1.0,12
2019-12-28,"Viejas Arena, San Diego, California",Cal Poly,San Diego State,Home,68.0,17,10.3,3,74.0,80.6,29,0.467,60,0.417,25,0.45,27,0.63,17,0,200,94.8,18.9,7,18,73,14.3,11,0.45,27,0.222,6,49.3,36,0.501,13.3,11,33,0.576,19,1.0,13
2020-01-01,"Viejas Arena, San Diego, California",Fresno State,San Diego State,Home,54.5,12,9.4,3,81.3,65.7,23,0.48,49,0.449,22,0.347,17,0.824,14,0,200,95.3,25.0,7,15,61,7.8,5,0.245,12,0.25,3,47.6,30,0.534,19.9,14,37,0.514,19,1.0,14
2020-01-04,"Dee Glen Smith Spectrum, Logan, Utah",San Diego State,Utah State,Away,48.1,13,6.5,2,98.6,75.8,25,0.594,53,0.509,27,0.321,17,0.824,14,0,200,111.6,22.2,6,20,77,7.2,5,0.377,20,0.45,9,51.7,31,0.63,18.8,14,33,0.545,18,1.0,15
2020-01-08,"Arena-Auditorium, Laramie, Wyoming",San Diego State,Wyoming,Away,52.0,13,0.0,0,83.9,78.1,25,0.604,48,0.521,25,0.313,15,0.933,14,0,200,116.1,13.6,3,14,72,12.9,8,0.479,23,0.348,8,51.9,28,0.653,14.2,9,25,0.68,17,1.0,16
2020-01-11,"Viejas Arena, San Diego, California",Boise State,San Diego State,Home,54.8,17,3.6,1,92.9,78.6,22,0.602,59,0.525,31,0.237,14,0.857,12,0,200,118.6,15.4,4,20,83,11.4,8,0.322,19,0.474,9,48.1,26,0.632,12.1,9,40,0.55,22,1.0,17
2020-01-14,"Save Mart Center, Fresno, California",San Diego State,Fresno State,Away,37.5,9,7.9,3,88.7,71.9,23,0.5,51,0.471,24,0.275,14,0.929,13,0,200,103.2,19.2,5,14,64,1.6,1,0.353,18,0.167,3,48.3,28,0.555,14.9,10,33,0.636,21,1.0,18
2020-01-18,"Viejas Arena, San Diego, California",Nevada,San Diego State,Home,60.9,14,17.2,5,79.7,74.4,29,0.467,60,0.383,23,0.25,15,0.8,12,0,200,98.6,29.0,9,15,68,7.2,5,0.45,27,0.37,10,54.3,38,0.507,15.3,12,33,0.394,13,1.0,19
2020-01-21,"Viejas Arena, San Diego, California",Wyoming,San Diego State,Home,56.0,14,9.1,2,90.2,81.8,18,0.641,46,0.543,25,0.37,17,0.765,13,0,200,118.0,15.0,3,16,72,13.1,8,0.435,20,0.45,9,50.0,21,0.666,15.8,10,26,0.615,16,1.0,20
2020-01-26,"Thomas & Mack Center, Las Vegas, Nevada",San Diego State,UNLV,Away,56.5,13,3.4,1,103.1,75.0,24,0.482,55,0.418,23,0.382,21,0.857,18,0,200,109.2,15.2,5,18,71,10.8,7,0.455,25,0.28,7,44.6,29,0.546,8.5,6,30,0.533,16,1.0,21
