date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"War Memorial Gymnasium, San Francisco, California",Cal Poly,San Francisco,Home,65.2,15,7.1,3,95.4,64.7,23,0.553,47,0.489,23,0.574,27,0.778,21,0,200.0,112.3,44.4,11,22,73,6.2,4,0.34,16.0,0.375,6.0,55.7,34,0.61,20.3,15,31.0,0.548,17.0,1.0,1
2009-11-20,"Wells Fargo Arena, Tempe, Arizona",San Francisco,Arizona State,Home,66.7,16,0.0,0,152.9,47.6,13,0.443,61,0.393,24,0.262,16,0.688,11,1,200.0,95.6,37.8,11,13,65,11.8,8,0.279,17.0,0.353,6.0,41.4,24,0.474,15.0,12,44.0,0.409,18.0,0.667,2
2009-11-23,"The Thunderdome, Santa Barbara, California",San Francisco,UCSB,Home,43.5,10,0.0,0,116.9,57.7,18,0.5,48,0.479,23,0.5,24,0.708,17,2,200.0,100.0,29.6,5,26,65,6.2,4,0.229,11.0,0.182,2.0,43.4,23,0.547,19.3,14,37.0,0.568,21.0,0.5,2
2009-11-29,"Moby Arena, Fort Collins, Colorado",San Francisco,Colorado State,Home,61.9,13,2.4,1,116.7,52.6,21,0.414,58,0.362,21,0.621,36,0.75,27,4,250.0,96.2,35.9,13,31,75,7.7,6,0.379,22.0,0.273,6.0,44.2,34,0.499,17.8,16,36.0,0.417,15.0,0.333,2
2009-12-08,"War Memorial Gymnasium, San Francisco, California",San Jose State,San Francisco,Home,50.0,12,4.7,2,98.6,69.0,30,0.49,50,0.48,24,0.82,41,0.659,27,6,200.0,105.6,32.1,8,14,76,9.7,7,0.12,6.0,0.167,1.0,54.3,38,0.547,15.0,12,44.0,0.523,23.0,0.333,3
2009-12-12,"Joseph J. Gentile Center, Chicago, Illinois",San Francisco,Loyola (IL),Home,58.3,14,5.4,2,115.8,52.0,17,0.5,52,0.462,24,0.308,16,0.688,11,7,199.0,110.5,50.0,10,17,63,10.5,6,0.231,12.0,0.333,4.0,50.9,27,0.529,16.9,11,40.0,0.5,20.0,0.3,3
2009-12-19,"Orleans Arena, Paradise, Nevada",South Florida,San Francisco,Away,31.3,5,0.0,0,106.2,67.6,25,0.438,40,0.4,16,0.65,26,0.538,14,8,200.0,75.4,20.0,6,20,49,4.6,3,0.275,11.0,0.273,3.0,46.3,31,0.468,22.6,15,29.0,0.448,13.0,0.273,3
2009-12-20,"Orleans Arena, Paradise, Nevada",Southern Illinois,San Francisco,Away,39.1,9,3.1,1,97.1,83.3,25,0.521,48,0.479,23,0.396,19,0.842,16,9,200.0,95.7,33.3,9,14,66,8.7,6,0.271,13.0,0.308,4.0,59.6,34,0.579,25.2,19,35.0,0.543,19.0,0.25,3
2009-12-27,"Bank of America Arena, Seattle, Washington",San Francisco,Washington,Home,43.5,10,7.4,4,116.2,66.7,27,0.432,59,0.39,23,0.458,27,0.741,20,10,200.0,95.9,44.4,13,22,71,2.7,2,0.305,18.0,0.278,5.0,55.6,40,0.494,19.3,17,41.0,0.439,18.0,0.286,4
2010-01-28,"War Memorial Gymnasium, San Francisco, California",Portland,San Francisco,Away,55.0,11,9.7,3,117.5,74.2,23,0.5,46,0.435,20,0.413,19,0.632,12,14,200.0,92.1,31.0,9,16,58,6.3,4,0.37,17.0,0.353,6.0,53.3,32,0.527,24.9,18,29.0,0.483,14.0,0.333,7
2010-01-30,"War Memorial Gymnasium, San Francisco, California",Gonzaga,San Francisco,Home,53.6,15,4.9,2,97.5,68.4,26,0.568,59,0.475,28,0.424,25,0.56,14,14,225.0,102.5,22.9,8,25,81,7.6,6,0.407,24.0,0.458,11.0,46.6,34,0.571,18.6,16,35.0,0.486,17.0,0.364,8
2010-02-25,"Chiles Center, Portland, Oregon",San Francisco,Portland,Home,47.6,10,4.2,1,109.4,60.0,18,0.567,45,0.467,21,0.311,14,0.571,8,16,200.0,92.2,25.0,3,15,59,17.2,11,0.422,19.0,0.474,9.0,42.9,21,0.571,27.1,19,26.0,0.462,12.0,0.429,12
