date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Mack Sports Complex, Hempstead, New York",San Jose State,Hofstra,Away,51.6,16,7.7,3,100.0,82.1,32,0.523,66,0.47,31,0.212,14,0.714,10,0,200,111.3,36.8,14,14,79,8.5,6,0.333,22,0.318,7,59.7,46,0.544,13.2,11,44,0.545,24,1.0,1
2019-11-10,"San Jose State Event Center, San Jose, California",Portland,San Jose State,Away,56.5,13,8.8,3,100.0,88.9,24,0.448,58,0.397,23,0.276,16,0.313,5,1,200,79.2,19.4,6,14,57,8.3,6,0.448,26,0.231,6,51.7,30,0.434,16.7,13,32,0.531,17,0.5,1
2019-11-14,"McKale Center, Tucson, Arizona",San Jose State,Arizona,Home,35.7,5,2.3,1,119.2,63.6,21,0.246,61,0.23,14,0.295,18,0.5,9,2,200,53.4,23.9,11,22,39,5.5,4,0.295,18,0.111,2,40.5,32,0.28,18.8,16,43,0.279,12,0.333,1
2019-11-17,"San Jose State Event Center, San Jose, California","Simpson (CA)
			",San Jose State,Home,72.7,24,6.3,2,77.9,81.1,30,0.625,60,0.55,33,0.267,16,0.625,10,2,200,110.4,24.1,7,10,85,9.1,7,0.383,23,0.391,9,56.1,37,0.629,19.3,16,37,0.649,24,0.5,2
2019-11-20,"San Jose State Event Center, San Jose, California",Grambling,San Jose State,Home,61.5,16,12.7,7,93.8,72.7,24,0.527,56,0.464,26,0.625,35,0.686,24,2,200,102.5,41.2,14,24,83,8.6,7,0.464,26,0.269,7,56.7,38,0.571,21.9,20,30,0.633,19,0.6,3
2019-11-23,"San Jose State Event Center, San Jose, California",Portland State,San Jose State,Away,60.0,15,6.5,4,108.3,61.0,25,0.452,63,0.397,25,0.397,25,0.76,19,3,200,90.5,36.1,13,21,76,3.6,3,0.397,25,0.28,7,49.4,38,0.508,21.3,20,38,0.474,18,0.5,3
2019-11-27,"Orleans Arena, Paradise, Nevada",Oregon State,San Jose State,Away,50.0,9,7.7,3,120.3,71.0,22,0.333,60,0.3,18,0.167,10,0.8,8,4,200,69.6,34.2,13,12,48,8.7,6,0.433,26,0.154,4,50.7,35,0.371,21.8,18,34,0.412,14,0.429,3
2019-12-01,"Pauley Pavilion, Los Angeles, California",San Jose State,UCLA,Home,42.1,8,1.9,1,116.3,69.7,23,0.389,54,0.352,19,0.537,29,0.759,22,5,200,80.0,26.3,10,18,64,8.8,7,0.241,13,0.308,4,46.5,33,0.472,23.1,20,41,0.366,15,0.375,3
2019-12-04,"San Jose State Event Center, San Jose, California",Utah State,San Jose State,Away,66.7,14,18.4,9,102.9,71.1,27,0.51,49,0.429,21,0.306,15,0.6,9,6,200,85.5,11.1,3,16,59,2.9,2,0.429,21,0.381,8,46.2,30,0.526,20.1,14,28,0.464,13,0.333,3
2019-12-08,"Viejas Arena, San Diego, California",San Jose State,San Diego State,Home,61.9,13,8.5,4,92.2,61.5,24,0.455,55,0.382,21,0.2,11,0.636,7,7,200,89.1,25.8,8,18,57,9.4,6,0.473,26,0.308,8,45.7,32,0.473,14.3,10,29,0.448,13,0.3,3
