date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Leavey Center, Santa Clara, California","UC-Santa Cruz
			",Santa Clara,Home,60.5,23,8.1,3,66.7,76.3,29,0.64,68,0.559,38,0.176,12,0.833,10,0,200,124.4,36.7,11,20,97,17.9,14,0.471,32,0.344,11,58.8,40,0.658,17.0,15,36,0.75,27,1.0,1
2019-11-08,"Leavey Center, Santa Clara, California",Cal Poly,Santa Clara,Home,60.9,14,8.9,4,85.1,76.5,26,0.5,49,0.469,23,0.755,37,0.757,28,0,200,104.1,14.8,4,20,77,10.8,8,0.204,10,0.3,3,49.2,30,0.578,15.5,12,39,0.513,20,1.0,2
2019-11-12,"Leavey Center, Santa Clara, California",Washington State,Santa Clara,Home,44.0,11,13.2,5,79.5,81.4,35,0.519,53,0.472,25,0.321,17,0.882,15,0,200,89.7,27.6,8,21,70,10.3,8,0.302,16,0.313,5,59.7,43,0.573,25.8,21,37,0.541,20,1.0,3
2019-11-16,"Maples Pavilion, Stanford, California",Santa Clara,Stanford,Home,66.7,14,2.4,1,110.8,71.9,23,0.436,55,0.382,21,0.382,21,0.762,16,1,200,86.5,15.6,5,26,64,5.4,4,0.382,21,0.286,6,43.8,28,0.492,20.9,17,34,0.441,15,0.75,3
2019-11-19,"Leavey Center, Santa Clara, California","Notre Dame de Namur
			",Santa Clara,Home,75.0,24,16.7,5,74.0,86.0,37,0.57,71,0.451,32,0.338,24,0.833,20,1,200,138.4,35.1,13,20,101,5.5,4,0.535,38,0.447,17,62.5,50,0.613,5.8,5,33,0.455,15,0.8,4
2019-11-22,"Leavey Center, Santa Clara, California",Idaho State,Santa Clara,Home,77.4,24,17.6,6,84.4,73.3,22,0.654,52,0.596,31,0.231,12,0.833,10,1,200,101.3,13.0,3,23,78,13.0,10,0.269,14,0.429,6,47.2,25,0.676,26.8,21,38,0.658,25,0.833,5
2019-11-27,"Leavey Center, Santa Clara, California",Denver,Santa Clara,Home,65.6,21,10.9,5,84.2,84.4,27,0.563,63,0.508,32,0.222,14,0.714,10,1,200,106.6,21.2,7,14,81,11.8,9,0.444,28,0.25,7,52.3,34,0.581,16.8,14,35,0.714,25,0.857,6
2019-11-29,"Leavey Center, Santa Clara, California",Southeast Missouri State,Santa Clara,Home,58.1,18,17.1,6,96.2,96.4,27,0.661,56,0.554,31,0.393,22,0.591,13,1,200,111.5,11.5,3,25,87,3.8,3,0.393,22,0.545,12,55.6,30,0.655,17.6,14,34,0.559,19,0.875,7
2019-11-30,"Leavey Center, Santa Clara, California",Cal State Fullerton,Santa Clara,Home,59.3,16,5.1,2,79.7,76.3,29,0.555,55,0.491,27,0.291,16,0.563,9,1,200,101.4,16.1,5,18,70,8.7,6,0.509,28,0.25,7,49.3,34,0.559,16.2,12,27,0.741,20,0.889,8
2019-12-04,"Lawlor Events Center, Reno, Nevada",Santa Clara,Nevada,Home,45.8,11,8.3,3,127.3,66.7,22,0.382,68,0.353,24,0.368,25,0.6,15,2,200,87.0,21.3,10,21,67,7.8,6,0.426,29,0.138,4,40.0,32,0.419,9.2,8,39,0.513,20,0.8,8
