date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-16,"Tiger Arena, Savannah, Georgia",Central Connecticut,Savannah State,Home,57.1,12,5.6,2,76.3,71.4,22,0.415,53,0.396,21,0.302,16,0.563,9,0,200.0,89.8,50.0,14,15,53,8.5,5,0.283,15.0,0.133,2.0,60.0,36,0.437,17.8,13,38.0,0.5,19.0,1.0,2
2009-11-18,"UNF Arena , Jacksonville, Florida",Savannah State,North Florida,Home,47.1,8,0.0,0,100.0,52.4,13,0.36,50,0.34,17,0.3,15,0.667,10,1,200.0,80.7,33.3,9,26,46,14.0,8,0.16,8.0,0.25,2.0,40.7,22,0.403,18.7,13,42.0,0.357,15.0,0.667,2
2009-11-21,"Tiger Arena, Savannah, Georgia",Georgetown,Savannah State,Away,38.5,5,8.3,3,108.6,38.1,11,0.302,48,0.271,13,0.417,20,0.75,15,2,200.0,75.9,33.3,7,15,44,10.3,6,0.292,14.0,0.214,3.0,35.3,18,0.383,16.2,11,34.0,0.294,10.0,0.5,2
2009-11-28,"McAlister Field House, Charleston, South Carolina",Central Connecticut,Savannah State,Away,43.8,7,9.4,3,91.1,68.2,16,0.383,47,0.34,16,0.298,14,0.571,8,3,200.0,78.6,43.8,13,16,44,19.6,11,0.362,17.0,0.235,4.0,53.7,29,0.41,24.2,14,30.0,0.4,12.0,0.5,3
2009-12-03,"Anderson Arena, Bowling Green, Ohio",Savannah State,Bowling Green State,Home,57.9,11,4.2,2,96.7,58.8,20,0.479,47,0.404,19,0.17,8,0.75,6,4,200.0,83.6,18.5,5,17,51,11.5,7,0.404,19.0,0.368,7.0,41.0,25,0.502,22.9,14,28.0,0.429,12.0,0.5,4
2009-12-16,"Qwest Center OMAHA, Omaha, Nebraska",Savannah State,Creighton,Home,56.0,14,4.2,1,116.7,66.7,18,0.475,59,0.424,25,0.153,9,0.667,6,7,200.0,93.9,39.4,13,22,62,12.1,8,0.356,21.0,0.286,6.0,51.7,31,0.49,20.3,15,38.0,0.5,19.0,0.364,4
2009-12-21,"Tiger Arena, Savannah, Georgia",Stetson,Savannah State,Home,61.1,11,16.7,4,78.0,78.1,27,0.5,41,0.439,18,0.78,32,0.5,16,8,200.0,96.6,31.0,7,18,57,10.2,6,0.22,9.0,0.556,5.0,55.7,34,0.507,15.4,10,32.0,0.406,13.0,0.385,5
2010-01-06,"Mizzou Arena, Columbia, Missouri",Savannah State,Missouri,Home,50.0,9,2.4,1,105.7,57.7,21,0.364,55,0.327,18,0.2,11,0.455,5,12,200.0,64.3,42.1,10,21,45,11.4,8,0.218,12.0,0.333,4.0,48.4,31,0.374,29.5,25,43.0,0.326,14.0,0.294,5
2010-01-11,"Detrick Gymnasium, New Britain, Connecticut",Savannah State,Central Connecticut,Away,60.7,17,4.7,2,108.6,63.6,22,0.813,40,0.7,28,0.225,9,0.889,8,12,200.0,125.9,18.2,1,17,73,8.6,5,0.3,12.0,0.75,9.0,52.3,23,0.824,26.7,15,28.0,0.679,19.0,0.333,6
2010-01-25,"Tiger Arena, Savannah, Georgia",Jacksonville,Savannah State,Away,60.7,17,2.6,1,100.0,55.6,18,0.509,58,0.483,28,0.259,15,0.6,9,13,200.0,94.4,29.0,6,23,68,13.9,10,0.259,15.0,0.2,3.0,41.4,24,0.522,17.8,14,43.0,0.581,25.0,0.381,8
2010-02-15,"Edmunds Center, DeLand, Florida",Savannah State,Stetson,Away,42.9,12,2.2,1,98.6,60.6,20,0.554,56,0.5,28,0.411,23,0.87,20,14,200.0,118.8,37.0,10,15,82,11.6,8,0.286,16.0,0.375,6.0,50.0,30,0.613,15.4,12,40.0,0.55,22.0,0.417,10
2010-11-14,"Tiger Arena, Savannah, Georgia",Western Illinois,Savannah State,Away,47.1,8,8.7,2,103.5,76.5,13,0.432,44,0.386,17,0.477,21,0.667,14,1,200.0,91.2,36.0,9,20,52,8.8,5,0.341,15.0,0.267,4.0,52.4,22,0.482,14.5,9,29.0,0.448,13.0,0.5,1
2010-11-16,"Jacksonville Veteran's Memorial Arena, Jacksonville, Florida",Savannah State,Jacksonville,Home,57.1,12,5.7,2,98.5,73.3,22,0.521,47,0.447,21,0.298,14,0.357,5,2,200.0,83.1,22.6,7,17,54,4.6,3,0.319,15.0,0.467,7.0,47.5,29,0.503,25.3,18,32.0,0.438,14.0,0.333,1
2010-11-18,"Multipurpose Center and Teaching Gym, Tallahassee, Florida",Savannah State,Florida A&M,Home,50.0,8,2.5,1,92.8,83.3,25,0.352,54,0.296,16,0.37,20,0.75,15,3,200.0,76.8,38.9,14,20,53,10.1,7,0.241,13.0,0.462,6.0,59.1,39,0.417,23.2,19,41.0,0.244,10.0,0.25,1
