date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Frank and Lucille Sharp Gymnasium, Houston, Texas",South Alabama,"Houston Baptist
			",Away,63.0,17,12.5,6,81.0,63.4,27,0.45,60,0.45,27,0.583,35,0.629,22,0,200.0,96.2,42.9,14,22,76,7.6,6,0.083,5.0,0.0,0.0,53.9,41,0.496,18.4,17,55.0,0.491,27.0,1.0,1
2009-11-14,"Tudor Fieldhouse, Houston, Texas",South Alabama,Rice,Home,39.1,9,14.7,5,107.6,57.1,19,0.44,58,0.397,23,0.431,25,0.72,18,1,200.0,104.5,50.0,14,24,69,16.7,11,0.276,16.0,0.313,5.0,53.2,33,0.494,14.8,12,42.0,0.429,18.0,0.5,1
2009-11-15,"Tudor Fieldhouse, Houston, Texas",South Alabama,Sacramento State,Away,81.0,17,6.1,2,81.7,70.0,23,0.5,47,0.447,21,0.553,26,0.885,23,1,200.0,98.6,27.3,4,23,70,4.2,3,0.298,14.0,0.357,5.0,51.9,27,0.59,23.5,18,33.0,0.485,16.0,0.667,2
2009-11-21,"Donald W. Reynolds Center, Tulsa, Oklahoma",South Alabama,Tulsa,Home,47.8,11,4.4,2,106.3,42.4,17,0.427,62,0.371,23,0.274,17,0.529,9,2,200.0,78.5,22.9,5,29,62,15.2,12,0.323,20.0,0.35,7.0,32.4,22,0.442,19.7,17,42.0,0.381,16.0,0.6,3
2009-11-25,"Mitchell Center, Mobile, Alabama",Alcorn State,South Alabama,Home,53.1,17,10.6,5,89.3,60.0,25,0.548,63,0.508,32,0.397,25,0.56,14,2,200.0,110.7,43.8,13,16,83,16.0,12,0.238,15.0,0.333,5.0,52.8,38,0.554,14.0,12,48.0,0.563,27.0,0.667,4
2009-11-26,"Mitchell Center, Mobile, Alabama",Georgia State,South Alabama,Home,52.0,13,3.3,1,100.0,76.0,21,0.491,54,0.463,25,0.481,26,0.654,17,2,200.0,106.1,42.9,13,11,70,7.6,5,0.204,11.0,0.273,3.0,56.7,34,0.528,18.6,15,43.0,0.512,22.0,0.714,5
2009-11-29,"Bud Walton Arena, Fayetteville, Arkansas",South Alabama,Arkansas,Away,52.2,12,21.4,6,85.9,66.7,24,0.52,49,0.469,23,0.592,29,0.793,23,2,200.0,104.2,47.8,9,27,74,18.3,13,0.224,11.0,0.455,5.0,58.9,33,0.589,23.5,19,38.0,0.474,18.0,0.75,6
2009-12-12,"Mitchell Center, Mobile, Alabama",Southern Miss,South Alabama,Away,75.0,12,15.4,6,103.1,62.9,22,0.364,55,0.291,16,0.291,16,0.875,14,3,200.0,84.4,28.9,11,21,54,6.3,4,0.491,27.0,0.296,8.0,45.2,33,0.431,16.2,12,28.0,0.286,8.0,0.7,7
2009-12-16,"Mitchell Center, Mobile, Alabama",Little Rock,South Alabama,Home,56.5,13,11.1,4,101.4,77.4,26,0.429,56,0.411,23,0.589,33,0.788,26,3,200.0,105.7,43.2,14,21,74,4.3,3,0.196,11.0,0.182,2.0,58.8,40,0.516,17.5,15,45.0,0.467,21.0,0.727,8
2009-12-19,"Mitchell Center, Mobile, Alabama",Alabama-Birmingham,South Alabama,Away,55.6,10,5.9,2,107.5,51.7,16,0.368,53,0.34,18,0.358,19,0.789,15,4,200.0,80.6,27.0,9,19,54,6.0,4,0.189,10.0,0.3,3.0,37.9,25,0.435,19.6,15,43.0,0.349,15.0,0.667,8
