date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"FedExForum, Memphis, Tennessee",South Carolina State,Memphis,Home,42.9,9,2.2,1,124.4,55.6,15,0.431,58,0.362,21,0.31,18,0.778,14,1,200,82.1,14.3,5,20,64,2.6,2,0.431,25,0.32,8,32.3,20,0.481,21.4,18,33,0.394,13,0.0,0
2019-11-08,"SHM Memorial Center, Orangeburg, South Carolina","Bob Jones University
			",South Carolina State,Home,7.4,2,0.0,0,90.1,81.6,31,0.587,52,0.519,27,0.442,23,0.783,18,1,200,111.3,22.7,5,7,79,0.0,0,0.269,14,0.5,7,60.0,36,0.628,16.2,12,38,0.526,20,0.5,1
2019-11-12,"Vines Center, Lynchburg, Virginia",South Carolina State,Liberty,Home,28.6,4,0.0,0,103.2,63.9,23,0.317,52,0.269,14,0.135,7,0.857,6,2,200,61.9,11.8,4,10,39,14.3,9,0.327,17,0.294,5,38.6,27,0.352,19.1,13,35,0.257,9,0.333,1
2019-11-18,"SHM Memorial Center, Orangeburg, South Carolina","Wilberforce
			",South Carolina State,Home,51.4,19,2.4,1,100.0,81.3,26,0.754,57,0.649,37,0.368,21,0.81,17,2,200,130.4,27.3,6,10,103,10.1,8,0.404,23,0.522,12,59.3,32,0.769,19.5,16,34,0.735,25,0.5,2
2019-11-22,"Memorial Gymnasium, Nashville, Tennessee",South Carolina State,Vanderbilt,Home,36.8,7,3.0,1,138.6,60.7,17,0.446,46,0.413,19,0.522,24,0.792,19,3,200,85.7,6.7,2,18,60,5.7,4,0.304,14,0.214,3,32.8,19,0.523,19.8,14,32,0.5,16,0.4,2
2019-11-25,"Winfield Dunn Center, Clarksville, Tennessee",South Carolina State,Austin Peay,Home,37.5,9,0.0,0,133.3,48.0,12,0.447,57,0.421,24,0.281,16,0.938,15,4,200,95.7,33.3,9,24,66,10.1,7,0.193,11,0.273,3,40.4,21,0.511,16.9,13,46,0.457,21,0.333,2
2019-11-27,"Donald W. Reynolds Center, Tulsa, Oklahoma",South Carolina State,Tulsa,Home,66.7,12,3.4,1,130.0,72.0,18,0.38,54,0.333,18,0.148,8,0.75,6,5,200,78.3,32.4,11,12,47,6.7,4,0.389,21,0.238,5,49.2,29,0.407,17.3,12,33,0.394,13,0.286,2
2019-12-07,"SHM Memorial Center, Orangeburg, South Carolina",Presbyterian,South Carolina State,Home,71.4,20,5.0,2,95.8,70.6,24,0.492,63,0.444,28,0.381,24,0.75,18,5,200,112.7,28.2,11,17,80,12.7,9,0.286,18,0.333,6,47.9,35,0.538,9.8,8,45,0.489,22,0.375,3
2019-12-11,"SHM Memorial Center, Orangeburg, South Carolina",UNC Asheville,South Carolina State,Home,31.0,9,7.7,3,98.8,78.4,29,0.527,56,0.518,29,0.679,38,0.816,31,5,225,104.7,22.2,6,22,90,1.2,1,0.125,7,0.143,1,54.7,35,0.608,20.7,19,49,0.571,28,0.444,4
2019-12-18,"SHM Memorial Center, Orangeburg, South Carolina",USC Upstate,South Carolina State,Away,42.9,9,5.9,2,110.6,79.3,23,0.479,48,0.438,21,0.583,28,0.857,24,6,200,106.1,28.0,7,18,70,3.0,2,0.375,18,0.222,4,55.6,30,0.571,15.4,11,30,0.567,17,0.4,4
