date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"The Colonial Life Arena, Columbia, South Carolina",North Alabama,South Carolina,Home,46.4,13,12.5,5,66.3,67.5,27,0.509,57,0.491,28,0.632,36,0.528,19,0,200,92.8,29.0,9,27,77,9.6,8,0.158,9,0.222,2,50.7,36,0.52,21.5,20,48,0.542,26,1.0,1
2019-11-10,"The Colonial Life Arena, Columbia, South Carolina",Wyoming,South Carolina,Home,56.0,14,22.7,5,51.6,90.9,30,0.5,59,0.424,25,0.203,12,0.583,7,0,200,106.5,33.3,9,20,66,14.5,9,0.458,27,0.333,9,65.0,39,0.51,13.5,10,32,0.5,16,1.0,2
2019-11-15,"The Colonial Life Arena, Columbia, South Carolina",Cleveland State,South Carolina,Home,45.2,14,12.5,5,75.9,69.0,20,0.427,82,0.378,31,0.378,31,0.645,20,0,200,108.4,47.1,24,20,90,16.9,14,0.305,25,0.32,8,55.0,44,0.465,9.5,10,57,0.404,23,1.0,3
2019-11-19,"The Colonial Life Arena, Columbia, South Carolina",Boston University,South Carolina,Away,51.9,14,12.8,5,105.4,69.4,25,0.433,67,0.403,27,0.313,21,0.571,12,1,200,94.6,37.5,15,16,70,8.1,6,0.328,22,0.182,4,52.6,40,0.455,13.6,12,45,0.511,23,0.75,3
2019-11-22,"The Colonial Life Arena, Columbia, South Carolina",Gardner-Webb,South Carolina,Home,63.0,17,25.7,9,100.0,85.2,23,0.476,62,0.435,27,0.274,17,0.882,15,1,200,107.2,29.6,8,17,74,8.7,6,0.306,19,0.263,5,57.4,31,0.528,9.2,7,43,0.512,22,0.8,4
2019-11-26,"Hard Rock Hotel Riviera Maya, Cancun",Wichita State,South Carolina,Away,44.4,8,13.8,4,95.9,68.8,22,0.348,56,0.321,18,0.304,17,0.471,8,2,200,64.4,25.6,10,24,47,12.3,9,0.179,10,0.3,3,45.1,32,0.367,23.0,19,46,0.326,15,0.667,4
2019-11-27,"Hard Rock Hotel Riviera Maya, Cancun",South Carolina,Northern Iowa,Home,43.3,13,12.9,4,111.4,80.0,20,0.558,60,0.5,30,0.183,11,0.455,5,3,200,102.9,20.0,5,21,72,10.0,7,0.317,19,0.368,7,50.0,25,0.552,12.2,9,41,0.561,23,0.571,4
2019-12-01,"The Colonial Life Arena, Columbia, South Carolina",George Washington,South Carolina,Home,53.3,16,18.2,6,94.2,76.7,33,0.553,57,0.526,30,0.316,18,0.611,11,3,200,107.2,32.1,9,14,74,1.4,1,0.246,14,0.214,3,59.2,42,0.564,15.6,12,43,0.628,27,0.625,5
2019-12-04,"Mullins Center, Amherst, Massachusetts",South Carolina,UMass,Away,66.7,22,7.7,2,102.6,73.1,19,0.567,60,0.55,33,0.433,26,0.615,16,3,200,107.7,30.0,9,26,84,11.5,9,0.167,10,0.2,2,50.0,28,0.581,17.4,15,50,0.62,31,0.667,6
2019-12-08,"The Colonial Life Arena, Columbia, South Carolina",Houston,South Carolina,Away,70.0,14,11.4,4,111.8,57.1,16,0.371,62,0.323,20,0.258,16,0.625,10,4,200,82.4,23.5,8,20,56,5.9,4,0.403,25,0.24,6,38.7,24,0.402,10.4,8,37,0.378,14,0.6,6
2019-12-15,"Littlejohn Coliseum, Clemson, South Carolina",South Carolina,Clemson,Away,47.8,11,16.7,3,78.3,73.7,28,0.529,51,0.451,23,0.373,19,0.684,13,4,200,97.1,31.3,10,24,67,14.5,10,0.353,18,0.444,8,54.3,38,0.558,22.3,17,33,0.455,15,0.636,7
2019-12-22,"John Paul Jones Arena, Charlottesville, Virginia",South Carolina,Virginia,Away,37.0,10,8.7,2,93.7,70.8,17,0.612,49,0.551,27,0.286,14,0.714,10,4,200,111.1,25.0,6,20,70,22.2,14,0.347,17,0.353,6,47.9,23,0.629,17.9,12,32,0.656,21,0.667,8
2019-12-30,"The Colonial Life Arena, Columbia, South Carolina",Stetson,South Carolina,Away,65.0,13,14.3,4,92.6,75.0,24,0.407,54,0.37,20,0.444,24,0.5,12,5,200,82.4,33.3,12,27,56,8.8,6,0.352,19,0.211,4,52.9,36,0.428,18.9,15,35,0.457,16,0.615,8
2020-01-07,"The Colonial Life Arena, Columbia, South Carolina",Florida,South Carolina,Away,47.8,11,6.8,3,106.6,69.0,20,0.417,60,0.383,23,0.4,24,0.75,18,6,200,89.5,21.1,8,21,68,6.6,5,0.25,15,0.267,4,41.8,28,0.476,16.6,14,45,0.422,19,0.571,8
2020-01-11,"Thompson-Boling Arena, Knoxville, Tennessee",South Carolina,Tennessee,Home,45.0,9,34.8,8,72.7,73.5,25,0.344,61,0.328,20,0.361,22,0.591,13,7,200,71.4,32.5,13,29,55,15.6,12,0.213,13,0.154,2,51.4,38,0.385,20.3,18,48,0.375,18,0.533,8
2020-01-15,"The Colonial Life Arena, Columbia, South Carolina",Kentucky,South Carolina,Home,44.8,13,7.5,3,98.7,69.7,23,0.445,73,0.397,29,0.411,30,0.533,16,7,200,102.5,33.3,15,28,81,6.3,5,0.26,19,0.368,7,48.7,38,0.464,9.5,9,54,0.407,22,0.562,9
2020-01-18,"Reed Arena, College Station, Texas",South Carolina,Texas A&M,Away,75.9,22,10.0,3,97.1,79.3,23,0.617,60,0.483,29,0.133,8,0.875,7,7,200,117.4,40.7,11,27,81,11.6,8,0.5,30,0.533,16,60.7,34,0.635,19.1,15,30,0.433,13,0.588,10
2020-01-22,"Auburn Arena, Auburn, Alabama",South Carolina,Auburn,Home,55.2,16,10.0,3,115.9,73.3,22,0.525,61,0.475,29,0.148,9,0.333,3,8,200,97.1,22.2,8,17,67,10.1,7,0.344,21,0.286,6,45.5,30,0.513,14.5,11,40,0.575,23,0.556,10
2020-01-25,"The Colonial Life Arena, Columbia, South Carolina",Vanderbilt,South Carolina,Home,60.6,20,7.4,2,87.7,75.0,30,0.598,61,0.541,33,0.393,24,0.708,17,8,200,123.3,35.5,11,29,90,8.2,6,0.295,18,0.389,7,57.7,41,0.622,13.3,11,43,0.605,26,0.579,11
2020-01-29,"Bud Walton Arena, Fayetteville, Arkansas",South Carolina,Arkansas,Away,50.0,14,7.1,2,93.9,83.8,31,0.564,55,0.509,28,0.6,33,0.515,17,8,200,96.3,15.6,5,33,79,4.9,4,0.364,20,0.3,6,52.2,36,0.559,18.7,16,35,0.629,22,0.6,12
2020-02-01,"The Colonial Life Arena, Columbia, South Carolina",Missouri,South Carolina,Home,56.0,14,23.1,9,75.0,78.4,29,0.592,49,0.51,25,0.653,32,0.563,18,8,200,105.6,19.2,5,17,76,13.9,10,0.449,22,0.364,8,54.0,34,0.592,13.7,10,27,0.63,17,0.619,13
2020-02-05,"The Pavilion at Ole Miss, Oxford, Mississippi",South Carolina,Ole Miss,Home,69.6,16,6.7,3,107.7,67.9,19,0.464,56,0.411,23,0.411,23,0.783,18,9,200,89.7,8.0,2,25,70,6.4,5,0.357,20,0.3,6,39.6,21,0.523,17.5,14,36,0.472,17,0.591,13
2020-02-08,"The Colonial Life Arena, Columbia, South Carolina",Texas A&M,South Carolina,Home,56.5,13,28.6,8,71.1,71.0,22,0.458,59,0.39,23,0.458,27,0.741,20,9,200,97.4,27.8,10,23,74,17.1,13,0.39,23,0.348,8,47.8,32,0.515,15.5,13,36,0.417,15,0.609,14
2020-02-12,"Stegeman Coliseum, Athens, Georgia",South Carolina,Georgia,Away,58.6,17,10.7,3,78.7,80.6,29,0.492,65,0.446,29,0.292,19,0.579,11,9,200,100.0,33.3,12,20,75,13.3,10,0.262,17,0.353,6,56.9,41,0.507,13.0,11,48,0.479,23,0.625,15
2020-02-15,"The Colonial Life Arena, Columbia, South Carolina",Tennessee,South Carolina,Home,30.0,6,15.2,5,87.1,69.0,20,0.44,50,0.4,20,0.64,32,0.594,19,9,200,90.0,32.3,10,24,63,7.1,5,0.26,13,0.308,4,50.0,30,0.483,17.9,14,37,0.432,16,0.64,16
2020-02-19,"Humphrey Coliseum, Starkville, Mississippi",South Carolina,Mississippi State,Home,58.6,17,2.9,1,101.3,77.8,21,0.517,60,0.483,29,0.317,19,0.737,14,10,200,97.4,23.5,8,24,76,14.1,11,0.283,17,0.235,4,47.5,29,0.551,18.0,15,43,0.581,25,0.615,16
2020-02-22,"The Colonial Life Arena, Columbia, South Carolina",LSU,South Carolina,Away,42.9,12,13.9,5,108.9,69.7,23,0.433,75,0.373,28,0.333,25,0.6,15,11,200,101.3,38.6,17,22,80,10.1,8,0.333,25,0.36,9,51.9,40,0.46,11.3,11,50,0.38,19,0.593,16
2020-02-26,"The Colonial Life Arena, Columbia, South Carolina",Georgia,South Carolina,Home,64.7,22,15.8,6,104.7,71.8,28,0.5,71,0.479,34,0.521,37,0.622,23,11,225,109.3,29.3,12,26,94,5.8,5,0.225,16,0.188,3,50.0,40,0.531,10.3,10,55,0.564,31,0.607,17
2020-02-29,"Coleman Coliseum , Tuscaloosa, Alabama",South Carolina,Alabama,Home,43.8,14,6.5,2,113.9,66.7,22,0.493,70,0.457,32,0.371,26,0.654,17,12,200,108.9,24.4,10,29,86,10.1,8,0.2,14,0.357,5,43.2,32,0.522,10.0,9,56,0.482,27,0.586,17
2020-03-03,"The Colonial Life Arena, Columbia, South Carolina",Mississippi State,South Carolina,Home,62.5,20,9.5,4,98.6,64.7,22,0.523,66,0.485,32,0.288,19,0.737,14,12,200,115.3,27.6,8,23,83,9.7,7,0.167,11,0.455,5,47.6,30,0.553,8.6,7,55,0.491,27,0.6,18
2020-03-07,"Memorial Gymnasium, Nashville, Tennessee",South Carolina,Vanderbilt,Home,37.0,10,20.7,6,105.1,68.8,22,0.444,62,0.435,27,0.403,25,0.76,19,13,200,93.7,33.3,12,30,74,10.1,8,0.21,13,0.077,1,50.0,34,0.501,19.8,18,49,0.531,26,0.581,18
