date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Frost Arena, Brookings, South Dakota",Texas-Rio Grande Valley,South Dakota State,Home,51.9,14,1.8,1,77.0,81.3,39,0.492,59,0.458,27,0.356,21,0.571,12,0,200,94.6,25.7,9,16,70,5.4,4,0.288,17,0.235,4,57.8,48,0.507,13.9,11,42,0.548,23,1.0,1
2019-11-07,"Frost Arena, Brookings, South Dakota","Peru State
			",South Dakota State,Home,40.0,12,15.4,4,77.3,75.6,31,0.508,65,0.462,30,0.4,26,0.769,20,0,199,114.7,47.4,18,15,86,10.7,8,0.354,23,0.261,6,62.0,49,0.556,16.4,15,42,0.571,24,1.0,2
2019-11-09,"Icardo Center, Bakersfield, California",South Dakota State,Cal State Bakersfield,Away,40.0,12,3.1,2,103.4,64.6,31,0.548,63,0.476,30,0.476,30,0.8,24,0,250,105.7,25.0,9,24,93,8.0,7,0.381,24,0.375,9,47.6,40,0.602,20.0,19,39,0.538,21,1.0,3
2019-11-12,"Galen Center, Los Angeles, California",South Dakota State,USC,Home,56.5,13,2.5,1,107.7,65.9,27,0.45,60,0.383,23,0.267,16,0.75,12,1,200,84.6,24.3,9,26,66,9.0,7,0.517,31,0.258,8,46.2,36,0.488,21.2,18,29,0.517,15,0.75,3
2019-11-15,"Pinnacle Bank Arena, Lincoln, Nebraska",South Dakota State,Nebraska,Home,24.1,7,8.9,4,111.1,71.8,28,0.436,70,0.414,29,0.257,18,0.667,12,2,200,90.1,25.6,11,20,73,6.2,5,0.3,21,0.143,3,47.6,39,0.465,13.3,12,49,0.531,26,0.6,3
2019-11-19,"Frost Arena, Brookings, South Dakota",North Alabama,South Dakota State,Home,52.2,12,8.1,3,102.8,82.9,29,0.564,47,0.489,23,0.702,33,0.758,25,2,200,109.9,33.3,9,14,78,4.2,3,0.362,17,0.412,7,61.3,38,0.622,22.6,18,30,0.533,16,0.667,4
2019-11-21,"McKale Center, Tucson, Arizona",South Dakota State,Arizona,Home,59.1,13,8.3,3,102.9,61.1,22,0.543,47,0.468,22,0.404,19,0.684,13,3,200,92.8,28.0,7,26,64,8.7,6,0.404,19,0.368,7,47.5,29,0.571,27.5,21,28,0.536,15,0.571,4
2019-11-24,"Frost Arena, Brookings, South Dakota",Mississippi Valley State,South Dakota State,Home,57.6,19,6.7,3,79.4,78.0,32,0.638,58,0.569,33,0.259,15,0.667,10,3,200,123.5,34.8,8,7,84,7.4,5,0.431,25,0.32,8,62.5,40,0.645,13.4,10,33,0.758,25,0.625,5
2019-11-27,"Frost Arena, Brookings, South Dakota",Samford,South Dakota State,Home,58.6,17,7.5,3,108.5,67.7,21,0.558,60,0.483,29,0.417,25,0.76,19,3,200,121.1,45.2,14,12,86,9.9,7,0.4,24,0.375,9,56.5,35,0.598,14.5,12,36,0.556,20,0.667,6
2019-11-30,"Assembly Hall, Bloomington, Indiana",South Dakota State,Indiana,Home,42.1,8,5.3,2,92.8,55.6,20,0.393,56,0.339,19,0.143,8,0.75,6,4,200,72.5,15.2,5,16,50,8.7,6,0.5,28,0.214,6,36.2,25,0.418,20.1,15,28,0.464,13,0.6,6
