date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"Devlin Fieldhouse, New Orleans, Louisiana",Southeastern Louisiana,Tulane,Home,54.2,13,5.7,2,100.0,74.4,29,0.434,61,0.393,24,0.18,11,0.182,2,1,200,72.4,24.4,10,24,55,3.9,3,0.459,28,0.179,5,48.8,39,0.415,22.4,19,33,0.576,19,0.0,0
2019-11-11,"University Center, Hammond, Louisiana","Xavier (LA)
			",Southeastern Louisiana,Home,48.1,13,0.0,0,90.9,79.2,19,0.516,62,0.435,27,0.29,18,0.722,13,1,200,100.0,26.7,8,15,77,13.0,10,0.484,30,0.333,10,50.0,27,0.546,17.7,15,32,0.531,17,0.5,1
2019-11-13,"University Center, Hammond, Louisiana",Grambling,Southeastern Louisiana,Away,46.2,12,8.9,4,105.2,69.7,23,0.492,59,0.441,26,0.339,20,0.6,12,2,200,90.9,26.5,9,26,70,6.5,5,0.373,22,0.273,6,47.8,32,0.511,20.0,17,37,0.541,20,0.333,1
2019-11-17,"University Center, Hammond, Louisiana","Mobile
			",Southeastern Louisiana,Home,47.8,11,16.3,7,77.3,55.2,16,0.405,63,0.365,23,0.397,25,0.56,14,2,200,86.7,40.0,16,15,65,22.7,17,0.349,22,0.227,5,46.4,32,0.434,14.9,13,41,0.439,18,0.5,2
2019-11-20,"Donald W. Reynolds Center, Tulsa, Oklahoma",Southeastern Louisiana,Tulsa,Home,40.7,11,5.6,2,98.6,71.0,22,0.448,67,0.403,27,0.179,12,0.5,6,3,200,89.2,31.0,13,24,66,12.2,9,0.313,21,0.286,6,47.9,35,0.454,15.2,13,46,0.457,21,0.4,2
2019-11-23,"Winfield Dunn Center, Clarksville, Tennessee",Southeastern Louisiana,Austin Peay,Home,54.2,13,8.6,3,105.2,62.1,18,0.396,72,0.333,24,0.083,6,0.5,3,4,200,77.9,26.7,12,21,60,10.4,8,0.333,24,0.375,9,40.5,30,0.401,17.7,16,48,0.313,15,0.333,2
2019-11-25,"Memorial Gymnasium, Nashville, Tennessee",Southeastern Louisiana,Vanderbilt,Home,28.6,8,0.0,0,102.6,69.4,25,0.407,70,0.4,28,0.243,17,0.765,13,5,200,92.1,32.5,13,19,70,7.9,6,0.229,16,0.063,1,50.0,38,0.448,13.4,12,54,0.5,27,0.286,2
2019-12-03,"Cajundome, Lafayette, Louisiana",Southeastern Louisiana,Louisiana,Home,30.0,9,0.0,0,119.5,52.0,13,0.5,68,0.441,30,0.294,20,0.65,13,6,200,98.8,22.2,8,25,81,8.5,7,0.441,30,0.267,8,34.4,21,0.523,17.2,16,38,0.579,22,0.25,2
2019-12-06,"University Center, Hammond, Louisiana","Southern-New Orleans
			",Southeastern Louisiana,Home,50.0,15,4.8,2,90.2,75.8,25,0.508,61,0.492,30,0.344,21,0.81,17,6,200,96.3,28.6,8,12,79,14.6,12,0.197,12,0.167,2,54.1,33,0.557,22.2,20,49,0.571,28,0.333,3
2019-12-18,"Montagne Center, Beaumont, Texas",Southeastern Louisiana,Lamar,Home,50.0,14,3.8,2,108.2,53.1,26,0.516,63,0.444,28,0.222,14,0.571,8,7,225,100.0,29.7,11,18,73,6.8,5,0.413,26,0.346,9,43.0,37,0.524,17.8,15,37,0.514,19,0.3,3
2019-12-21,"University Center, Hammond, Louisiana",Southeastern Louisiana,Ole Miss,Home,75.0,24,0.0,0,120.3,54.8,17,0.673,55,0.582,32,0.091,5,0.4,2,8,200,110.1,17.4,4,26,76,2.9,2,0.273,15,0.667,10,38.9,21,0.662,21.9,16,40,0.55,22,0.273,3
2019-12-29,"Gallagher-Iba Arena, Stillwater, Oklahoma",Southeastern Louisiana,Oklahoma State,Home,38.5,5,0.0,0,117.1,64.7,22,0.233,58,0.224,13,0.172,10,0.4,4,9,200,44.3,21.3,10,19,31,5.7,4,0.345,20,0.05,1,39.5,32,0.247,21.4,17,38,0.316,12,0.25,3
2020-01-02,"University Center, Hammond, Louisiana",Stephen F. Austin,Southeastern Louisiana,Away,56.0,14,5.1,2,110.8,60.0,18,0.518,57,0.439,25,0.281,16,0.75,12,10,200,95.9,26.5,9,23,71,10.8,8,0.491,28,0.321,9,42.2,27,0.55,22.9,19,29,0.552,16,0.231,3
2020-01-04,"American Bank Center, Corpus Christi, Texas",Southeastern Louisiana,Texas A&M-Corpus Christi,Away,46.2,12,0.0,0,108.1,80.0,16,0.582,49,0.531,26,0.714,35,0.771,27,10,200,113.5,8.3,2,24,84,13.5,10,0.204,10,0.5,5,40.9,18,0.64,12.3,9,39,0.538,21,0.286,4
2020-01-08,"Johnson Coliseum, Huntsville, Texas",Southeastern Louisiana,Sam Houston State,Home,68.2,15,4.8,2,91.8,70.6,24,0.519,54,0.407,22,0.185,10,0.6,6,11,200,84.9,25.0,7,20,62,13.7,10,0.426,23,0.522,12,50.0,31,0.528,26.4,21,31,0.323,10,0.267,4
2020-01-11,"University Center, Hammond, Louisiana",Nicholls State,Southeastern Louisiana,Away,52.9,9,0.0,0,95.8,59.3,16,0.388,49,0.347,17,0.571,28,0.714,20,12,200,80.6,18.2,6,17,58,13.9,10,0.347,17,0.235,4,36.7,22,0.465,22.7,18,32,0.406,13,0.25,4
2020-01-15,"University Center, Hammond, Louisiana",Texas A&M-Corpus Christi,Southeastern Louisiana,Home,38.1,8,10.3,3,77.8,73.3,22,0.395,57,0.368,21,0.404,23,0.739,17,12,200,86.1,23.1,9,13,62,13.9,10,0.281,16,0.188,3,44.9,31,0.456,16.2,13,41,0.439,18,0.294,5
2020-01-18,"Moody Coliseum , Abilene, Texas",Southeastern Louisiana,Abilene Christian,Home,33.3,6,5.9,2,105.6,70.0,21,0.408,49,0.367,18,0.388,19,0.789,15,13,200,76.4,30.8,8,28,55,9.7,7,0.408,20,0.2,4,51.8,29,0.474,29.5,24,29,0.483,14,0.278,5
2020-01-22,"University Center, Hammond, Louisiana",McNeese State,Southeastern Louisiana,Away,54.5,12,3.1,1,102.7,68.0,17,0.425,60,0.367,22,0.25,15,0.667,10,14,200,81.3,25.7,9,19,61,13.3,10,0.35,21,0.333,7,43.3,26,0.454,22.2,19,39,0.385,15,0.263,5
2020-01-25,"Prather Coliseum, Natchitoches, Louisiana",Southeastern Louisiana,Northwestern State,Away,53.6,15,0.0,0,93.1,71.1,27,0.478,69,0.406,28,0.391,27,0.667,18,14,225,96.6,22.2,10,27,84,6.9,6,0.377,26,0.385,10,44.6,37,0.513,16.5,16,43,0.419,18,0.3,6
2020-01-29,"Jeff Farris Center, Conway, Arkansas",Southeastern Louisiana,Central Arkansas,Home,37.9,11,7.7,3,112.8,62.5,20,0.508,62,0.468,29,0.258,16,0.313,5,15,200,87.2,17.6,6,25,68,14.1,11,0.306,19,0.263,5,39.4,26,0.489,19.8,17,43,0.558,24,0.286,6
2020-02-01,"University Center, Hammond, Louisiana",New Orleans,Southeastern Louisiana,Away,60.0,15,13.5,5,116.7,63.6,14,0.475,61,0.41,25,0.328,20,0.75,15,16,200,101.4,29.0,9,20,73,11.1,8,0.459,28,0.286,8,43.4,23,0.518,13.6,11,33,0.515,17,0.273,6
2020-02-05,"University Center, Hammond, Louisiana",Houston Baptist,Southeastern Louisiana,Away,37.9,11,3.2,1,102.6,63.3,19,0.41,78,0.372,29,0.244,19,0.632,12,17,200,98.7,40.0,20,21,76,13.0,10,0.308,24,0.25,6,48.8,39,0.437,11.3,11,54,0.426,23,0.261,6
2020-02-08,"McDermott Center, San Antonio, Texas",Southeastern Louisiana,Incarnate Word,Home,84.0,21,5.4,2,101.2,92.6,25,0.518,56,0.446,25,0.393,22,0.773,17,18,225,92.6,25.9,7,28,75,3.7,3,0.375,21,0.381,8,59.3,32,0.564,25.1,22,35,0.486,17,0.25,6
2020-02-12,"University Center, Hammond, Louisiana",Sam Houston State,Southeastern Louisiana,Away,47.8,11,5.3,2,108.2,74.1,20,0.482,55,0.418,23,0.473,26,0.654,17,19,200,95.9,28.6,10,20,70,15.1,11,0.491,27,0.259,7,48.4,30,0.52,19.4,16,28,0.571,16,0.24,6
2020-02-15,"David Stopher Gymnasium, Thibodaux, Louisiana",Southeastern Louisiana,Nicholls State,Home,68.2,15,5.1,2,106.6,70.4,19,0.43,57,0.386,22,0.526,30,0.733,22,20,200,93.4,29.0,9,16,71,7.9,6,0.351,20,0.25,5,48.3,28,0.498,19.5,17,37,0.459,17,0.231,6
2020-02-22,"University Center, Hammond, Louisiana",Abilene Christian,Southeastern Louisiana,Away,56.0,14,5.4,2,105.6,60.7,17,0.5,54,0.463,25,0.333,18,0.833,15,21,200,97.2,24.1,7,23,69,9.9,7,0.259,14,0.286,4,42.1,24,0.552,20.5,16,40,0.525,21,0.222,6
2020-02-26,"H&HP Complex, Lake Charles, Louisiana",Southeastern Louisiana,McNeese State,Home,37.0,10,0.0,0,131.6,73.9,17,0.5,62,0.435,27,0.435,27,0.741,20,22,200,103.8,31.6,12,21,82,11.4,9,0.387,24,0.333,8,47.5,29,0.548,16.9,15,38,0.5,19,0.214,6
2020-02-29,"University Center, Hammond, Louisiana",Northwestern State,Southeastern Louisiana,Home,44.4,16,3.9,2,116.5,57.9,22,0.631,65,0.554,36,0.308,20,0.65,13,22,200,120.3,37.0,10,21,95,1.3,1,0.323,21,0.476,10,49.2,32,0.638,17.8,16,44,0.591,26,0.241,7
2020-03-04,"University Center, Hammond, Louisiana",Central Arkansas,Southeastern Louisiana,Home,40.9,9,13.5,5,87.8,63.9,23,0.449,59,0.373,22,0.322,19,0.842,16,22,200,93.2,20.0,7,25,69,18.9,14,0.424,25,0.36,9,42.3,30,0.507,17.2,14,34,0.382,13,0.267,8
2020-03-07,"Kiefer Lakefront Arena, New Orleans , Louisiana",Southeastern Louisiana,New Orleans,Home,52.0,13,7.9,3,102.6,57.9,11,0.426,61,0.41,25,0.41,25,0.68,17,23,200,89.6,34.3,12,19,69,11.7,9,0.311,19,0.105,2,42.6,23,0.473,19.1,17,42,0.548,23,0.258,8
