date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"The SIU Arena, Carbondale, Illinois","Illinois Wesleyan
			",Southern Illinois,Home,61.3,19,6.0,3,65.8,62.2,28,0.548,63,0.492,31,0.19,12,0.583,7,0,200,104.1,17.1,6,7,76,8.2,6,0.397,25,0.28,7,42.5,34,0.553,11.6,9,38,0.632,24,1.0,1
2019-11-08,"Silver Spurs Arena, Kissimmee, Florida",UTSA,Southern Illinois,Home,62.5,15,10.7,3,83.3,70.0,21,0.539,51,0.471,24,0.451,23,0.739,17,0,200,100.0,7.4,2,19,72,9.7,7,0.431,22,0.318,7,40.4,23,0.581,17.5,13,29,0.586,17,1.0,2
2019-11-09,"Silver Spurs Arena, Kissimmee, Florida",Delaware,Southern Illinois,Away,60.0,12,3.3,1,88.9,76.5,26,0.45,50,0.4,20,0.24,12,0.75,9,1,200,85.7,20.7,6,14,54,6.3,4,0.34,17,0.294,5,50.8,32,0.485,17.8,12,33,0.455,15,0.667,2
2019-11-10,"Silver Spurs Arena, Kissimmee, Florida",Southern Illinois,Oakland,Home,47.6,10,2.6,1,96.8,61.5,16,0.462,53,0.396,21,0.113,6,0.5,3,2,200,82.5,3.4,1,13,52,15.9,10,0.566,30,0.233,7,30.9,17,0.466,12.6,8,23,0.609,14,0.5,2
2019-11-16,"The SIU Arena, Carbondale, Illinois",San Francisco,Southern Illinois,Away,40.9,9,10.3,3,116.9,57.1,16,0.51,48,0.458,22,0.333,16,0.688,11,3,200,92.3,11.5,3,8,60,9.2,6,0.292,14,0.357,5,35.2,19,0.54,17.9,12,34,0.5,17,0.4,2
2019-11-19,"CFSB Center, Murray, Kentucky",Southern Illinois,Murray State,Home,40.9,9,10.5,4,116.2,67.9,19,0.447,57,0.386,22,0.421,24,0.625,15,4,200,97.1,25.0,10,23,66,8.8,6,0.368,21,0.333,7,42.6,29,0.482,12.9,10,36,0.417,15,0.333,2
2019-11-26,"The SIU Arena, Carbondale, Illinois",North Carolina Central,Southern Illinois,Home,69.6,16,12.9,4,81.4,71.0,22,0.667,42,0.548,23,0.214,9,0.889,8,4,200,108.5,15.8,3,12,64,6.8,4,0.405,17,0.588,10,50.0,25,0.692,23.3,14,25,0.52,13,0.429,3
2019-12-01,"Chaifetz Arena, St. Louis, Missouri",Southern Illinois,Saint Louis,Home,56.5,13,2.7,1,106.2,66.7,22,0.461,51,0.451,23,0.392,20,0.65,13,5,200,92.3,10.3,3,18,60,12.3,8,0.216,11,0.091,1,40.3,25,0.496,10.5,7,40,0.55,22,0.375,3
2019-12-04,"The SIU Arena, Carbondale, Illinois",Norfolk State,Southern Illinois,Home,80.8,21,5.9,2,93.7,73.3,22,0.611,54,0.481,26,0.204,11,0.909,10,5,200,120.6,39.3,11,12,76,12.7,8,0.556,30,0.467,14,56.9,33,0.642,19.2,14,24,0.5,12,0.444,4
2019-12-07,"Reed Green Coliseum, Hattiesburg, Mississippi",Southern Illinois,Southern Miss,Home,47.6,10,2.9,1,107.5,81.0,17,0.581,43,0.488,21,0.628,27,0.704,19,6,200,103.0,22.7,5,18,69,9.0,6,0.535,23,0.348,8,51.2,22,0.618,23.7,17,20,0.65,13,0.4,4
2019-12-15,"Mizzou Arena, Columbia, Missouri",Southern Illinois,Missouri,Home,40.0,4,9.4,3,108.5,53.6,15,0.368,34,0.294,10,0.765,26,0.885,23,7,200,81.4,17.4,4,13,48,8.5,5,0.5,17,0.294,5,37.3,19,0.518,24.8,15,17,0.294,5,0.364,4
2019-12-18,"The SIU Arena, Carbondale, Illinois",Hampton,Southern Illinois,Home,70.4,19,0.0,0,81.5,70.6,24,0.555,55,0.491,27,0.309,17,0.824,14,7,200,115.4,35.7,10,20,75,10.8,7,0.436,24,0.292,7,54.8,34,0.595,15.0,11,31,0.645,20,0.417,5
2019-12-21,"The SIU Arena, Carbondale, Illinois",Southeast Missouri State,Southern Illinois,Home,69.6,16,2.8,1,76.3,71.4,25,0.5,54,0.426,23,0.259,14,0.714,10,7,200,108.5,33.3,11,16,64,10.2,6,0.426,23,0.348,8,52.9,36,0.528,11.7,8,31,0.484,15,0.462,6
2019-12-30,"Hulman Center, Terre Haute, Indiana",Southern Illinois,Indiana State,Home,31.8,7,9.5,4,106.3,77.4,24,0.49,50,0.44,22,0.26,13,0.538,7,8,200,87.5,16.7,5,16,56,6.3,4,0.36,18,0.278,5,47.5,29,0.498,18.9,13,32,0.531,17,0.429,6
2020-01-04,"The SIU Arena, Carbondale, Illinois",Illinois State,Southern Illinois,Home,52.2,12,0.0,0,77.5,87.5,28,0.52,50,0.46,23,0.4,20,0.75,15,8,200,94.4,28.6,8,21,67,11.3,8,0.34,17,0.353,6,60.0,36,0.563,23.4,18,33,0.515,17,0.467,7
2020-01-07,"The SIU Arena, Carbondale, Illinois",Valparaiso,Southern Illinois,Home,68.2,15,5.9,2,79.4,66.7,28,0.578,45,0.489,22,0.333,15,0.733,11,8,200,100.0,16.0,4,15,63,12.7,8,0.356,16,0.5,8,47.8,32,0.604,21.3,14,29,0.483,14,0.5,8
2020-01-11,"Carver Arena, Peoria, Illinois",Southern Illinois,Bradley,Home,37.5,6,6.1,2,104.7,59.4,19,0.342,57,0.281,16,0.175,10,0.9,9,9,200,75.0,30.8,12,15,48,10.9,7,0.474,27,0.259,7,43.7,31,0.389,19.6,15,30,0.3,9,0.471,8
2020-01-16,"Joseph J. Gentile Center, Chicago, Illinois",Southern Illinois,Loyola (IL),Home,52.6,10,8.3,3,106.7,87.5,21,0.398,54,0.352,19,0.093,5,1.0,5,10,200,80.0,6.7,2,15,48,6.7,4,0.481,26,0.192,5,42.6,23,0.426,11.1,7,28,0.5,14,0.444,8
2020-01-19,"The SIU Arena, Carbondale, Illinois",Drake,Southern Illinois,Home,66.7,14,0.0,0,75.4,87.5,28,0.49,51,0.412,21,0.431,22,0.727,16,10,200,101.5,15.6,5,10,66,12.3,8,0.471,24,0.333,8,51.6,33,0.537,10.3,7,27,0.481,13,0.474,9
