date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Rose Hill Gym, Bronx, New York",St. Francis (NY),Fordham,Home,60.9,14,10.0,4,100.0,70.0,28,0.52,51,0.451,23,0.176,9,0.667,6,1,200,86.8,15.4,4,27,59,10.3,7,0.49,25,0.28,7,48.5,32,0.534,22.5,16,26,0.615,16,0.0,0
2019-11-09,"Pope Physical Education Center, Brooklyn Heights, New York",Lafayette,St. Francis (NY),Home,26.9,7,15.2,5,94.7,82.4,28,0.5,57,0.456,26,0.333,19,0.842,16,1,200,96.1,16.1,5,16,73,7.9,6,0.211,12,0.417,5,50.8,33,0.553,17.6,14,45,0.467,21,0.5,1
2019-11-14,"Willett Hall, Farmville, Virginia",St. Francis (NY),Longwood,Home,37.9,11,10.8,4,122.9,63.3,19,0.579,57,0.509,29,0.333,19,0.579,11,2,199,110.0,38.5,10,21,77,5.7,4,0.368,21,0.381,8,51.8,29,0.583,18.7,15,36,0.583,21,0.333,1
2019-11-16,"Reynolds Coliseum, Raleigh, North Carolina",St. Francis (NY),NC State,Home,28.0,7,8.8,5,117.3,60.5,23,0.409,66,0.379,25,0.258,17,0.588,10,3,200,79.0,34.9,15,21,64,6.2,5,0.227,15,0.267,4,46.9,38,0.432,21.4,20,51,0.412,21,0.25,1
2019-11-21,"Pope Physical Education Center, Brooklyn Heights, New York","Medgar Evers
			",St. Francis (NY),Home,56.3,27,13.2,5,65.2,95.0,38,0.619,88,0.545,48,0.205,18,0.722,13,3,200,137.1,43.6,17,18,122,10.1,9,0.398,35,0.371,13,69.6,55,0.632,9.4,10,53,0.66,35,0.4,2
2019-11-26,"Jack Stephens Center, Little Rock, Arkansas",St. Francis (NY),Little Rock,Home,42.1,8,5.4,2,91.8,74.4,29,0.398,54,0.352,19,0.389,21,0.619,13,4,200,76.7,18.9,7,26,56,4.1,3,0.37,20,0.25,5,47.4,36,0.438,20.2,16,34,0.412,14,0.333,2
2019-11-30,"Yanitelli Center, Jersey City, New Jersey",St. Francis (NY),St. Peter's,Home,40.9,9,8.7,4,104.7,51.3,20,0.425,60,0.367,22,0.2,12,0.667,8,5,200,92.2,25.0,9,21,59,10.9,7,0.3,18,0.389,7,38.7,29,0.449,9.7,7,42,0.357,15,0.286,2
2019-12-05,"Chase Family Arena, Hartford, Connecticut",St. Francis (NY),Hartford,Away,54.8,17,3.8,1,100.0,92.9,26,0.532,63,0.492,31,0.365,23,0.739,17,5,200,107.7,30.3,10,23,84,7.7,6,0.302,19,0.263,5,59.0,36,0.568,17.0,15,44,0.591,26,0.375,3
2019-12-07,"Costello Athletic Center, Lowell, Massachusetts",St. Francis (NY),UMass-Lowell,Home,38.5,10,2.6,1,127.0,71.4,15,0.433,67,0.388,26,0.134,9,0.556,5,6,200,85.1,28.9,11,17,63,5.4,4,0.358,24,0.25,6,44.1,26,0.442,17.4,15,43,0.465,20,0.333,3
2019-12-10,"Pope Physical Education Center, Brooklyn Heights, New York",Presbyterian,St. Francis (NY),Home,41.7,10,9.7,3,92.6,81.5,22,0.434,61,0.393,24,0.279,17,0.647,11,6,200,94.1,28.2,11,18,64,11.8,8,0.328,20,0.25,5,50.0,33,0.463,13.8,11,41,0.463,19,0.4,4
2019-12-14,"Pope Physical Education Center, Brooklyn Heights, New York",NJIT,St. Francis (NY),Home,33.3,8,12.8,5,94.7,73.5,25,0.467,60,0.4,24,0.4,24,0.708,17,6,200,97.3,16.7,6,22,73,5.3,4,0.333,20,0.4,8,44.3,31,0.511,11.3,9,40,0.4,16,0.455,5
2019-12-22,"Pope Physical Education Center, Brooklyn Heights, New York",Delaware State,St. Francis (NY),Home,44.8,13,2.5,1,80.5,73.0,27,0.492,64,0.453,29,0.359,23,0.783,18,6,200,105.2,22.6,7,15,81,10.4,8,0.375,24,0.208,5,50.0,34,0.541,11.9,10,40,0.6,24,0.5,6
2020-01-02,"Pope Physical Education Center, Brooklyn Heights, New York",Fairleigh Dickinson,St. Francis (NY),Home,59.3,16,11.6,5,85.1,77.8,28,0.534,59,0.458,27,0.339,20,0.8,16,6,200,106.8,26.5,9,18,79,12.2,9,0.39,23,0.391,9,52.9,37,0.577,16.1,13,36,0.5,18,0.538,7
2020-01-09,"UPMC Events Center, Moon, Pennsylvania",St. Francis (NY),Robert Morris,Home,45.0,9,10.0,4,114.7,80.8,21,0.397,58,0.345,20,0.155,9,0.667,6,7,200,76.5,25.0,9,13,52,5.9,4,0.414,24,0.25,6,48.4,30,0.418,17.3,13,34,0.412,14,0.5,7
2020-01-11,"DeGol Arena, Loretto, Pennsylvania",St. Francis (NY),Saint Francis (PA),Home,44.8,13,4.1,2,111.0,84.6,22,0.541,61,0.475,29,0.262,16,0.875,14,8,200,109.6,25.8,8,19,80,6.8,5,0.311,19,0.421,8,52.6,30,0.583,16.0,13,42,0.5,21,0.467,7
2020-01-15,"Pope Physical Education Center, Brooklyn Heights, New York",LIU,St. Francis (NY),Away,57.1,16,17.1,6,98.6,83.9,26,0.437,71,0.394,28,0.099,7,0.571,4,9,200,94.3,37.5,15,10,66,11.4,8,0.324,23,0.261,6,57.7,41,0.444,11.9,10,48,0.458,22,0.438,7
2020-01-18,"Spiro Sports Center, Staten Island, New York",St. Francis (NY),Wagner,Away,63.6,14,17.2,5,92.8,75.9,22,0.472,54,0.407,22,0.444,24,0.75,18,9,200,100.0,21.9,7,12,69,18.8,13,0.389,21,0.333,7,47.5,29,0.528,12.2,9,33,0.455,15,0.471,8
2020-01-20,"Knott Arena, Emmitsburg, Maryland",St. Francis (NY),Mount St. Mary's,Home,64.3,9,18.2,6,92.2,87.1,27,0.263,59,0.237,14,0.153,9,0.889,8,10,200,60.9,21.4,9,22,39,10.9,7,0.458,27,0.111,3,49.3,36,0.308,13.7,10,32,0.344,11,0.444,8
2020-01-23,"Pope Physical Education Center, Brooklyn Heights, New York",Robert Morris,St. Francis (NY),Home,60.0,18,11.1,5,82.6,78.9,30,0.589,56,0.536,30,0.268,15,0.8,12,10,200,113.0,18.5,5,10,78,4.3,3,0.268,15,0.4,6,53.8,35,0.618,14.9,11,41,0.585,24,0.474,9
