date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-16,"Williams Arena, Minneapolis, Minnesota",Stephen F. Austin,Minnesota,Home,60.0,9,0.0,0,120.6,71.4,18,0.337,49,0.306,15,0.245,12,0.75,9,1,200.0,61.8,20.6,4,15,42,13.2,9,0.286,14.0,0.214,3.0,40.0,22,0.384,25.9,17,35.0,0.343,12.0,0.0,0
2009-11-21,"William Johnson Coliseum, Nacogdoches, Texas",Jackson State,Stephen F. Austin,Home,33.3,8,0.0,0,107.0,54.5,12,0.473,55,0.436,24,0.273,15,0.667,10,1,200.0,108.8,51.5,11,18,62,5.3,3,0.236,13.0,0.308,4.0,52.3,23,0.499,16.3,10,42.0,0.476,20.0,0.5,1
2009-11-24,"William Johnson Coliseum, Nacogdoches, Texas",Texas Tech,Stephen F. Austin,Away,54.2,13,5.4,2,101.6,68.2,17,0.482,55,0.436,24,0.2,11,0.727,8,2,200.0,98.4,40.0,10,20,61,6.5,4,0.236,13.0,0.385,5.0,51.9,27,0.506,19.0,13,42.0,0.452,19.0,0.333,1
2009-12-01,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi",Stephen F. Austin,Jackson State,Away,50.0,14,9.1,3,101.5,72.7,19,0.573,55,0.509,28,0.382,21,0.762,16,2,200.0,117.9,44.0,8,20,79,16.4,11,0.255,14.0,0.5,7.0,57.4,27,0.608,15.7,11,41.0,0.512,21.0,0.6,3
2009-12-04,"William Johnson Coliseum, Nacogdoches, Texas",Southern,Stephen F. Austin,Home,51.6,16,6.3,2,75.4,65.5,20,0.522,67,0.463,31,0.194,13,0.692,9,2,200.0,114.5,41.7,14,17,79,20.3,14,0.284,19.0,0.421,8.0,52.3,34,0.54,13.1,11,48.0,0.479,23.0,0.667,4
2009-12-05,"William Johnson Coliseum, Nacogdoches, Texas",Cal State Fullerton,Stephen F. Austin,Home,31.6,6,8.1,3,98.4,57.1,16,0.402,51,0.373,19,0.51,26,0.808,21,2,200.0,100.0,45.5,15,15,62,11.3,7,0.216,11.0,0.273,3.0,50.8,31,0.489,18.3,13,40.0,0.4,16.0,0.714,5
2009-12-12,"Willett Hall, Farmville, Virginia",Stephen F. Austin,Longwood,Away,57.7,15,9.7,3,101.5,72.4,22,0.529,52,0.5,26,0.558,29,0.621,18,2,200.0,107.4,33.3,9,15,73,10.3,7,0.135,7.0,0.429,3.0,52.5,31,0.555,15.6,12,45.0,0.511,23.0,0.75,6
2009-12-19,"Bud Walton Arena, Fayetteville, Arkansas",Stephen F. Austin,Arkansas,Home,44.0,11,5.1,2,114.3,68.8,22,0.5,57,0.439,25,0.298,17,0.706,12,3,200.0,109.5,33.3,10,18,69,6.3,4,0.263,15.0,0.467,7.0,51.6,32,0.53,11.0,8,42.0,0.429,18.0,0.667,6
2009-12-30,"McKeon Pavilion, Moraga, California",Stephen F. Austin,Binghamton,Away,72.0,18,3.1,1,76.8,78.3,18,0.56,50,0.5,25,0.22,11,0.727,8,3,200.0,114.3,26.9,7,8,64,23.2,13,0.28,14.0,0.429,6.0,51.0,25,0.579,12.7,7,36.0,0.528,19.0,0.75,9
2010-01-09,"Johnson Coliseum, Huntsville, Texas",Stephen F. Austin,Sam Houston State,Home,95.2,20,0.0,0,101.5,72.5,29,0.423,52,0.404,21,0.327,17,0.765,13,4,200.0,87.7,23.3,7,17,57,6.2,4,0.308,16.0,0.125,2.0,51.4,36,0.474,16.8,12,36.0,0.528,19.0,0.714,10
