date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-09,"Carrier Dome, Syracuse, New York",Albany (NY),Syracuse,Home,72.4,21,22.2,6,52.4,70.0,30,0.5,60,0.483,29,0.517,31,0.484,15,0,200.0,91.5,41.2,12,16,75,25.6,21,0.283,17.0,0.118,2.0,56.8,42,0.502,22.2,21,43.0,0.628,27.0,1.0,1
2009-11-11,"Carrier Dome, Syracuse, New York",Robert Morris,Syracuse,Home,74.3,26,35.9,14,70.6,65.9,28,0.692,60,0.583,35,0.417,25,0.68,17,0,200.0,117.6,33.3,8,15,100,20.0,17,0.433,26.0,0.5,13.0,52.9,36,0.696,24.5,23,34.0,0.647,22.0,1.0,2
2009-11-19,"Madison Square Garden (IV), New York, New York",Syracuse,California,Away,58.3,21,16.4,9,90.1,67.4,32,0.643,63,0.571,36,0.381,24,0.583,14,0,200.0,117.3,18.2,5,13,95,12.3,10,0.365,23.0,0.391,9.0,46.8,37,0.638,14.0,11,40.0,0.675,27.0,1.0,3
2009-11-20,"Madison Square Garden (IV), New York, New York",Syracuse,UNC,Away,54.1,20,4.3,2,93.4,54.8,23,0.61,68,0.544,37,0.147,10,0.4,4,0,200.0,114.5,35.3,12,18,87,18.4,14,0.309,21.0,0.429,9.0,46.1,35,0.598,18.1,15,47.0,0.596,28.0,1.0,4
2009-11-24,"Carrier Dome, Syracuse, New York",Cornell,Syracuse,Home,57.1,16,30.8,8,104.3,57.1,21,0.591,55,0.509,28,0.509,28,0.821,23,0,200.0,125.7,37.0,9,15,88,18.6,13,0.327,18.0,0.5,9.0,48.4,30,0.644,14.0,11,37.0,0.514,19.0,1.0,5
2009-11-27,"Carrier Dome, Syracuse, New York",Columbia,Syracuse,Home,73.3,22,21.6,8,84.5,63.9,23,0.605,57,0.526,30,0.386,22,0.727,16,0,200.0,119.7,41.4,12,11,85,19.7,14,0.368,21.0,0.429,9.0,53.8,35,0.63,19.4,16,36.0,0.583,21.0,1.0,6
2009-11-30,"Carrier Dome, Syracuse, New York",Colgate,Syracuse,Home,89.7,35,23.5,8,82.9,73.0,29,0.654,68,0.574,39,0.059,4,0.75,3,0,200.0,131.4,45.8,9,16,92,18.6,13,0.397,27.0,0.407,11.0,62.3,38,0.658,12.5,10,41.0,0.683,28.0,1.0,7
2009-12-05,"Carrier Dome, Syracuse, New York",Maine,Syracuse,Home,68.3,28,36.8,14,71.4,69.2,36,0.746,63,0.651,41,0.19,12,0.583,7,0,200.0,131.2,44.4,8,15,101,15.6,12,0.365,23.0,0.522,12.0,62.9,44,0.735,19.9,17,40.0,0.725,29.0,1.0,8
2009-12-10,"St. Pete Times Forum, Tampa, Florida",Syracuse,Florida,Away,56.3,18,3.1,1,97.3,65.7,23,0.549,61,0.525,32,0.508,31,0.581,18,0,200.0,113.3,50.0,16,12,85,17.3,13,0.213,13.0,0.231,3.0,58.2,39,0.561,16.7,15,48.0,0.604,29.0,1.0,9
2009-12-13,"Carrier Dome, Syracuse, New York",St. Francis (NY),Syracuse,Home,82.8,24,29.4,10,79.7,47.5,21,0.611,54,0.537,29,0.296,16,0.563,9,0,200.0,117.2,52.2,10,14,75,20.3,13,0.333,18.0,0.444,8.0,49.2,31,0.609,20.8,16,36.0,0.583,21.0,1.0,10
2009-12-19,"Carrier Dome, Syracuse, New York",St. Bonaventure,Syracuse,Home,53.1,17,15.8,6,100.0,63.9,23,0.614,57,0.561,32,0.456,26,0.577,15,0,200.0,118.1,52.0,13,16,85,12.5,9,0.263,15.0,0.4,6.0,59.0,36,0.613,19.9,17,42.0,0.619,26.0,1.0,11
2009-12-22,"Carrier Dome, Syracuse, New York",Oakland,Syracuse,Home,66.7,24,16.7,8,80.0,59.0,26,0.631,65,0.554,36,0.246,16,0.625,10,0,200.0,122.7,41.9,10,11,92,16.0,12,0.338,22.0,0.455,10.0,51.4,36,0.634,17.2,15,43.0,0.605,26.0,1.0,12
2009-12-29,"Prudential Center, Newark, New Jersey",Syracuse,Seton Hall,Away,37.9,11,17.6,9,93.6,54.5,30,0.5,61,0.475,29,0.426,26,0.731,19,0,200.0,102.6,43.8,14,16,80,6.4,5,0.164,10.0,0.3,3.0,50.6,44,0.545,21.6,20,51.0,0.51,26.0,1.0,13
2010-01-02,"Carrier Dome, Syracuse, New York",Pitt,Syracuse,Away,42.9,12,21.4,6,107.9,61.3,20,0.432,66,0.424,28,0.348,23,0.652,15,1,200.0,94.7,38.1,15,25,72,13.2,10,0.197,13.0,0.077,1.0,47.9,35,0.468,15.5,14,53.0,0.509,27.0,0.929,13
2010-01-06,"Carrier Dome, Syracuse, New York",Memphis,Syracuse,Home,79.2,19,14.8,4,90.5,69.7,24,0.625,44,0.545,24,0.682,30,0.633,19,1,200.0,117.5,50.0,11,10,74,9.5,6,0.318,14.0,0.5,7.0,61.4,35,0.635,22.9,17,30.0,0.567,17.0,0.933,14
2010-01-10,"Carrier Dome, Syracuse, New York",South Florida,Syracuse,Home,59.4,19,16.2,6,92.9,60.0,23,0.548,63,0.508,32,0.317,20,0.65,13,1,200.0,117.1,36.1,11,18,82,8.6,6,0.27,17.0,0.294,5.0,47.9,34,0.566,13.3,11,46.0,0.587,27.0,0.938,15
2010-01-13,"Louis Brown Athletic Center, New Brunswick, New Jersey",Syracuse,Rutgers,Away,75.0,21,14.7,5,89.0,57.1,23,0.551,59,0.475,28,0.373,22,0.727,16,1,200.0,111.0,48.4,12,9,81,24.7,18,0.373,22.0,0.409,9.0,53.0,35,0.583,20.8,18,37.0,0.514,19.0,0.941,16
2010-01-16,"WVU Coliseum, Morgantown, West Virginia",Syracuse,West Virginia,Away,34.6,9,11.4,4,107.6,60.0,24,0.622,45,0.578,26,0.578,26,0.615,16,1,200.0,109.1,55.0,11,19,72,6.1,4,0.267,12.0,0.333,4.0,58.3,35,0.628,26.2,20,33.0,0.667,22.0,0.944,17
2010-01-18,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",Syracuse,Notre Dame,Away,73.1,19,13.5,5,106.0,54.3,21,0.566,53,0.491,26,0.585,31,0.774,24,1,200.0,125.4,46.4,11,14,84,7.5,5,0.321,17.0,0.471,8.0,50.8,32,0.62,14.2,11,36.0,0.5,18.0,0.947,18
2010-01-23,"Carrier Dome, Syracuse, New York",Marquette,Syracuse,Home,74.2,23,23.8,10,95.9,82.1,33,0.594,53,0.585,31,0.358,19,0.684,13,1,200.0,102.7,44.0,10,13,76,10.8,8,0.151,8.0,0.125,1.0,67.2,43,0.613,26.4,22,45.0,0.667,30.0,0.95,19
