date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-16,"Wells Fargo Arena, Tempe, Arizona",TCU,Cal State Northridge,Away,67.9,19,10.5,4,83.3,60.5,26,0.557,61,0.459,28,0.393,24,0.625,15,0,200.0,106.4,48.6,17,24,83,9.0,7,0.459,28.0,0.429,12.0,55.1,43,0.573,24.3,23,33.0,0.485,16.0,1.0,2
2009-11-17,"Wells Fargo Arena, Tempe, Arizona",TCU,Arizona State,Home,58.8,10,2.9,1,104.0,48.4,16,0.436,47,0.362,17,0.213,10,0.8,8,1,200.0,98.0,37.9,10,20,49,8.0,4,0.511,24.0,0.292,7.0,43.3,26,0.473,16.3,10,23.0,0.435,10.0,0.667,2
2009-11-21,"Bob Devaney Sports Center, Lincoln, Nebraska",TCU,Nebraska,Home,54.2,13,10.8,4,123.3,53.6,16,0.549,51,0.471,24,0.529,27,0.778,21,2,200.0,105.5,29.6,7,28,77,8.2,6,0.412,21.0,0.381,8.0,41.8,23,0.603,22.3,18,30.0,0.533,16.0,0.5,2
2009-11-23,"Daniel-Meyer Coliseum, Fort Worth, Texas",Colgate,TCU,Home,80.8,21,2.9,1,96.9,68.6,25,0.627,51,0.51,26,0.353,18,0.667,12,2,200.0,116.9,30.4,6,20,76,7.7,5,0.588,30.0,0.4,12.0,53.4,31,0.638,16.9,12,21.0,0.667,14.0,0.6,3
2009-11-24,"Daniel-Meyer Coliseum, Fort Worth, Texas",Texas State,TCU,Home,56.4,22,2.6,1,108.8,71.1,32,0.537,81,0.481,39,0.42,34,0.618,21,2,275.0,118.7,35.6,16,20,108,4.4,4,0.284,23.0,0.391,9.0,53.3,48,0.556,8.6,9,58.0,0.517,30.0,0.667,4
2009-11-28,"Daniel-Meyer Coliseum, Fort Worth, Texas",Louisiana Tech,TCU,Away,40.9,9,10.2,5,109.7,50.0,20,0.448,58,0.379,22,0.241,14,0.786,11,3,200.0,101.6,45.5,11,19,63,3.2,2,0.414,24.0,0.333,8.0,47.7,31,0.487,15.8,12,34.0,0.412,14.0,0.571,4
2009-12-02,"Moody Coliseum, Dallas, Texas",TCU,SMU,Away,63.2,12,2.6,1,91.4,71.0,22,0.561,41,0.463,19,0.366,15,0.933,14,3,200.0,103.4,22.2,4,11,60,8.6,5,0.366,15.0,0.533,8.0,53.1,26,0.623,21.5,13,26.0,0.423,11.0,0.625,5
2009-12-08,"Daniel-Meyer Coliseum, Fort Worth, Texas",Texas Tech,TCU,Away,44.0,11,2.0,1,111.1,54.3,20,0.466,59,0.424,25,0.373,22,0.682,15,4,200.0,97.2,27.8,9,24,70,13.9,10,0.373,22.0,0.227,5.0,40.8,29,0.504,15.9,13,37.0,0.541,20.0,0.556,5
2009-12-12,"Charles Koch Arena, Wichita, Kansas",TCU,Wichita State,Home,68.4,13,6.7,2,121.2,63.6,14,0.534,44,0.432,19,0.682,30,0.7,21,5,200.0,103.0,20.7,6,19,68,4.5,3,0.523,23.0,0.391,9.0,39.2,20,0.584,19.7,14,21.0,0.476,10.0,0.5,5
2009-12-23,"Hofheinz Pavilion, Houston, Texas",TCU,Houston,Home,62.1,18,0.0,0,128.0,93.8,31,0.5,62,0.468,29,0.387,24,0.792,19,6,200.0,98.8,26.5,8,20,81,4.9,4,0.339,21.0,0.19,4.0,59.1,39,0.552,19.9,17,41.0,0.61,25.0,0.5,6
