date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-16,"Jeff Farris Center, Conway, Arkansas",TENNESSEE-TECH,"Central Arkansas
			",Away,44.4,12,8.8,3,94.4,61.1,24,0.509,57,0.474,27,0.351,20,0.65,13,1,200.0,100.0,40.6,11,27,71,5.6,4,0.211,12.0,0.333,4.0,51.5,35,0.534,20.5,17,45.0,0.511,23.0,0.5,1
2009-11-19,"Allen Arena, Nashville, Tennessee",TENNESSEE-TECH,LIPSCOMB,Away,48.6,17,5.3,2,118.7,60.0,20,0.606,66,0.53,35,0.333,22,0.545,12,1,200.0,122.7,35.5,9,20,92,8.0,6,0.303,20.0,0.5,10.0,47.5,29,0.602,10.6,9,46.0,0.543,25.0,0.667,2
2009-11-20,"FedExForum, Memphis, Tennessee",TENNESSEE-TECH,MEMPHIS,Home,47.8,11,2.7,1,127.8,42.9,16,0.444,54,0.426,23,0.333,18,0.611,11,2,200.0,81.9,39.4,9,23,59,2.8,2,0.167,9.0,0.222,2.0,41.0,25,0.472,27.9,23,45.0,0.467,21.0,0.5,2
2009-11-23,"Eblen Center, Cookeville, Tennessee",OAKLAND,TENNESSEE-TECH,Away,29.2,7,2.7,1,108.5,63.2,25,0.403,62,0.387,24,0.226,14,0.429,6,3,200.0,78.9,30.8,11,20,56,7.0,5,0.194,12.0,0.167,2.0,46.8,36,0.408,17.0,14,50.0,0.44,22.0,0.4,2
2009-11-25,"Centrum, Cedar City, Utah",TENNESSEE-TECH,SOUTHERN-UTAH,Away,42.3,11,2.6,1,90.3,57.6,20,0.528,54,0.481,26,0.463,25,0.6,15,3,200.0,100.0,44.8,12,25,72,20.8,15,0.241,13.0,0.385,5.0,51.6,32,0.546,25.3,22,41.0,0.512,21.0,0.5,3
2009-11-27,"Allen Fieldhouse, Lawrence, Kansas",TENNESSEE-TECH,KANSAS,Home,44.4,12,4.9,2,145.5,63.3,21,0.435,69,0.391,27,0.275,19,0.789,15,4,200.0,97.4,40.5,15,19,75,6.5,5,0.159,11.0,0.545,6.0,50.0,36,0.481,16.2,15,58.0,0.362,21.0,0.429,3
2009-12-01,"Eblen Center, Cookeville, Tennessee",EVANSVILLE,TENNESSEE-TECH,Away,50.0,15,13.0,7,107.1,60.6,22,0.464,69,0.435,30,0.449,31,0.839,26,5,250.0,105.9,29.7,9,26,90,5.9,5,0.261,18.0,0.222,4.0,44.3,31,0.537,13.6,13,51.0,0.51,26.0,0.375,3
2009-12-05,"Pete Mathews Coliseum, Jacksonville, Alabama",TENNESSEE-TECH,JACKSONVILLE-STATE,Home,53.8,14,0.0,0,125.8,66.7,16,0.509,57,0.456,26,0.333,19,0.737,14,6,200.0,109.1,30.3,8,22,72,7.6,5,0.263,15.0,0.4,6.0,44.4,24,0.545,14.4,11,42.0,0.476,20.0,0.333,3
2009-12-12,"Eblen Center, Cookeville, Tennessee",BALL-STATE,TENNESSEE-TECH,Home,57.6,19,4.4,2,102.5,76.9,23,0.581,62,0.532,33,0.387,24,0.583,14,6,225.0,108.9,33.3,8,25,86,11.4,9,0.177,11.0,0.545,6.0,52.5,31,0.586,17.1,15,51.0,0.529,27.0,0.4,4
2010-01-02,"Show Me Center, Cape Girardeau, Missouri",TENNESSEE-TECH,SOUTHEAST-MISSOURI-STATE,Away,60.7,17,7.9,3,109.0,31.4,19,0.65,50,0.56,28,0.48,24,0.708,17,6,200.0,122.4,82.4,6,31,82,13.4,9,0.32,16.0,0.563,9.0,48.1,25,0.668,24.8,20,34.0,0.559,19.0,0.538,7
