date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-16,"Moody Coliseum, Dallas, Texas",TEXAS-AM,SOUTHERN-METHODIST,Away,54.2,13,10.0,4,103.0,65.4,17,0.5,56,0.429,24,0.536,30,0.8,24,0,200.0,121.2,44.8,13,16,80,9.1,6,0.393,22.0,0.364,8.0,54.5,30,0.569,11.5,9,34.0,0.471,16.0,1.0,2
2009-11-20,"Reed Arena, College Station, Texas",SAMFORD,TEXAS-AM,Home,73.9,17,17.4,4,92.5,73.3,22,0.62,46,0.5,23,0.391,18,0.611,11,0,200.0,128.3,26.9,7,9,68,13.2,7,0.5,23.0,0.478,11.0,51.8,29,0.623,8.5,5,23.0,0.522,12.0,1.0,3
2009-11-26,"Honda Center, Anaheim, California",TEXAS-AM,CLEMSON,Away,54.5,12,0.0,0,81.1,65.9,30,0.5,49,0.449,22,0.714,35,0.571,20,0,200.0,93.2,41.4,9,21,69,10.8,8,0.306,15.0,0.333,5.0,55.7,39,0.526,22.8,19,34.0,0.5,17.0,1.0,4
2009-11-27,"Anaheim Convention Center, Anaheim, California",WEST-VIRGINIA,TEXAS-AM,Away,26.1,6,3.7,1,112.3,60.9,17,0.48,50,0.46,23,0.62,31,0.581,18,1,200.0,101.5,53.3,13,25,66,12.3,8,0.16,8.0,0.25,2.0,56.6,30,0.51,20.1,16,42.0,0.5,21.0,0.8,4
2009-11-29,"Honda Center, Anaheim, California",TEXAS-AM,MINNESOTA,Away,27.3,6,10.4,5,92.9,55.9,23,0.463,54,0.407,22,0.593,32,0.5,16,1,200.0,94.3,44.1,11,18,66,8.6,6,0.259,14.0,0.429,6.0,50.0,34,0.477,17.1,14,40.0,0.4,16.0,0.833,5
2009-12-02,"Reed Arena, College Station, Texas",PRAIRIE-VIEW,TEXAS-AM,Home,70.4,19,12.8,5,83.1,66.7,27,0.623,53,0.509,27,0.472,25,0.72,18,1,200.0,118.3,41.7,9,13,84,8.5,6,0.585,31.0,0.387,12.0,57.1,36,0.647,21.0,17,22.0,0.682,15.0,0.857,6
2009-12-04,"Reed Arena, College Station, Texas",AKRON,TEXAS-AM,Home,66.7,14,9.5,4,92.5,56.1,24,0.443,53,0.396,21,0.679,36,0.75,27,1,200.0,110.4,38.2,12,14,74,16.4,11,0.283,15.0,0.333,5.0,48.0,36,0.528,10.4,8,38.0,0.421,16.0,0.875,7
2009-12-07,"Reed Arena, College Station, Texas",NORTH-TEXAS,TEXAS-AM,Home,40.0,10,7.9,3,103.2,58.8,21,0.55,50,0.5,25,0.48,24,0.833,20,1,200.0,119.0,39.1,8,20,75,4.8,3,0.28,14.0,0.357,5.0,50.9,29,0.611,14.2,10,36.0,0.556,20.0,0.889,8
2009-12-12,"Toyota Center, Houston, Texas",NEW-MEXICO,TEXAS-AM,Away,44.4,12,8.8,3,118.3,62.1,20,0.534,58,0.466,27,0.466,27,0.704,19,2,200.0,114.1,25.7,7,28,81,5.6,4,0.483,28.0,0.286,8.0,42.2,27,0.572,13.6,11,30.0,0.633,19.0,0.8,8
2009-12-19,"Reed Arena, College Station, Texas",CITADEL,TEXAS-AM,Home,58.3,14,17.6,6,78.1,76.9,30,0.622,45,0.533,24,0.533,24,0.625,15,2,200.0,110.9,42.1,8,15,71,7.8,5,0.467,21.0,0.381,8.0,65.5,38,0.629,21.3,15,24.0,0.667,16.0,0.818,9
