date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-21,"Don Haskins Center, El Paso, Texas",ARKANSAS-STATE,TEXAS-EL-PASO,Home,64.5,20,11.4,4,77.8,65.9,28,0.573,55,0.564,31,0.455,25,0.76,19,0,200.0,113.9,27.3,5,25,82,13.9,10,0.145,8.0,0.125,1.0,52.4,33,0.613,13.2,10,47.0,0.638,30.0,1.0,3
2009-11-25,"Don Haskins Center, El Paso, Texas",NORTH-CAROLINA-AT,TEXAS-EL-PASO,Home,63.0,17,16.7,5,95.7,77.1,27,0.613,53,0.509,27,0.396,21,0.762,16,0,200.0,117.4,26.9,7,17,81,13.0,9,0.453,24.0,0.458,11.0,55.7,34,0.643,17.3,13,29.0,0.552,16.0,1.0,4
2009-12-01,"Pan American Center, Las Cruces, New Mexico",TEXAS-EL-PASO,NEW-MEXICO-STATE,Away,22.6,7,3.4,1,80.6,70.0,28,0.479,70,0.443,31,0.3,21,0.571,12,0,200.0,109.7,45.2,19,25,79,8.3,6,0.257,18.0,0.278,5.0,57.3,47,0.494,14.1,13,52.0,0.5,26.0,1.0,5
2009-12-13,"Don Haskins Center, El Paso, Texas",NEW-MEXICO-STATE,TEXAS-EL-PASO,Away,75.0,21,3.0,1,119.2,70.4,22,0.516,62,0.452,28,0.403,25,0.64,16,1,200.0,109.6,33.3,9,26,80,12.3,9,0.339,21.0,0.381,8.0,49.2,31,0.541,14.1,12,41.0,0.488,20.0,0.833,5
2009-12-16,"DeSoto Civic Center, Southaven, Mississippi",MISSISSIPPI,TEXAS-EL-PASO,Away,64.3,18,11.8,4,107.1,71.1,28,0.508,61,0.459,28,0.475,29,0.655,19,2,225.0,95.3,30.6,10,30,81,12.9,11,0.393,24.0,0.25,6.0,51.4,38,0.542,22.2,21,37.0,0.595,22.0,0.714,5
2009-12-19,"Don Haskins Center, El Paso, Texas",ALCORN-STATE,TEXAS-EL-PASO,Home,63.2,24,8.3,4,51.9,69.0,30,0.68,64,0.594,38,0.391,25,0.56,14,2,200.0,127.8,43.3,12,15,101,20.3,16,0.375,24.0,0.458,11.0,58.3,42,0.666,18.5,17,40.0,0.675,27.0,0.75,6
2009-12-28,"Don Haskins Center, El Paso, Texas",NORFOLK-STATE,TEXAS-EL-PASO,Home,60.6,20,12.8,5,65.9,66.7,23,0.467,76,0.434,33,0.368,28,0.786,22,2,200.0,109.4,52.6,17,19,93,21.2,18,0.276,21.0,0.238,5.0,58.8,40,0.521,14.5,15,55.0,0.509,28.0,0.8,8
2009-12-29,"Don Haskins Center, El Paso, Texas",AIR-FORCE,TEXAS-EL-PASO,Home,57.1,12,8.0,2,74.6,82.8,24,0.479,48,0.438,21,0.375,18,0.667,12,2,200.0,92.1,22.2,6,14,58,11.1,7,0.333,16.0,0.25,4.0,53.6,30,0.513,20.0,14,32.0,0.531,17.0,0.818,9
2010-01-03,"United Spirit Arena, Lubbock, Texas",TEXAS-EL-PASO,TEXAS-TECH,Home,37.0,10,7.3,3,113.2,38.7,17,0.455,67,0.403,27,0.343,23,0.739,17,3,200.0,102.6,31.6,7,26,78,9.2,7,0.313,21.0,0.333,7.0,34.8,24,0.5,12.5,10,46.0,0.435,20.0,0.75,9
2010-01-06,"Don Haskins Center, El Paso, Texas",SOUTHERN-METHODIST,TEXAS-EL-PASO,Home,83.3,15,6.7,2,84.9,71.4,21,0.464,42,0.429,18,0.262,11,0.909,10,3,200.0,92.5,21.1,3,7,49,17.0,9,0.429,18.0,0.167,3.0,51.1,24,0.519,17.6,10,24.0,0.625,15.0,0.769,10
