date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-05,"Liacouras Center, Philadelphia, Pennsylvania",Drexel,Temple,Home,50.0,14,12.8,5,83.8,67.4,31,0.469,65,0.431,28,0.2,13,0.692,9,0,200,94.6,22.9,8,14,70,14.9,11,0.231,15,0.333,5,48.1,39,0.492,13.5,11,50,0.46,23,1.0,1
2019-11-09,"Liacouras Center, Philadelphia, Pennsylvania",Morgan State,Temple,Home,45.8,11,12.9,4,78.1,72.2,26,0.423,65,0.369,24,0.492,32,0.625,20,0,210,102.7,29.5,13,16,75,19.2,14,0.492,32,0.219,7,48.8,39,0.468,7.1,6,33,0.515,17,1.0,2
2019-11-16,"Tom Gola Arena, Philadelphia, Pennsylvania",Temple,La Salle,Away,57.1,12,23.1,6,90.3,65.6,21,0.438,56,0.375,21,0.518,29,0.724,21,0,200,97.2,40.0,14,13,70,16.7,12,0.375,21,0.333,7,52.2,35,0.502,16.9,14,35,0.4,14,1.0,3
2019-11-22,"Galen Center, Los Angeles, California",Temple,USC,Away,65.4,17,2.9,1,82.4,86.5,32,0.463,67,0.388,26,0.179,12,0.667,8,0,200,94.6,20.5,8,22,70,10.8,8,0.448,30,0.333,10,52.6,40,0.481,10.0,8,37,0.432,16,1.0,4
2019-11-28,"HP Field House, Orlando, Florida",Maryland,Temple,Away,68.2,15,6.7,2,105.6,71.4,25,0.43,64,0.344,22,0.297,19,0.737,14,1,200,95.8,38.9,14,20,69,9.7,7,0.484,31,0.355,11,54.9,39,0.472,16.2,14,33,0.333,11,0.8,4
2019-11-29,"HP Field House, Orlando, Florida",Temple,Texas A&M,Away,50.0,11,12.0,3,63.6,76.7,33,0.54,50,0.44,22,0.34,17,0.647,11,1,200,98.5,17.9,5,13,65,10.6,7,0.54,27,0.37,10,53.5,38,0.56,16.1,11,23,0.522,12,0.833,5
2019-12-01,"HP Field House, Orlando, Florida",Temple,Davidson,Away,73.1,19,11.8,2,75.7,90.9,30,0.439,66,0.394,26,0.136,9,0.889,8,1,200,94.3,25.0,8,17,66,10.0,7,0.303,20,0.3,6,58.5,38,0.47,14.6,12,46,0.435,20,0.857,6
2019-12-07,"Liacouras Center, Philadelphia, Pennsylvania",Missouri,Temple,Away,70.6,12,4.0,1,88.9,75.8,25,0.367,49,0.347,17,0.531,26,0.692,18,2,200,75.0,16.7,5,22,54,8.3,6,0.429,21,0.095,2,47.6,30,0.44,23.9,19,28,0.536,15,0.75,6
2019-12-10,"Liacouras Center, Philadelphia, Pennsylvania",St. Joseph's,Temple,Home,45.2,19,16.0,4,74.4,89.1,41,0.687,67,0.627,42,0.373,25,0.64,16,2,200,131.7,20.8,5,11,108,9.8,8,0.224,15,0.533,8,65.7,46,0.685,12.4,11,52,0.654,34,0.778,7
2019-12-17,"Barclays Center, Brooklyn, New York",Miami (FL),Temple,Away,67.9,19,2.4,1,98.7,86.1,31,0.5,69,0.406,28,0.174,12,0.667,8,3,200,97.5,20.0,8,18,77,8.9,7,0.464,32,0.406,13,51.3,39,0.515,15.9,14,37,0.405,15,0.7,7
2019-12-21,"Liacouras Center, Philadelphia, Pennsylvania",Rider,Temple,Home,66.7,20,6.1,3,90.4,61.7,29,0.612,58,0.517,30,0.259,15,0.467,7,3,200,106.8,25.0,8,14,78,6.8,5,0.414,24,0.458,11,46.8,37,0.599,18.8,15,34,0.559,19,0.727,8
2019-12-31,"CFE Arena, Orlando, Florida",Temple,UCF,Away,80.0,16,12.1,4,82.9,75.8,25,0.443,53,0.377,20,0.434,23,0.652,15,3,200,88.6,29.0,9,15,62,17.1,12,0.396,21,0.333,7,53.1,34,0.485,20.2,16,32,0.406,13,0.75,9
2020-01-03,"Donald W. Reynolds Center, Tulsa, Oklahoma",Temple,Tulsa,Home,50.0,9,3.1,1,97.2,92.6,25,0.315,65,0.277,18,0.077,5,0.6,3,4,200,61.1,22.5,9,15,44,8.3,6,0.385,25,0.2,5,50.7,34,0.327,20.2,17,40,0.325,13,0.692,9
2020-01-07,"Liacouras Center, Philadelphia, Pennsylvania",Houston,Temple,Away,61.5,16,4.1,2,108.3,56.8,21,0.475,61,0.426,26,0.344,21,0.762,16,5,200,102.8,12.9,4,23,74,6.9,5,0.213,13,0.462,6,36.8,25,0.521,7.9,6,48,0.417,20,0.643,9
2020-01-11,"Liacouras Center, Philadelphia, Pennsylvania",Tulane,Temple,Away,70.6,12,6.9,2,91.5,87.1,27,0.361,54,0.315,17,0.333,18,0.667,12,6,200,71.8,22.2,8,16,51,5.6,4,0.444,24,0.208,5,52.2,35,0.408,21.5,17,30,0.4,12,0.6,9
2020-01-15,"Liacouras Center, Philadelphia, Pennsylvania",Wichita State,Temple,Home,42.9,9,11.9,5,70.7,73.7,28,0.489,46,0.457,21,0.587,27,0.741,20,6,200,86.7,13.6,3,17,65,10.7,8,0.261,12,0.25,3,51.7,31,0.552,25.7,20,34,0.529,18,0.625,10
2020-01-18,"Moody Coliseum, Dallas, Texas",Temple,SMU,Home,72.2,13,2.4,1,95.8,64.9,24,0.382,55,0.327,18,0.236,13,0.769,10,7,200,73.2,16.2,6,20,52,15.5,11,0.327,18,0.333,6,40.5,30,0.425,20.9,16,37,0.324,12,0.588,10
