date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2009-11-13,"Thompson-Boling Arena, Knoxville, Tennessee",AUSTIN-PEAY,TENNESSEE,Home,64.7,22,18.4,7,72.0,82.1,33,0.565,69,0.493,34,0.159,11,0.455,5,0,200.0,110.7,36.1,12,17,83,10.7,8,0.333,23.0,0.435,10.0,60.0,45,0.559,15.9,14,46.0,0.522,24.0,1.0,1
2009-11-17,"Thompson-Boling Arena, Knoxville, Tennessee",NORTH-CAROLINA-ASHEVILLE,TENNESSEE,Home,73.9,34,9.8,5,56.3,57.7,31,0.701,77,0.597,46,0.273,21,0.762,16,0,200.0,142.5,35.5,10,21,124,14.9,13,0.377,29.0,0.552,16.0,49.4,41,0.713,12.2,12,48.0,0.625,30.0,1.0,2
2009-11-20,"Virgin Islands Sport & Fitness Center , St. Thomas",TENNESSEE,EAST-CAROLINA,Away,57.5,23,0.0,0,81.5,70.0,14,0.674,69,0.58,40,0.203,14,0.857,12,0,200.0,129.6,33.3,8,25,105,21.0,17,0.348,24.0,0.542,13.0,50.0,22,0.694,14.7,13,45.0,0.6,27.0,1.0,3
2009-11-22,"Virgin Islands Sport & Fitness Center , St. Thomas",TENNESSEE,DEPAUL,Away,50.0,11,8.6,3,84.1,69.7,25,0.398,59,0.373,22,0.254,15,0.667,10,0,200.0,90.5,53.1,15,20,57,4.8,3,0.203,12.0,0.25,3.0,61.5,40,0.431,17.6,14,47.0,0.404,19.0,1.0,4
2009-11-23,"Virgin Islands Sport & Fitness Center , St. Thomas",PURDUE,TENNESSEE,Away,39.1,9,7.5,3,100.0,67.9,22,0.462,53,0.434,23,0.528,28,0.821,23,1,200.0,98.6,27.6,5,24,72,5.5,4,0.208,11.0,0.273,3.0,47.4,27,0.543,19.7,15,42.0,0.476,20.0,0.8,4
2009-11-27,"Thompson-Boling Arena, Knoxville, Tennessee",COLLEGE-OF-CHARLESTON,TENNESSEE,Home,48.4,15,6.7,2,93.2,83.3,28,0.609,55,0.564,31,0.527,29,0.655,19,1,200.0,116.2,40.6,10,19,86,9.5,7,0.2,11.0,0.455,5.0,61.3,38,0.625,19.1,16,44.0,0.591,26.0,0.833,5
2009-12-02,"Thompson-Boling Arena, Knoxville, Tennessee",EAST-TENNESSEE-STATE,TENNESSEE,Home,78.6,22,14.7,5,104.8,66.7,20,0.534,59,0.475,28,0.407,24,0.625,15,1,200.0,123.8,40.0,14,11,78,11.1,7,0.339,20.0,0.35,7.0,52.3,34,0.554,7.9,5,39.0,0.538,21.0,0.857,6
2009-12-11,"Bridgestone Arena, Nashville, Tennessee",TENNESSEE,MIDDLE-TENNESSEE,Away,37.0,10,7.9,3,83.1,64.1,25,0.556,54,0.5,27,0.426,23,0.652,15,1,200.0,115.4,33.3,9,22,75,9.2,6,0.278,15.0,0.4,6.0,51.5,34,0.578,14.6,11,39.0,0.538,21.0,0.875,7
2009-12-15,"Thompson-Boling Arena, Knoxville, Tennessee",WYOMING,TENNESSEE,Home,60.0,18,4.2,1,78.4,60.7,18,0.508,63,0.476,30,0.302,19,0.684,13,1,200.0,104.1,35.3,11,21,77,20.3,15,0.317,20.0,0.2,4.0,46.8,29,0.535,15.4,13,43.0,0.605,26.0,0.889,8
2009-12-19,"Galen Center, Los Angeles, California",TENNESSEE,SOUTHERN-CALIFORNIA,Home,25.0,5,0.0,0,111.6,50.0,11,0.362,58,0.345,20,0.431,25,0.52,13,2,200.0,79.7,19.5,6,26,55,13.0,9,0.379,22.0,0.091,2.0,28.8,17,0.394,10.4,8,36.0,0.5,18.0,0.8,8
