date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-11-06,"American Bank Center, Corpus Christi, Texas",Louisiana Tech,Texas A&M-Corpus Christi,Away,37.5,6,2.8,1,126.2,63.3,19,0.4,45,0.356,16,0.489,22,0.591,13,1,200,75.4,28.6,8,15,49,3.1,2,0.378,17,0.235,4,46.6,27,0.442,23.7,17,28,0.429,12,0.0,0
2019-11-11,"Memorial Gymnasium, Nashville, Tennessee",Texas A&M-Corpus Christi,Vanderbilt,Home,73.9,17,6.7,2,106.0,69.0,20,0.58,50,0.46,23,0.22,11,0.727,8,2,200,98.5,21.7,5,17,66,13.4,9,0.46,23,0.522,12,48.1,25,0.598,26.7,20,27,0.407,11,0.0,0
2019-11-15,"American Bank Center, Corpus Christi, Texas",Stony Brook,Texas A&M-Corpus Christi,Away,54.2,13,5.6,2,104.6,68.2,30,0.547,53,0.453,24,0.132,7,0.714,5,3,200,96.9,29.6,8,18,63,3.1,2,0.491,26,0.385,10,53.5,38,0.559,21.1,15,27,0.519,14,0.0,0
2019-11-16,"American Bank Center, Corpus Christi, Texas",North Dakota State,Texas A&M-Corpus Christi,Away,56.3,9,4.0,1,98.3,80.8,21,0.417,48,0.333,16,0.167,8,0.625,5,4,200,77.6,27.3,9,11,45,3.4,2,0.417,20,0.4,8,50.8,30,0.434,22.5,15,28,0.286,8,0.0,0
2019-11-17,"American Bank Center, Corpus Christi, Texas",Texas-Rio Grande Valley,Texas A&M-Corpus Christi,Home,50.0,10,2.9,1,90.2,82.1,23,0.442,52,0.385,20,0.462,24,0.708,17,4,200,103.3,51.6,16,13,63,9.8,6,0.308,16,0.375,6,66.1,39,0.497,16.1,12,36,0.389,14,0.2,1
2019-11-23,"American Bank Center, Corpus Christi, Texas","St. Thomas (TX)
			",Texas A&M-Corpus Christi,Home,65.4,17,21.7,5,89.4,89.7,26,0.574,54,0.481,26,0.222,12,0.583,7,4,200,104.5,10.7,3,10,69,4.5,3,0.481,26,0.385,10,50.9,29,0.578,13.2,9,28,0.571,16,0.333,2
2019-11-30,"UTRGV Fieldhouse, Edinburg, Texas",Texas A&M-Corpus Christi,Texas-Rio Grande Valley,Away,50.0,9,6.1,2,72.2,75.0,24,0.436,47,0.383,18,0.426,20,0.7,14,4,200,76.4,24.1,7,17,55,8.3,6,0.34,16,0.313,5,50.8,31,0.487,29.2,23,31,0.419,13,0.429,3
2019-12-03,"Convocation Center, San Antonio, Texas",Texas A&M-Corpus Christi,UTSA,Home,40.7,11,9.5,4,123.6,62.5,15,0.544,57,0.474,27,0.193,11,0.455,5,5,200,93.1,23.3,7,22,67,8.3,6,0.368,21,0.381,8,40.7,22,0.538,20.6,16,36,0.528,19,0.375,3
2019-12-07,"Dugan Wellness Center, Corpus Christi, Texas","St. Mary's (TX)
			",Texas A&M-Corpus Christi,Home,60.7,17,6.5,2,79.1,79.3,23,0.492,65,0.431,28,0.262,17,1.0,17,5,200,120.9,44.4,12,8,81,10.4,7,0.415,27,0.296,8,62.5,35,0.554,11.0,9,38,0.526,20,0.444,4
2019-12-15,"Reed Arena, College Station, Texas",Texas A&M-Corpus Christi,Texas A&M,Home,45.0,9,7.4,2,106.8,60.6,20,0.5,50,0.4,20,0.32,16,0.625,10,6,200,101.7,29.0,9,19,60,1.7,1,0.56,28,0.357,10,45.3,29,0.521,17.4,12,22,0.455,10,0.4,4
2019-12-18,"David Stopher Gymnasium, Thibodaux, Louisiana",Texas A&M-Corpus Christi,Nicholls State,Home,70.6,12,7.1,3,90.1,75.7,28,0.402,51,0.333,17,0.49,25,0.68,17,7,200,81.7,38.7,12,15,58,8.5,6,0.431,22,0.318,7,58.8,40,0.461,23.5,19,29,0.345,10,0.364,4
